,post_office,barber_shop,bakery,bike_shop,cafe,clothing_store,dentist,craft_shop,grocery_store,jewelry_store,florist,hardware_store,gym,pizzeria,pet_store,music_store,pharmacy,toy_store,bank,bookstore,noodle_house,party_store,burger_joint,gelateria,salon,tech_shop
post_office,0.0,5848.3409,2576.3201,4281.600399999999,2865.7376000000004,4348.4631,5919.325700000001,4143.2865,4138.9785,7733.932699999999,9334.2025,645.2581,1926.7862000000002,7532.266100000001,9631.362999999998,10526.381,5680.043,2626.1169,15087.8055,3149.4078000000004,4148.2998,6299.237999999999,1958.1408999999999,10194.2701,5015.039899999999,4192.5045
barber_shop,5848.340899999999,0.0,4716.281,6421.561299999999,7657.4345,6134.824200000001,10372.6486,9548.0674,6598.434800000001,9873.8936,12841.217,6050.039,7331.5671,11795.7636,15036.1439,12666.3419,7820.0039,5252.219800000001,17227.7664,8073.5487,4993.9449,8439.1989,6904.241799999999,12334.231,3195.0454000000013,7707.0834
bakery,2576.3201000000004,4716.281000000001,0.0,1705.2803,4998.4977,6481.2232,8052.085800000001,6276.046600000001,6271.7386,5157.6125999999995,9569.196199999998,2778.0182,4059.5463000000004,9665.0262,11764.1231,9394.3211,4547.9830999999995,4758.8769999999995,13955.7456,5282.1679,6281.0599,3722.9179,4090.901,9062.2102,6825.204600000002,6325.2645999999995
bike_shop,4281.6004,6421.561300000001,1705.2803,0.0,6703.778000000001,8186.503500000001,9757.366100000001,7981.3269,7977.018900000001,5393.788699999999,11274.4765,4483.2985,5764.8266,11370.306500000002,13469.4034,11099.6014,6253.2634,6464.1573,15661.0259,6987.448200000002,7986.340200000001,3959.094,5796.1813,10767.4905,8530.484900000001,8030.544900000001
cafe,2865.7376000000004,7657.434500000001,4998.4977,6703.777999999999,0.0,1736.8515000000002,3053.5881000000004,4676.060700000001,1273.2409000000002,10156.1103,9866.9767,3067.4357,3576.9238,4666.5285,10164.137200000001,12685.1018,8102.220599999999,3037.2345,17246.5263,1087.6694,2663.4896,8721.4156,929.9185,12352.9909,5621.922100000001,1326.7669
clothing_store,4348.463099999999,6134.824200000001,6481.223199999999,8186.503499999999,1736.8515000000002,0.0,4237.8244,6224.050400000001,463.61060000000003,11638.835799999999,11414.9664,4550.1612,5059.649299999999,5660.9394,11712.1269,14233.091499999999,9584.9461,1722.3462000000002,18794.516,2635.6591,1140.8793,10204.141099999999,2477.9082,13900.980599999999,4099.3118,1572.2592000000002
dentist,5919.3257,10372.648600000002,8052.085800000001,9757.366100000001,3053.5881000000004,4237.824400000001,0.0,3814.1706,3774.213800000001,13209.698400000001,9557.790799999999,6121.023800000001,6030.6709,2668.9634000000005,9854.9513,12375.9159,11155.8087,5960.170600000001,16937.3404,4141.257500000001,5378.703700000001,11775.003700000001,3983.5066000000006,12043.805,8337.1362,3827.7398000000003
craft_shop,4143.286499999999,9548.0674,6276.0466,7981.326899999999,4676.060700000001,6224.0504,3814.1706,0.0,5949.301600000001,11433.6592,5743.620199999999,4344.9846,2216.5002999999997,4012.437,6040.780699999999,8561.745299999999,9379.769499999999,5553.803399999999,13123.169800000001,3588.391300000001,6667.995099999999,9998.9645,4885.827399999999,8229.6344,8714.766399999999,6002.8276000000005
grocery_store,4138.9785,6598.434800000001,6271.738600000001,7977.0189,1273.2409000000002,463.61060000000003,3774.2138000000004,5949.301600000002,0.0,11429.351200000001,11140.2176,4340.676600000001,4850.164699999999,5197.3288,11437.378100000002,13958.342700000001,9375.4615,2185.9568000000004,18519.767200000002,2360.9103000000005,1604.4899000000003,9994.656500000001,2203.1594000000005,13626.231800000001,4562.9224,1108.6486
jewelry_store,7733.932699999999,9873.8936,5157.6125999999995,5393.788699999999,10156.110299999998,11638.835799999999,13209.6984,11433.659199999998,11429.3512,0.0,14726.808799999999,7935.6308,9217.158899999999,14822.638799999999,16921.735699999997,14551.9337,9705.5957,9916.489599999999,19113.358200000002,10439.780499999999,11438.672499999999,3023.1463000000003,9248.5136,14219.8228,11081.131000000001,11482.877199999999
florist,9334.2025,12841.216999999999,9569.196199999997,11274.476499999995,9866.9767,11414.9664,9557.790799999999,5743.620199999999,11140.2176,14726.808799999995,0.0,9535.900599999999,7407.416299999999,9756.0572,4032.156699999999,2818.1250999999997,5021.213099999999,10744.719399999998,7379.549600000001,8779.3073,11858.911099999998,13292.114099999995,10076.7434,2486.0142000000005,13905.682399999998,11193.7436
hardware_store,645.2581,6050.039000000001,2778.0182,4483.2985,3067.4357,4550.1612,6121.023800000001,4344.9846,4340.6766,7935.630799999999,9535.900599999999,0.0,2128.4843,7733.9642,9833.061099999999,10728.079099999999,5881.741099999999,2827.8149999999996,15289.5036,3351.1059,4349.997899999999,6500.936099999999,2159.839,10395.9682,4369.781799999999,4394.2026
