Saved path: bookstore, burger_joint, cafe, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, pet_store, pizzeria, dentist : 68159
Saved path: clothing_store, noodle_house, salon, barber_shop, jewelry_store, hardware_store, pharmacy, gelateria, bank, music_store, florist, pet_store, pizzeria, tech_shop, cafe : 69372
Saved path: tech_shop, pizzeria, pet_store, florist, music_store, pharmacy, bakery, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, grocery_store : 48954
Saved path: noodle_house, salon, toy_store, burger_joint, gym, bakery, party_store, jewelry_store, pharmacy, music_store, florist, pizzeria, dentist, tech_shop, clothing_store : 58108
Saved path: bike_shop, jewelry_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, music_store : 58055
Saved path: toy_store, hardware_store, bookstore, cafe, grocery_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon : 50596
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, craft_shop, pet_store, florist, bank, pharmacy, bakery, jewelry_store, salon, toy_store : 62232
Saved path: tech_shop, cafe, bookstore, toy_store, barber_shop, jewelry_store, bakery, hardware_store, gym, florist, music_store, bank, pet_store, craft_shop, pizzeria : 68912
Saved path: gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym, toy_store, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store : 56722
Saved path: gym, hardware_store, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, burger_joint : 62265
Saved path: barber_shop, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, music_store, bank, pet_store, gym, bike_shop, party_store : 66496
Saved path: pizzeria, cafe, bookstore, burger_joint, gym, pet_store, florist, gelateria, bakery, party_store, jewelry_store, salon, noodle_house, clothing_store, tech_shop : 60636
Saved path: florist, gelateria, music_store, jewelry_store, party_store, bakery, gym, burger_joint, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, pet_store : 59155
Saved path: hardware_store, bookstore, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, bank, pharmacy, bakery, bike_shop, barber_shop, salon : 65160
Saved path: bike_shop, jewelry_store, barber_shop, noodle_house, burger_joint, tech_shop, pizzeria, craft_shop, gym, pet_store, florist, music_store, bank, gelateria, pharmacy : 70688
Saved path: pharmacy, music_store, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery : 44622
Saved path: bank, gelateria, florist, pizzeria, dentist, bookstore, clothing_store, noodle_house, salon, toy_store, gym, jewelry_store, party_store, pharmacy, music_store : 67516
Saved path: pet_store, florist, music_store, pharmacy, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym : 53035
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, gym, hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria : 54010
Saved path: grocery_store, burger_joint, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, florist, gym, bakery, party_store, barber_shop, clothing_store : 66625
Saved path: party_store, jewelry_store, music_store, bank, florist, pet_store, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, bookstore, cafe, burger_joint, bakery : 65438
Saved path: pharmacy, gelateria, florist, pet_store, craft_shop, gym, bookstore, cafe, noodle_house, salon, toy_store, hardware_store, party_store, bike_shop, bakery : 52610
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, gym, pet_store, bank, gelateria, pharmacy, jewelry_store, barber_shop, toy_store : 68103
Saved path: gym, craft_shop, pet_store, bank, pharmacy, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint : 70495
Saved path: salon, clothing_store, grocery_store, tech_shop, dentist, bookstore, gym, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store : 66230
