Saved path: burger_joint, bookstore, cafe, grocery_store, toy_store, barber_shop, bakery, jewelry_store, gelateria, bank, pet_store, craft_shop, pizzeria, gym, hardware_store : 69391
Saved path: tech_shop, pizzeria, craft_shop, florist, bank, music_store, bike_shop, party_store, bakery, toy_store, burger_joint, bookstore, cafe, clothing_store, grocery_store : 57559
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, barber_shop, bike_shop : 64929
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop, jewelry_store, pharmacy : 62679
Saved path: party_store, bike_shop, bakery, burger_joint, toy_store, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy : 57180
Saved path: noodle_house, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, craft_shop, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store : 60558
Saved path: noodle_house, clothing_store, tech_shop, bookstore, dentist, craft_shop, pet_store, bank, music_store, hardware_store, bakery, party_store, jewelry_store, barber_shop, salon : 69024
Saved path: salon, noodle_house, grocery_store, cafe, dentist, pizzeria, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop : 66787
Saved path: jewelry_store, party_store, gelateria, bank, florist, pet_store, craft_shop, dentist, cafe, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop : 68662
Saved path: noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, bank, gym, hardware_store, bookstore, cafe, dentist, pizzeria, grocery_store, clothing_store : 62106
Saved path: florist, music_store, bank, gelateria, pet_store, gym, hardware_store, party_store, barber_shop, salon, noodle_house, clothing_store, bookstore, dentist, pizzeria : 68759
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, pharmacy, bakery, jewelry_store : 56454
Saved path: party_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym, pet_store, florist, gelateria, bank : 66343
Saved path: hardware_store, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, barber_shop, salon, clothing_store, grocery_store, tech_shop : 61169
Saved path: gym, florist, music_store, bank, pet_store, craft_shop, dentist, tech_shop, burger_joint, toy_store, noodle_house, salon, jewelry_store, party_store, hardware_store : 69129
