Saved path: noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, hardware_store, bakery, party_store, jewelry_store, barber_shop, salon : 57627
Saved path: florist, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank : 60937
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, florist, pharmacy, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore : 49080
Saved path: dentist, pizzeria, craft_shop, florist, gelateria, pharmacy, jewelry_store, bike_shop, gym, toy_store, salon, noodle_house, burger_joint, bookstore, cafe : 57995
Saved path: burger_joint, cafe, grocery_store, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, hardware_store : 69672
Saved path: pharmacy, bakery, party_store, jewelry_store, hardware_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, gym, craft_shop, pet_store, florist, music_store : 52513
Saved path: dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, bookstore, cafe, grocery_store, tech_shop : 57279
Saved path: bookstore, cafe, tech_shop, dentist, pet_store, bank, gelateria, florist, gym, hardware_store, party_store, jewelry_store, barber_shop, salon, burger_joint : 70509
Saved path: bank, pet_store, craft_shop, dentist, bookstore, cafe, tech_shop, grocery_store, salon, barber_shop, jewelry_store, party_store, gym, florist, gelateria : 69433
Saved path: craft_shop, pizzeria, dentist, grocery_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bakery, bike_shop, jewelry_store, gelateria, bank, music_store : 62985
Saved path: bakery, party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, gym, pet_store, music_store, pharmacy : 62042
Saved path: bakery, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, gym, craft_shop, pet_store, florist, bank, pharmacy : 64980
Saved path: pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store : 56965
Saved path: jewelry_store, party_store, bakery, barber_shop, salon, clothing_store, bookstore, tech_shop, pizzeria, florist, music_store, gelateria, pet_store, gym, hardware_store : 65398
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, music_store, jewelry_store, party_store, bike_shop, barber_shop, noodle_house, toy_store, burger_joint, bookstore : 60052
Saved path: florist, pet_store, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, jewelry_store, bakery, pharmacy, music_store : 55587
Saved path: pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store : 58359
Saved path: dentist, pizzeria, tech_shop, clothing_store, salon, barber_shop, party_store, bakery, pharmacy, gelateria, pet_store, gym, burger_joint, bookstore, cafe : 57557
Saved path: noodle_house, salon, barber_shop, bike_shop, bakery, bank, gelateria, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, hardware_store, toy_store : 61976
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, bike_shop, pharmacy, gelateria, florist, craft_shop : 50037
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, music_store, pharmacy : 58126
Saved path: gelateria, bank, music_store, craft_shop, bookstore, tech_shop, noodle_house, toy_store, hardware_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop : 66633
Saved path: toy_store, gym, hardware_store, salon, barber_shop, jewelry_store, party_store, pharmacy, florist, pet_store, craft_shop, dentist, grocery_store, clothing_store, noodle_house : 60001
Saved path: party_store, barber_shop, salon, noodle_house, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, bank, pharmacy : 66841
Saved path: hardware_store, salon, barber_shop, bike_shop, bakery, pharmacy, florist, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint : 47715
