Saved path: florist, pet_store, gym, burger_joint, bookstore, cafe, grocery_store, noodle_house, toy_store, jewelry_store, bakery, pharmacy, gelateria, bank, music_store : 58012
Saved path: barber_shop, salon, grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, gelateria, pharmacy, party_store : 59774
Saved path: clothing_store, barber_shop, bakery, pharmacy, music_store, bank, pet_store, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store : 59674
Saved path: bike_shop, jewelry_store, party_store, pharmacy, bank, music_store, florist, pet_store, dentist, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop : 68620
Saved path: noodle_house, clothing_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, music_store, gelateria, hardware_store, party_store, jewelry_store, barber_shop, salon : 61084
Saved path: tech_shop, pizzeria, florist, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, grocery_store : 56985
Saved path: hardware_store, gym, florist, gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop, burger_joint, bookstore, clothing_store, salon, jewelry_store, party_store : 70690
Saved path: burger_joint, cafe, pizzeria, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, hardware_store : 69810
Saved path: toy_store, clothing_store, bookstore, cafe, dentist, craft_shop, florist, gelateria, bank, pet_store, gym, bakery, party_store, jewelry_store, salon : 66934
Saved path: tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, music_store, bank, pharmacy, party_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store : 64516
Saved path: salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store, toy_store : 67772
Saved path: dentist, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, hardware_store, pharmacy, bank, music_store, florist, pet_store, craft_shop : 69010
Saved path: music_store, bank, pharmacy, bakery, party_store, gym, hardware_store, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop : 61013
Saved path: burger_joint, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, music_store, bank, pet_store, craft_shop, gym, hardware_store : 63494
Saved path: craft_shop, florist, bank, pharmacy, bakery, party_store, bike_shop, hardware_store, salon, toy_store, clothing_store, grocery_store, burger_joint, cafe, dentist : 59009
Saved path: burger_joint, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, jewelry_store, salon, toy_store, gym : 62485
Saved path: pet_store, pizzeria, dentist, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, gym, hardware_store, party_store, bike_shop, bakery, pharmacy, bank : 62522
Saved path: bookstore, burger_joint, hardware_store, jewelry_store, barber_shop, noodle_house, tech_shop, cafe, dentist, pizzeria, pet_store, gelateria, bank, music_store, florist : 72393
