Saved path: barber_shop, hardware_store, toy_store, noodle_house, grocery_store, bookstore, cafe, dentist, pizzeria, florist, gelateria, music_store, pharmacy, bakery, bike_shop : 53243
Saved path: pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, bakery, hardware_store, gym, florist, gelateria, bank, music_store : 59753
Saved path: craft_shop, dentist, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, gelateria : 51786
Saved path: craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, bakery, music_store, gelateria, pet_store : 56737
Saved path: clothing_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, music_store, gelateria, bakery, bike_shop, barber_shop, toy_store : 49693
Saved path: pet_store, craft_shop, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria : 59107
Saved path: clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store, bank, pharmacy, party_store, bike_shop, hardware_store, burger_joint, toy_store, salon, noodle_house : 61060
Saved path: jewelry_store, bike_shop, bakery, pharmacy, gelateria, gym, hardware_store, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop : 53112
Saved path: bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, dentist, grocery_store, cafe, burger_joint, gym, hardware_store, bike_shop, jewelry_store : 61025
Saved path: florist, gelateria, bank, music_store, bakery, jewelry_store, hardware_store, toy_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop : 59892
Saved path: pharmacy, party_store, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, gym, hardware_store, burger_joint, cafe, pizzeria, craft_shop, gelateria, bank : 66265
Saved path: bakery, barber_shop, toy_store, noodle_house, grocery_store, bookstore, burger_joint, hardware_store, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, party_store : 55010
Saved path: bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, florist : 67524
Saved path: jewelry_store, bike_shop, pharmacy, music_store, bank, gelateria, craft_shop, dentist, tech_shop, noodle_house, salon, toy_store, burger_joint, gym, hardware_store : 65933
Saved path: clothing_store, noodle_house, salon, cafe, bookstore, burger_joint, gym, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, tech_shop, grocery_store : 48484
Saved path: barber_shop, noodle_house, toy_store, hardware_store, bookstore, tech_shop, pizzeria, craft_shop, gelateria, bank, music_store, pharmacy, bakery, party_store, bike_shop : 64754
Saved path: jewelry_store, bike_shop, bakery, pharmacy, bank, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, noodle_house, bookstore, burger_joint, hardware_store : 64079
Saved path: music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, salon, toy_store, gym, party_store : 61063
Saved path: grocery_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, clothing_store : 56605
Saved path: gym, hardware_store, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, music_store, bank, gelateria, pet_store : 65495
Saved path: tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, party_store, jewelry_store, music_store, gelateria, florist, gym, hardware_store, burger_joint, cafe : 55404
Saved path: toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist, burger_joint, gym, florist, music_store, bank, gelateria, bike_shop, jewelry_store, barber_shop : 68975
Saved path: pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, toy_store, barber_shop, bakery, party_store, gelateria, pet_store, craft_shop : 59153
Saved path: bike_shop, party_store, pharmacy, music_store, florist, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, clothing_store, noodle_house, salon, hardware_store : 51969
Saved path: noodle_house, clothing_store, toy_store, gym, burger_joint, bookstore, cafe, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, barber_shop, salon : 50781
Saved path: burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, bank, bakery, bike_shop, hardware_store, salon, noodle_house, clothing_store, grocery_store, tech_shop : 60551
Saved path: pizzeria, tech_shop, clothing_store, noodle_house, bookstore, cafe, burger_joint, hardware_store, barber_shop, jewelry_store, bakery, pharmacy, music_store, pet_store, craft_shop : 61429
Saved path: jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, bookstore, hardware_store, gym, craft_shop, florist, music_store : 59454
Saved path: bank, music_store, pharmacy, bakery, bike_shop, barber_shop, toy_store, gym, bookstore, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria : 60941
Saved path: cafe, dentist, tech_shop, salon, hardware_store, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store, gym, burger_joint, bookstore : 65683
Saved path: gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, bank : 64095
Saved path: tech_shop, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, craft_shop, hardware_store, burger_joint, bookstore, cafe : 63973
Saved path: bookstore, dentist, pizzeria, tech_shop, noodle_house, salon, barber_shop, bakery, pharmacy, bank, music_store, florist, gym, hardware_store, burger_joint : 59221
Saved path: florist, music_store, gelateria, jewelry_store, bakery, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, bookstore, dentist, pizzeria, pet_store : 63591
Saved path: pharmacy, music_store, florist, pet_store, pizzeria, dentist, bookstore, tech_shop, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, bakery : 56059
Saved path: florist, gelateria, music_store, pharmacy, party_store, bike_shop, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, pizzeria, craft_shop : 50736
Saved path: bike_shop, party_store, bakery, pharmacy, gelateria, florist, gym, bookstore, cafe, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop : 55622
Saved path: bike_shop, gym, burger_joint, toy_store, salon, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, gelateria : 55007
Saved path: pizzeria, craft_shop, florist, bank, music_store, pharmacy, party_store, bike_shop, hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop : 55609
Saved path: music_store, florist, pet_store, gym, burger_joint, cafe, grocery_store, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, gelateria, bank : 64701
Saved path: bookstore, cafe, grocery_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, music_store, gelateria, gym, burger_joint : 54082
Saved path: music_store, gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym : 59063
Saved path: clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym, hardware_store, salon : 61699
Saved path: craft_shop, bookstore, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, pet_store : 51277
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, tech_shop, cafe, hardware_store, gym, craft_shop, florist, music_store, pharmacy, bakery : 53795
Saved path: party_store, jewelry_store, salon, noodle_house, burger_joint, cafe, tech_shop, dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, bakery : 65168
Saved path: pharmacy, gym, craft_shop, dentist, cafe, burger_joint, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery : 51583
Saved path: florist, bookstore, burger_joint, hardware_store, bakery, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, pizzeria, craft_shop, pet_store, bank, gelateria : 62889
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, party_store, bike_shop, gym, burger_joint, bookstore, cafe : 60804
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, dentist, craft_shop, pet_store, gelateria, bank : 64408
Saved path: bakery, bike_shop, jewelry_store, salon, noodle_house, grocery_store, dentist, bookstore, burger_joint, gym, pet_store, gelateria, bank, music_store, pharmacy : 66445
Saved path: pet_store, florist, music_store, bank, gelateria, bike_shop, jewelry_store, party_store, toy_store, clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore : 60307
Saved path: pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, grocery_store, pizzeria, dentist, bookstore, burger_joint, gym, gelateria, music_store : 63185
Saved path: hardware_store, salon, jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, grocery_store, bookstore, burger_joint, gym : 61107
Saved path: pet_store, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, clothing_store, toy_store, salon, jewelry_store, bakery, pharmacy, gelateria, bank : 65861
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, clothing_store, noodle_house : 55816
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, dentist, gym, florist, bank, pharmacy : 66251
Saved path: bike_shop, hardware_store, gym, toy_store, salon, noodle_house, cafe, tech_shop, pizzeria, pet_store, florist, gelateria, music_store, pharmacy, jewelry_store : 63025
Saved path: bank, music_store, pharmacy, party_store, bakery, barber_shop, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store, gym, gelateria : 62576
Saved path: gelateria, music_store, pharmacy, bike_shop, jewelry_store, party_store, toy_store, noodle_house, burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, florist : 58960
Saved path: cafe, dentist, pizzeria, craft_shop, gelateria, music_store, pharmacy, bakery, party_store, gym, hardware_store, salon, toy_store, clothing_store, tech_shop : 55503
Saved path: craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, cafe, dentist : 60663
