Saved path: pizzeria, dentist, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, music_store, pharmacy, bakery, barber_shop, salon, clothing_store, tech_shop : 54456
Saved path: jewelry_store, salon, noodle_house, burger_joint, cafe, dentist, pizzeria, craft_shop, gym, pet_store, gelateria, bank, music_store, bike_shop, party_store : 70092
Saved path: salon, barber_shop, bakery, bike_shop, jewelry_store, music_store, gelateria, florist, pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store : 59005
Saved path: bike_shop, bakery, pharmacy, gelateria, bank, florist, gym, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store : 49890
Saved path: craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, bakery, jewelry_store, music_store, gelateria, pet_store : 58524
Saved path: gelateria, music_store, pharmacy, party_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym : 59271
Saved path: burger_joint, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 49324
Saved path: jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, hardware_store, craft_shop, florist, gelateria, bank, bakery : 62268
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, pharmacy, bakery : 60216
Saved path: dentist, cafe, burger_joint, gym, craft_shop, florist, music_store, bakery, party_store, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store : 56147
Saved path: pizzeria, craft_shop, pet_store, music_store, pharmacy, party_store, bike_shop, gym, hardware_store, salon, noodle_house, grocery_store, bookstore, cafe, tech_shop : 59661
Saved path: pizzeria, craft_shop, gym, pet_store, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, burger_joint, bookstore, dentist : 64719
Saved path: jewelry_store, party_store, bike_shop, music_store, gelateria, florist, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop : 60278
Saved path: craft_shop, pizzeria, dentist, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym, florist, music_store : 60461
Saved path: salon, noodle_house, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym, music_store, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop : 62993
Saved path: florist, gelateria, music_store, pharmacy, party_store, gym, toy_store, salon, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store : 58497
Saved path: florist, gelateria, music_store, pharmacy, bakery, jewelry_store, bike_shop, gym, burger_joint, cafe, tech_shop, clothing_store, dentist, craft_shop, pet_store : 55123
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, pharmacy, pet_store : 57872
Saved path: noodle_house, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, florist, bank, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store : 66939
Saved path: toy_store, hardware_store, jewelry_store, bike_shop, bank, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, salon : 71414
Saved path: dentist, pizzeria, craft_shop, florist, music_store, party_store, bakery, barber_shop, salon, toy_store, hardware_store, burger_joint, cafe, grocery_store, clothing_store : 55095
Saved path: salon, barber_shop, jewelry_store, party_store, bakery, gelateria, bank, florist, pet_store, pizzeria, dentist, cafe, bookstore, grocery_store, toy_store : 69801
Saved path: bike_shop, bakery, pharmacy, gelateria, bank, florist, craft_shop, dentist, bookstore, cafe, tech_shop, noodle_house, toy_store, salon, jewelry_store : 63074
Saved path: craft_shop, gym, burger_joint, tech_shop, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store : 56746
Saved path: bakery, barber_shop, noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, gelateria, bank, music_store, pharmacy : 54004
Saved path: music_store, pharmacy, hardware_store, salon, clothing_store, tech_shop, pizzeria, cafe, burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank : 57716
Saved path: noodle_house, salon, barber_shop, jewelry_store, party_store, bike_shop, gym, pet_store, florist, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint : 63231
Saved path: craft_shop, pizzeria, dentist, bookstore, burger_joint, gym, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, gelateria, bank, music_store : 70445
Saved path: burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, music_store, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, bookstore : 63811
Saved path: party_store, jewelry_store, bakery, gym, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, florist, bank, music_store, pharmacy : 63140
Saved path: craft_shop, pizzeria, grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, barber_shop, bakery, pharmacy, music_store, bank, florist, pet_store : 58540
Saved path: bike_shop, bakery, pharmacy, bank, music_store, craft_shop, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store : 62501
Saved path: clothing_store, barber_shop, bakery, party_store, pharmacy, music_store, florist, pet_store, craft_shop, gym, bookstore, dentist, pizzeria, tech_shop, grocery_store : 59122
Saved path: pet_store, florist, bank, pharmacy, bakery, bike_shop, gym, hardware_store, salon, toy_store, burger_joint, bookstore, grocery_store, dentist, pizzeria : 64877
Saved path: music_store, florist, pet_store, craft_shop, gym, toy_store, noodle_house, tech_shop, bookstore, burger_joint, hardware_store, bakery, bike_shop, gelateria, bank : 53670
Saved path: jewelry_store, bike_shop, music_store, bank, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store : 64416
Saved path: music_store, gelateria, bike_shop, party_store, bakery, barber_shop, salon, grocery_store, tech_shop, dentist, cafe, burger_joint, gym, pet_store, florist : 59372
Saved path: gym, hardware_store, bookstore, dentist, pizzeria, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, gelateria, pet_store : 63606
Saved path: dentist, bookstore, tech_shop, noodle_house, toy_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, florist, music_store, bank, pet_store : 68002
Saved path: bank, music_store, florist, gym, hardware_store, burger_joint, dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, party_store, pharmacy, gelateria : 61072
Saved path: tech_shop, cafe, dentist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store : 63138
Saved path: hardware_store, gym, florist, music_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, cafe, bookstore, burger_joint : 61511
Saved path: bakery, bike_shop, hardware_store, salon, toy_store, clothing_store, tech_shop, cafe, dentist, pizzeria, pet_store, bank, music_store, florist, gym : 62077
Saved path: jewelry_store, party_store, bakery, gelateria, music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house, barber_shop : 52901
