Saved path: pharmacy, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, pet_store, florist, gelateria, bank : 62757
Saved path: tech_shop, grocery_store, salon, toy_store, gym, bike_shop, pharmacy, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, bookstore : 64702
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, gym, florist, gelateria, pharmacy, bakery : 55627
Saved path: music_store, bank, gelateria, craft_shop, dentist, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bakery, party_store, jewelry_store : 60927
Saved path: noodle_house, grocery_store, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, music_store, gelateria, pharmacy, bike_shop, barber_shop, salon, toy_store : 54329
Saved path: florist, gelateria, pharmacy, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, craft_shop, pet_store : 47698
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, hardware_store, gym, pet_store, florist, gelateria, pharmacy : 50647
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop : 63463
Saved path: salon, barber_shop, bike_shop, bakery, pharmacy, pet_store, craft_shop, pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, gym, toy_store : 54343
Saved path: toy_store, noodle_house, clothing_store, tech_shop, cafe, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store : 60907
Saved path: cafe, clothing_store, noodle_house, toy_store, salon, jewelry_store, bakery, pharmacy, music_store, bank, florist, craft_shop, gym, burger_joint, bookstore : 58615
Saved path: bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, tech_shop, noodle_house, barber_shop : 62385
Saved path: bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, tech_shop, cafe, burger_joint, pet_store, florist, music_store, bank, gelateria, pharmacy : 63801
Saved path: bakery, pharmacy, music_store, gelateria, florist, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, party_store : 55500
Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym, jewelry_store, pharmacy, bank, gelateria : 62315
Saved path: party_store, bakery, pharmacy, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store, noodle_house, barber_shop, jewelry_store : 56762
Saved path: tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, pharmacy, party_store, barber_shop, toy_store, noodle_house : 69085
Saved path: gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, clothing_store, burger_joint, hardware_store, salon, barber_shop, bike_shop, pharmacy : 63018
Saved path: bike_shop, jewelry_store, party_store, bakery, toy_store, noodle_house, clothing_store, burger_joint, bookstore, dentist, pizzeria, craft_shop, florist, bank, music_store : 63353
Saved path: bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, hardware_store, gym, pet_store, florist, bank, music_store, pharmacy : 54160
Saved path: gelateria, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank : 58392
Saved path: gelateria, pet_store, gym, hardware_store, party_store, bakery, barber_shop, salon, tech_shop, bookstore, dentist, pizzeria, florist, music_store, bank : 70110
Saved path: bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, noodle_house, toy_store, hardware_store, jewelry_store : 62124
Saved path: craft_shop, pizzeria, grocery_store, toy_store, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, florist, music_store, bank, gelateria, pet_store : 69112
Saved path: grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, barber_shop, noodle_house : 58483
Saved path: pizzeria, tech_shop, cafe, bookstore, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store, gelateria, bank, florist, pet_store : 71248
Saved path: jewelry_store, bike_shop, barber_shop, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, bookstore, grocery_store, tech_shop, cafe, hardware_store : 66245
Saved path: gelateria, music_store, florist, pet_store, craft_shop, dentist, cafe, burger_joint, hardware_store, noodle_house, salon, barber_shop, party_store, bakery, pharmacy : 56880
Saved path: florist, gelateria, music_store, pharmacy, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, tech_shop, cafe, gym, craft_shop, pet_store : 56819
Saved path: party_store, bike_shop, pharmacy, music_store, bank, pet_store, pizzeria, dentist, bookstore, burger_joint, cafe, tech_shop, grocery_store, salon, hardware_store : 65686
Saved path: craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, gelateria : 59436
Saved path: grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank, gym, burger_joint, bookstore, pizzeria, tech_shop : 70097
Saved path: tech_shop, cafe, burger_joint, hardware_store, gym, toy_store, salon, barber_shop, bike_shop, bakery, music_store, bank, gelateria, craft_shop, dentist : 59503
Saved path: salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, pet_store, florist, pharmacy, party_store, bakery, barber_shop : 49597
Saved path: pizzeria, florist, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, gym, bookstore, burger_joint, toy_store, clothing_store, grocery_store, tech_shop : 60548
Saved path: hardware_store, salon, noodle_house, clothing_store, bookstore, tech_shop, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, bike_shop, gym : 58659
Saved path: noodle_house, salon, barber_shop, party_store, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store : 53052
Saved path: bank, music_store, bike_shop, bakery, barber_shop, salon, noodle_house, toy_store, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, florist : 63039
Saved path: dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon, hardware_store, party_store, pharmacy, gelateria, florist, craft_shop, gym, burger_joint, bookstore : 54680
Saved path: gelateria, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, burger_joint, hardware_store, gym, pet_store, florist, music_store, bank : 57590
Saved path: pharmacy, party_store, barber_shop, salon, hardware_store, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria : 65375
Saved path: bike_shop, jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, cafe, dentist, gelateria, music_store, pharmacy, bakery : 57118
Saved path: toy_store, salon, hardware_store, gym, bakery, party_store, jewelry_store, bike_shop, music_store, bank, gelateria, pet_store, craft_shop, dentist, grocery_store : 67499
Saved path: bank, music_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, pet_store, gelateria : 62631
Saved path: pharmacy, gelateria, music_store, florist, gym, burger_joint, bookstore, cafe, dentist, pizzeria, clothing_store, toy_store, salon, barber_shop, bike_shop : 54340
Saved path: clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bike_shop, gelateria, florist, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint : 58627
Saved path: bank, music_store, bike_shop, jewelry_store, bakery, barber_shop, noodle_house, toy_store, gym, burger_joint, tech_shop, pizzeria, craft_shop, pet_store, gelateria : 69959
Saved path: gelateria, florist, hardware_store, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, tech_shop, bookstore, cafe, dentist, craft_shop, pet_store, bank : 69119
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bakery, jewelry_store, music_store, florist, craft_shop, dentist, cafe, bookstore, tech_shop : 53127
Saved path: pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, dentist, bookstore, grocery_store, toy_store, salon, hardware_store, party_store, bike_shop, bakery : 62560
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore, clothing_store, toy_store, barber_shop : 56055
Saved path: bakery, party_store, bike_shop, hardware_store, salon, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, pet_store, bank, florist, gym : 67857
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, cafe, burger_joint, gym, hardware_store, salon, barber_shop, bike_shop, party_store, bakery : 59417
Saved path: tech_shop, cafe, bookstore, clothing_store, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, pet_store, pizzeria : 63009
Saved path: bakery, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store : 65904
Saved path: music_store, florist, pet_store, craft_shop, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, gelateria, bank : 54002
Saved path: craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, jewelry_store, party_store, pharmacy, bank, florist, pet_store : 64433
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, music_store, bank, gelateria, pet_store, craft_shop, gym, bookstore, cafe : 66888
Saved path: cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, bank, florist, pet_store, craft_shop, dentist : 64758
Saved path: pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, noodle_house, bookstore, cafe, burger_joint, gym, hardware_store, jewelry_store : 58060
Saved path: craft_shop, dentist, cafe, gym, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store : 62092
