Saved path: burger_joint, hardware_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store, bookstore, tech_shop, cafe : 59281
Saved path: florist, craft_shop, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, pharmacy, music_store, bank, gelateria : 53539
Saved path: jewelry_store, bike_shop, bakery, pharmacy, florist, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 56410
Saved path: barber_shop, salon, toy_store, clothing_store, pizzeria, craft_shop, pet_store, bank, florist, bookstore, burger_joint, hardware_store, jewelry_store, bike_shop, bakery : 71953
Saved path: clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, bike_shop, toy_store, salon, noodle_house : 48348
Saved path: grocery_store, tech_shop, bookstore, burger_joint, gym, craft_shop, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store : 54023
Saved path: music_store, florist, pet_store, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, hardware_store, gym, party_store, bakery, pharmacy, gelateria : 56126
Saved path: bank, music_store, pharmacy, bike_shop, jewelry_store, burger_joint, bookstore, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria : 61436
Saved path: barber_shop, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, florist, music_store, bank, pet_store, gym, hardware_store, jewelry_store : 70767
Saved path: tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store : 60817
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery : 56492
Saved path: party_store, jewelry_store, bike_shop, hardware_store, salon, clothing_store, tech_shop, cafe, bookstore, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 62773
Saved path: dentist, pizzeria, craft_shop, gym, pet_store, bank, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 69534
Saved path: music_store, party_store, bike_shop, gym, burger_joint, toy_store, salon, clothing_store, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bank : 67139
Saved path: pet_store, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, bakery, pharmacy, bank, gelateria, florist : 57530
Saved path: bakery, jewelry_store, bike_shop, hardware_store, salon, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, music_store, pharmacy : 63931
