Saved path: music_store, florist, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, noodle_house, toy_store, gym, bakery, party_store, gelateria, bank : 64086
Saved path: florist, craft_shop, burger_joint, cafe, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store : 59687
Saved path: pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, party_store, bakery, music_store, bank, pet_store, craft_shop : 59637
Saved path: pet_store, gelateria, music_store, florist, craft_shop, pizzeria, dentist, burger_joint, clothing_store, noodle_house, salon, jewelry_store, party_store, bakery, gym : 62553
Saved path: noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, pet_store, florist, pharmacy, bakery, jewelry_store, hardware_store, gym, burger_joint, bookstore : 54564
Saved path: bank, music_store, pharmacy, bakery, jewelry_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria : 56342
Saved path: barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, bank, gelateria, bike_shop, jewelry_store, bakery : 69272
Saved path: grocery_store, noodle_house, toy_store, barber_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, dentist, burger_joint, cafe : 60849
Saved path: craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, hardware_store, gelateria, bank, music_store, florist : 56188
Saved path: party_store, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, bank, florist, gym, jewelry_store : 64036
Saved path: hardware_store, gym, pizzeria, craft_shop, music_store, gelateria, jewelry_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint : 60953
Saved path: barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, music_store, party_store : 56566
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, party_store, bakery, music_store, bank, pet_store, craft_shop, bookstore, cafe, tech_shop : 56801
Saved path: bakery, bike_shop, jewelry_store, hardware_store, toy_store, salon, noodle_house, clothing_store, tech_shop, bookstore, gym, pet_store, florist, bank, pharmacy : 66089
Saved path: pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, hardware_store, party_store : 61431
Saved path: bank, pet_store, craft_shop, bookstore, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, bakery, gym, florist, gelateria : 66040
Saved path: gym, bookstore, burger_joint, toy_store, noodle_house, grocery_store, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store : 56764
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist : 62296
Saved path: bike_shop, bakery, gelateria, bank, music_store, florist, pet_store, gym, hardware_store, burger_joint, tech_shop, grocery_store, noodle_house, salon, barber_shop : 56973
Saved path: hardware_store, toy_store, noodle_house, clothing_store, burger_joint, bookstore, cafe, pizzeria, pet_store, florist, bank, gelateria, bike_shop, jewelry_store, party_store : 67105
Saved path: bike_shop, pharmacy, music_store, florist, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop : 50151
Saved path: bank, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria, craft_shop : 62742
Saved path: florist, gelateria, bank, music_store, pharmacy, bakery, party_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, cafe, burger_joint, gym : 50375
Saved path: toy_store, burger_joint, bookstore, grocery_store, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, jewelry_store, party_store, bakery, gym : 58605
Saved path: florist, music_store, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store : 57756
Saved path: toy_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, music_store, gelateria, pizzeria, dentist, cafe, bookstore, burger_joint : 57347
Saved path: jewelry_store, bike_shop, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, cafe, gym, hardware_store, salon, barber_shop : 58010
Saved path: pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, toy_store, salon, jewelry_store, bike_shop, bakery, pharmacy, music_store, florist, pet_store : 60233
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, noodle_house, tech_shop, cafe, burger_joint, gym, craft_shop, pet_store, florist, music_store, bank : 61751
Saved path: jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, dentist, clothing_store, tech_shop, cafe, bookstore, hardware_store : 61825
Saved path: pet_store, gelateria, florist, craft_shop, gym, hardware_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, bookstore : 53337
Saved path: salon, barber_shop, jewelry_store, party_store, pharmacy, bank, gelateria, florist, gym, craft_shop, pizzeria, dentist, cafe, bookstore, noodle_house : 67627
Saved path: dentist, cafe, burger_joint, hardware_store, gelateria, music_store, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, pizzeria : 53768
Saved path: bank, music_store, party_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, tech_shop, grocery_store, dentist, craft_shop, pet_store, florist, gelateria : 66553
Saved path: tech_shop, grocery_store, noodle_house, salon, hardware_store, jewelry_store, party_store, bakery, bank, music_store, florist, pet_store, dentist, burger_joint, bookstore : 68051
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, cafe, dentist, gym, florist, music_store, bank, gelateria, pharmacy : 65782
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, burger_joint, bookstore, cafe, dentist, craft_shop, florist : 63081
Saved path: party_store, bakery, barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, bike_shop : 67288
Saved path: hardware_store, burger_joint, bookstore, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, bakery, pharmacy, music_store, florist, pet_store, gym : 53003
Saved path: dentist, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, bakery, pharmacy, bank, pet_store, pizzeria : 65049
Saved path: party_store, bike_shop, bakery, music_store, bank, gelateria, gym, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, salon, jewelry_store : 69305
Saved path: clothing_store, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, dentist, bookstore, cafe, tech_shop : 63447
Saved path: clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, music_store, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe : 56337
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, music_store, gelateria, pharmacy, party_store, jewelry_store, salon, toy_store, noodle_house : 53301
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pet_store, bank, music_store, pharmacy, bakery, bike_shop, hardware_store, barber_shop, salon : 58354
Saved path: gym, hardware_store, bookstore, cafe, tech_shop, grocery_store, salon, barber_shop, bakery, party_store, jewelry_store, gelateria, music_store, florist, craft_shop : 55525
Saved path: bookstore, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, dentist : 64717
Saved path: pet_store, pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, bakery, gelateria, bank, florist : 65414
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, jewelry_store, party_store, bakery, gym, toy_store, grocery_store, cafe : 64264
Saved path: pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, burger_joint, bookstore, clothing_store, tech_shop : 66282
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, bike_shop, party_store, bakery, gym, burger_joint : 54644
Saved path: pet_store, gelateria, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, craft_shop : 54486
Saved path: gym, hardware_store, party_store, jewelry_store, bakery, pharmacy, bank, pet_store, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 63437
Saved path: bike_shop, jewelry_store, party_store, bakery, bank, music_store, florist, pet_store, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, hardware_store : 63884
Saved path: gym, hardware_store, party_store, pharmacy, bank, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, salon, toy_store, burger_joint, bookstore : 63748
Saved path: pet_store, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, tech_shop, cafe, bookstore, dentist, craft_shop : 63806
Saved path: bike_shop, bakery, hardware_store, salon, toy_store, clothing_store, burger_joint, cafe, dentist, pizzeria, pet_store, florist, bank, music_store, jewelry_store : 69255
Saved path: cafe, dentist, craft_shop, pet_store, bank, gelateria, party_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 62786
Saved path: pharmacy, bank, music_store, florist, pizzeria, tech_shop, clothing_store, burger_joint, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery : 66694
Saved path: florist, gelateria, bike_shop, party_store, jewelry_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store : 59397
Saved path: party_store, jewelry_store, bike_shop, music_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, bakery : 56040
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bakery, bank, music_store, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop : 56523
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, gym, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 71232
Saved path: toy_store, barber_shop, pharmacy, music_store, bank, gelateria, florist, craft_shop, pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, hardware_store : 55116
Saved path: barber_shop, bakery, bike_shop, jewelry_store, party_store, hardware_store, florist, music_store, bank, gelateria, pet_store, dentist, cafe, grocery_store, noodle_house : 69144
Saved path: salon, hardware_store, bakery, bike_shop, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, toy_store : 59018
Saved path: florist, gelateria, bank, music_store, pharmacy, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, hardware_store, gym : 50991
Saved path: bank, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy : 60985
Saved path: dentist, pizzeria, pet_store, florist, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, cafe : 58923
Saved path: hardware_store, gym, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, clothing_store, cafe, burger_joint : 53091
Saved path: hardware_store, gym, craft_shop, florist, music_store, gelateria, pharmacy, jewelry_store, barber_shop, salon, clothing_store, tech_shop, pizzeria, dentist, bookstore : 62422
Saved path: craft_shop, pizzeria, dentist, tech_shop, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, gelateria, pet_store, gym : 64411
