Saved path: gym, pet_store, florist, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, bookstore : 60726
Saved path: salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, florist, music_store, gelateria, pharmacy, party_store, bike_shop, barber_shop : 55741
Saved path: cafe, pizzeria, craft_shop, gelateria, bank, gym, hardware_store, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store : 67979
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, florist, bank, party_store, bakery : 61748
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, dentist, craft_shop, music_store, bank, bakery, hardware_store, toy_store : 53492
Saved path: pharmacy, gelateria, florist, pet_store, gym, hardware_store, burger_joint, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery : 55899
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, bank, pharmacy, party_store, bakery : 56682
Saved path: craft_shop, gelateria, bank, bakery, bike_shop, jewelry_store, salon, toy_store, gym, burger_joint, bookstore, cafe, grocery_store, dentist, pizzeria : 68638
Saved path: craft_shop, pet_store, florist, bank, gelateria, pharmacy, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, cafe, burger_joint, dentist, pizzeria : 60155
Saved path: grocery_store, clothing_store, dentist, pizzeria, pet_store, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, cafe, tech_shop : 65200
Saved path: barber_shop, salon, hardware_store, toy_store, clothing_store, tech_shop, cafe, bookstore, dentist, pet_store, bank, gelateria, pharmacy, bakery, bike_shop : 60869
Saved path: toy_store, burger_joint, cafe, grocery_store, dentist, craft_shop, florist, gelateria, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon : 55234
Saved path: bookstore, cafe, clothing_store, toy_store, salon, barber_shop, party_store, bakery, music_store, bank, gelateria, pet_store, craft_shop, hardware_store, burger_joint : 61077
Saved path: bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, gym, hardware_store, salon, clothing_store, grocery_store : 58552
Saved path: gym, pet_store, florist, gelateria, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, bookstore, hardware_store : 62406
Saved path: burger_joint, bookstore, tech_shop, clothing_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, pet_store, pizzeria, dentist : 68951
Saved path: burger_joint, dentist, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, florist, gym : 65165
Saved path: pizzeria, pet_store, florist, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, clothing_store, grocery_store, bookstore, tech_shop : 68613
Saved path: clothing_store, tech_shop, dentist, burger_joint, gym, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 66406
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, hardware_store, bike_shop, party_store, bakery, pharmacy, music_store, bank, barber_shop, salon : 65455
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, tech_shop, bookstore, craft_shop, pet_store, gelateria : 58206
Saved path: tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, hardware_store, gym, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store : 64169
