Saved path: pet_store, music_store, bakery, party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria : 60092
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, gym : 65307
Saved path: barber_shop, noodle_house, clothing_store, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, florist, music_store, bank, pharmacy, bakery, jewelry_store : 64714
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, florist, gym, bakery, jewelry_store : 56118
Saved path: pizzeria, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, burger_joint, bookstore, clothing_store, grocery_store, tech_shop : 60735
Saved path: pizzeria, craft_shop, florist, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, toy_store, hardware_store, gym, cafe, tech_shop, dentist : 69680
Saved path: dentist, bookstore, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, gym, florist, gelateria, bank, pet_store : 69625
Saved path: gelateria, jewelry_store, party_store, bike_shop, barber_shop, noodle_house, toy_store, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, music_store, bank : 65312
Saved path: party_store, jewelry_store, salon, noodle_house, burger_joint, cafe, pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym, bakery, bike_shop : 68627
Saved path: hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, salon, toy_store : 58256
Saved path: barber_shop, salon, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bakery, party_store : 63342
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store : 69737
Saved path: bike_shop, party_store, gelateria, bank, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, barber_shop : 63754
Saved path: noodle_house, clothing_store, dentist, cafe, burger_joint, gym, craft_shop, florist, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store : 48257
Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store : 66818
Saved path: bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, pet_store, bank, gelateria, pharmacy, party_store : 58266
Saved path: salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, burger_joint, gym, hardware_store, toy_store : 50862
Saved path: bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, music_store : 60851
Saved path: cafe, bookstore, craft_shop, pet_store, bank, gelateria, pharmacy, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 52588
Saved path: toy_store, burger_joint, gym, hardware_store, bike_shop, bakery, pharmacy, bank, music_store, craft_shop, dentist, tech_shop, clothing_store, noodle_house, salon : 57086
Saved path: pharmacy, gelateria, music_store, florist, pet_store, craft_shop, gym, bookstore, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, party_store, bakery : 54559
Saved path: bakery, party_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, pet_store, gelateria, music_store, pharmacy : 56922
Saved path: gelateria, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, dentist, burger_joint, gym, craft_shop, florist, music_store, bank : 63302
Saved path: toy_store, gym, pet_store, music_store, bike_shop, party_store, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, salon : 62737
Saved path: grocery_store, clothing_store, toy_store, salon, hardware_store, bakery, party_store, jewelry_store, bike_shop, music_store, gelateria, florist, gym, bookstore, cafe : 54209
Saved path: cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, gym, bakery, bike_shop, gelateria, music_store, florist, craft_shop, pizzeria, dentist : 50685
