Saved path: burger_joint, gym, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria : 66945
Saved path: jewelry_store, party_store, pharmacy, music_store, gelateria, florist, pet_store, dentist, bookstore, tech_shop, grocery_store, noodle_house, toy_store, gym, bike_shop : 60105
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, music_store, florist, pet_store, gym, hardware_store, burger_joint, cafe, pizzeria, tech_shop : 53279
Saved path: music_store, florist, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, salon, hardware_store, party_store, jewelry_store, bike_shop, pharmacy : 59038
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store, dentist, tech_shop, grocery_store, bookstore, hardware_store, barber_shop, bike_shop : 70474
Saved path: craft_shop, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, clothing_store, noodle_house, barber_shop, party_store, pharmacy, gelateria, bank, florist : 64184
Saved path: music_store, gelateria, florist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, bookstore, burger_joint, gym, bike_shop, pharmacy : 51724
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery, music_store, bank, gelateria, florist, dentist, bookstore, burger_joint, tech_shop, grocery_store : 65107
Saved path: pharmacy, bakery, bike_shop, party_store, hardware_store, salon, toy_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, bank, music_store : 62048
Saved path: pizzeria, dentist, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, bakery, pharmacy, bank, pet_store, craft_shop : 63577
Saved path: pizzeria, dentist, tech_shop, grocery_store, noodle_house, burger_joint, hardware_store, jewelry_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop : 62958
Saved path: gym, craft_shop, florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, grocery_store, pizzeria, dentist, bookstore, burger_joint : 59095
Saved path: party_store, jewelry_store, music_store, gelateria, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop : 62076
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, craft_shop, music_store, bank, gelateria, pharmacy, jewelry_store, bike_shop : 60122
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, pharmacy, bank, gelateria, florist, craft_shop, dentist, cafe, bookstore : 62179
Saved path: gym, hardware_store, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, craft_shop : 60857
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, hardware_store, gym, gelateria, bank, party_store, bakery, barber_shop, salon, toy_store : 63621
Saved path: dentist, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, florist, pet_store, craft_shop : 57475
Saved path: gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop : 56109
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, gym, hardware_store, burger_joint, toy_store, noodle_house, salon : 59818
Saved path: gym, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, pet_store, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store : 59100
Saved path: grocery_store, tech_shop, bookstore, gym, craft_shop, pet_store, bank, gelateria, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house : 64444
Saved path: salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, gym, florist, pharmacy, bike_shop, jewelry_store, barber_shop : 57866
Saved path: toy_store, hardware_store, bike_shop, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, gym, bookstore, cafe, clothing_store, noodle_house, salon : 47826
Saved path: hardware_store, gym, pizzeria, craft_shop, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint : 60872
Saved path: hardware_store, gym, burger_joint, toy_store, salon, clothing_store, dentist, craft_shop, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop : 58846
Saved path: music_store, bank, pet_store, craft_shop, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bakery, hardware_store, florist : 60136
Saved path: bakery, party_store, jewelry_store, barber_shop, noodle_house, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, pharmacy : 67588
Saved path: tech_shop, grocery_store, salon, bike_shop, party_store, pharmacy, music_store, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist, pizzeria : 61292
Saved path: pizzeria, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, party_store, jewelry_store, gelateria, bank, florist : 69338
Saved path: bike_shop, bakery, pharmacy, bank, craft_shop, dentist, bookstore, burger_joint, gym, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store : 68648
Saved path: pet_store, gelateria, bank, music_store, bike_shop, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, pizzeria, craft_shop, gym : 61604
Saved path: tech_shop, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, party_store, bakery, pharmacy, bank, music_store, florist, pet_store, dentist : 60797
Saved path: barber_shop, salon, burger_joint, tech_shop, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, bakery, party_store, jewelry_store, bike_shop : 71161
Saved path: dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, gym, gelateria, music_store, pharmacy, bike_shop, party_store, hardware_store, burger_joint, bookstore : 54794
Saved path: noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, bakery, bike_shop, gym, toy_store, salon : 52803
Saved path: bank, music_store, pharmacy, bakery, party_store, gym, burger_joint, cafe, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, florist, gelateria : 58284
Saved path: barber_shop, salon, noodle_house, grocery_store, bookstore, burger_joint, cafe, pizzeria, pet_store, bank, music_store, florist, gym, bakery, bike_shop : 63147
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store, gym, burger_joint, toy_store, salon : 66038
Saved path: noodle_house, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, barber_shop, salon : 60389
Saved path: dentist, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, bakery, gym, pet_store, gelateria, music_store, florist, craft_shop, pizzeria : 55392
Saved path: bike_shop, jewelry_store, party_store, bakery, gelateria, bank, pet_store, craft_shop, dentist, bookstore, tech_shop, clothing_store, noodle_house, toy_store, barber_shop : 67105
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, florist, music_store, bank, gelateria, bike_shop, barber_shop, toy_store, clothing_store : 62311
Saved path: noodle_house, burger_joint, bookstore, dentist, pizzeria, craft_shop, gym, music_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop : 65300
Saved path: jewelry_store, party_store, pharmacy, gelateria, florist, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, salon, hardware_store, bike_shop : 61353
Saved path: bakery, barber_shop, salon, noodle_house, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, florist, bank, gelateria, pharmacy, party_store : 64792
Saved path: pet_store, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, toy_store, salon, barber_shop, party_store, pharmacy, music_store, bank, florist : 70331
Saved path: bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, gym, noodle_house, clothing_store, grocery_store, tech_shop : 51707
Saved path: bike_shop, gym, hardware_store, salon, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, bank, music_store, pharmacy, party_store : 63973
Saved path: dentist, pizzeria, pet_store, gelateria, bank, music_store, florist, hardware_store, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store : 68161
Saved path: bookstore, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, music_store, gelateria, florist, pizzeria, gym, burger_joint : 60879
Saved path: burger_joint, gym, craft_shop, florist, music_store, bank, gelateria, party_store, barber_shop, salon, grocery_store, tech_shop, dentist, cafe, bookstore : 62671
Saved path: gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, grocery_store, tech_shop, bookstore, dentist, florist, bank : 61824
Saved path: gym, hardware_store, burger_joint, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop : 55873
Saved path: barber_shop, noodle_house, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, florist, bank, gelateria, bike_shop, party_store, jewelry_store : 70032
Saved path: salon, jewelry_store, party_store, pharmacy, bank, craft_shop, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store : 67701
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, burger_joint, toy_store, barber_shop, bike_shop : 56228
Saved path: gelateria, barber_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, cafe, clothing_store, dentist, pizzeria, craft_shop, pet_store, florist, bank : 71319
Saved path: burger_joint, cafe, dentist, pizzeria, tech_shop, noodle_house, salon, toy_store, hardware_store, bike_shop, pharmacy, gelateria, florist, pet_store, gym : 54593
Saved path: craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, burger_joint, gym, bike_shop, jewelry_store, pharmacy, music_store, bank, florist, pet_store : 65025
Saved path: gym, hardware_store, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, pet_store, gelateria, bank, music_store : 68552
Saved path: bookstore, burger_joint, clothing_store, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, music_store, bank, gelateria, florist, craft_shop, dentist : 63975
Saved path: toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, gym, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store : 60860
Saved path: dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, bakery, party_store, jewelry_store, bike_shop, music_store, bank, gelateria, pet_store, craft_shop : 63220
Saved path: music_store, florist, gym, bookstore, cafe, tech_shop, toy_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank : 62058
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gelateria, music_store, pharmacy, bakery, bike_shop, jewelry_store : 53312
Saved path: dentist, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank, music_store, florist, gym, hardware_store, burger_joint, cafe : 63851
Saved path: dentist, craft_shop, pet_store, bank, pharmacy, hardware_store, bakery, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, burger_joint, cafe : 67529
Saved path: hardware_store, gym, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store, dentist, burger_joint : 71007
Saved path: clothing_store, noodle_house, burger_joint, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, pet_store, pizzeria, dentist, cafe : 59024
Saved path: pizzeria, craft_shop, music_store, bank, pharmacy, bakery, bike_shop, barber_shop, salon, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym : 59943
Saved path: craft_shop, gelateria, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, toy_store, burger_joint, cafe, dentist : 61870
Saved path: tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, gelateria, florist, gym, hardware_store, burger_joint, dentist, pizzeria : 52752
Saved path: dentist, tech_shop, cafe, burger_joint, toy_store, gym, hardware_store, jewelry_store, bakery, pharmacy, music_store, gelateria, florist, pet_store, craft_shop : 54844
Saved path: pizzeria, craft_shop, florist, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, burger_joint, cafe, tech_shop, dentist : 65779
Saved path: hardware_store, gym, pizzeria, music_store, gelateria, bike_shop, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint : 54050
Saved path: bookstore, burger_joint, cafe, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, jewelry_store, hardware_store, salon, toy_store, clothing_store : 68039
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, craft_shop, pet_store, bank, bakery, party_store, bike_shop, barber_shop : 62541
Saved path: florist, music_store, bank, gelateria, jewelry_store, bike_shop, bakery, barber_shop, salon, clothing_store, cafe, tech_shop, pizzeria, craft_shop, gym : 66753
