Saved path: clothing_store, cafe, burger_joint, hardware_store, gym, craft_shop, florist, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 62147
Saved path: noodle_house, barber_shop, bakery, bike_shop, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store, clothing_store : 52253
Saved path: craft_shop, pizzeria, dentist, grocery_store, bookstore, burger_joint, toy_store, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist : 61595
Saved path: bank, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, music_store : 67699
Saved path: pet_store, bank, music_store, pharmacy, bakery, jewelry_store, salon, noodle_house, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, craft_shop : 67040
Saved path: salon, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop : 67905
Saved path: dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, florist, hardware_store, burger_joint : 56947
Saved path: dentist, pet_store, bank, music_store, bike_shop, jewelry_store, party_store, barber_shop, noodle_house, clothing_store, grocery_store, toy_store, hardware_store, burger_joint, bookstore : 70688
Saved path: bike_shop, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, bookstore, cafe, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store : 59807
Saved path: salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, music_store, bank, bakery, jewelry_store, barber_shop : 64885
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, music_store, bank, pharmacy, bike_shop, hardware_store : 58607
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, jewelry_store, bakery, barber_shop, noodle_house, clothing_store, toy_store : 65871
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store, gym, burger_joint, dentist, craft_shop, pet_store, gelateria, pharmacy, bakery : 59992
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist, burger_joint, gym, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store : 68097
Saved path: bank, pharmacy, bike_shop, gym, toy_store, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, craft_shop, gelateria : 61192
Saved path: bike_shop, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, bookstore, burger_joint, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store : 55363
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, salon, barber_shop, bakery, party_store, bike_shop, gelateria, florist, craft_shop : 50520
Saved path: party_store, jewelry_store, salon, noodle_house, grocery_store, tech_shop, dentist, cafe, burger_joint, gym, bank, music_store, pharmacy, bakery, bike_shop : 65025
Saved path: dentist, pizzeria, craft_shop, florist, music_store, bank, gym, hardware_store, bike_shop, party_store, bakery, barber_shop, noodle_house, bookstore, cafe : 66177
Saved path: barber_shop, music_store, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bakery, jewelry_store : 69273
Saved path: florist, gelateria, music_store, pharmacy, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint, gym : 49906
Saved path: noodle_house, clothing_store, tech_shop, bookstore, dentist, pizzeria, florist, music_store, gelateria, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, salon : 63117
Saved path: burger_joint, gym, craft_shop, bank, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, tech_shop, dentist, cafe : 66432
Saved path: bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, party_store, jewelry_store, bike_shop, gelateria, bank, music_store, craft_shop, pizzeria, dentist : 63516
Saved path: dentist, tech_shop, cafe, bookstore, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, bank, gelateria, florist : 67602
Saved path: florist, gelateria, bank, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, tech_shop, bookstore, dentist, pizzeria, craft_shop : 65060
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, pizzeria, dentist, cafe, burger_joint, gym, pet_store, florist, music_store, pharmacy, bike_shop : 55186
Saved path: party_store, bike_shop, bank, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon, jewelry_store : 68719
Saved path: florist, bank, pharmacy, party_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, gym, pet_store : 64418
Saved path: tech_shop, cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, florist, pizzeria : 56502
Saved path: craft_shop, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, salon, grocery_store, tech_shop, cafe, burger_joint, dentist : 62216
Saved path: hardware_store, gym, pizzeria, dentist, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house : 69756
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy, pet_store, hardware_store, burger_joint, bookstore, cafe : 56711
Saved path: barber_shop, salon, clothing_store, cafe, bookstore, gym, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop : 61645
Saved path: bank, music_store, florist, craft_shop, pizzeria, dentist, tech_shop, cafe, burger_joint, gym, hardware_store, salon, barber_shop, party_store, gelateria : 64731
Saved path: pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, hardware_store, salon, clothing_store, bookstore, cafe, tech_shop : 56100
Saved path: florist, gym, hardware_store, bike_shop, barber_shop, salon, noodle_house, toy_store, burger_joint, cafe, pizzeria, craft_shop, pet_store, bank, gelateria : 61965
Saved path: noodle_house, grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bike_shop, party_store, barber_shop, toy_store : 69207
Saved path: gym, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, craft_shop, pizzeria, cafe, bookstore, grocery_store, noodle_house, salon, toy_store : 59944
Saved path: pharmacy, music_store, gelateria, gym, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop : 54350
Saved path: hardware_store, bakery, pharmacy, music_store, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, clothing_store, noodle_house, salon, toy_store, burger_joint : 46392
Saved path: tech_shop, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, craft_shop, gym, burger_joint, bookstore, cafe : 61985
Saved path: bank, pet_store, craft_shop, pizzeria, dentist, clothing_store, bookstore, burger_joint, gym, hardware_store, jewelry_store, party_store, bakery, barber_shop, gelateria : 71054
Saved path: hardware_store, bookstore, cafe, tech_shop, clothing_store, dentist, pizzeria, craft_shop, pet_store, bank, florist, gym, bakery, party_store, bike_shop : 63998
Saved path: clothing_store, noodle_house, bike_shop, pharmacy, music_store, bank, gelateria, florist, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store : 48492
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, hardware_store, burger_joint, bookstore : 55908
Saved path: hardware_store, bakery, party_store, bike_shop, music_store, bank, pet_store, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint : 54872
Saved path: bakery, party_store, barber_shop, salon, toy_store, clothing_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, pet_store, florist, gelateria, bank : 67696
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, pet_store, gym : 57985
Saved path: bookstore, cafe, dentist, pizzeria, florist, bank, pharmacy, party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, burger_joint : 64722
Saved path: noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, gym, florist, gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store : 59451
Saved path: pizzeria, dentist, burger_joint, bookstore, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, gym, pet_store, gelateria, florist, craft_shop : 63402
Saved path: bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe : 52137
Saved path: cafe, dentist, tech_shop, grocery_store, noodle_house, salon, toy_store, party_store, bike_shop, gelateria, bank, music_store, gym, burger_joint, bookstore : 64123
Saved path: noodle_house, clothing_store, tech_shop, cafe, dentist, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, burger_joint : 59844
Saved path: salon, barber_shop, bike_shop, party_store, bakery, music_store, bank, gelateria, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, burger_joint, hardware_store : 64796
Saved path: burger_joint, bookstore, cafe, dentist, noodle_house, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, bank, florist, craft_shop, gym, hardware_store : 66777
Saved path: noodle_house, clothing_store, grocery_store, dentist, craft_shop, pet_store, gelateria, florist, bookstore, burger_joint, hardware_store, party_store, bakery, barber_shop, salon : 55946
Saved path: gelateria, party_store, jewelry_store, salon, toy_store, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank : 67688
Saved path: bike_shop, jewelry_store, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, florist, hardware_store : 62036
