Saved path: grocery_store, cafe, burger_joint, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store : 58467
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, burger_joint, bookstore, craft_shop, pizzeria, dentist, tech_shop : 47482
Saved path: bike_shop, party_store, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, music_store, bank, pharmacy : 57098
Saved path: dentist, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, burger_joint, cafe, grocery_store : 66500
Saved path: music_store, florist, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, salon, barber_shop, jewelry_store, party_store, pharmacy : 61478
Saved path: barber_shop, jewelry_store, party_store, bakery, gelateria, florist, pizzeria, dentist, tech_shop, cafe, burger_joint, hardware_store, toy_store, noodle_house, salon : 59333
Saved path: bike_shop, gym, toy_store, noodle_house, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria : 52563
Saved path: florist, craft_shop, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store, clothing_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank : 65836
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, gym, pet_store, florist, bank, gelateria, bike_shop, bakery : 55603
Saved path: pizzeria, tech_shop, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, gym, hardware_store, cafe : 61383
Saved path: music_store, pharmacy, hardware_store, gym, bakery, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, florist, bank : 66961
Saved path: party_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, gym, pet_store, bank, music_store : 67673
Saved path: clothing_store, salon, barber_shop, bakery, party_store, hardware_store, gym, pet_store, florist, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store : 56671
Saved path: noodle_house, grocery_store, cafe, bookstore, burger_joint, hardware_store, craft_shop, pet_store, florist, music_store, gelateria, jewelry_store, party_store, barber_shop, toy_store : 59469
Saved path: dentist, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, party_store, jewelry_store, bike_shop, gym, florist, bank, pet_store, craft_shop, pizzeria : 69159
Saved path: pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, gym, florist, music_store, bank, pet_store : 63089
Saved path: noodle_house, salon, toy_store, bakery, party_store, bike_shop, hardware_store, gym, pet_store, bank, music_store, florist, dentist, cafe, clothing_store : 64858
Saved path: pet_store, gelateria, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, craft_shop : 60005
Saved path: pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, gym, florist, craft_shop : 56192
Saved path: tech_shop, grocery_store, cafe, bookstore, gym, hardware_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, craft_shop, pizzeria : 61367
Saved path: salon, clothing_store, tech_shop, burger_joint, cafe, dentist, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, bakery, party_store, hardware_store : 60625
Saved path: craft_shop, gym, pet_store, florist, pharmacy, party_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, tech_shop, pizzeria : 54976
Saved path: pharmacy, bank, music_store, florist, pet_store, gym, dentist, cafe, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, party_store, bakery : 65654
Saved path: pizzeria, craft_shop, pet_store, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, gym, burger_joint, bookstore, grocery_store, tech_shop : 62276
Saved path: pet_store, gym, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria : 65934
Saved path: barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store : 53479
Saved path: dentist, cafe, bookstore, burger_joint, gym, pet_store, bank, gelateria, bakery, jewelry_store, party_store, hardware_store, salon, toy_store, grocery_store : 66734
Saved path: tech_shop, cafe, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, bakery, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store : 43760
Saved path: salon, noodle_house, grocery_store, bookstore, cafe, pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym, bakery, bike_shop, jewelry_store : 68447
Saved path: gym, burger_joint, bookstore, cafe, tech_shop, noodle_house, salon, toy_store, hardware_store, bakery, pharmacy, bank, florist, pet_store, craft_shop : 54541
Saved path: noodle_house, toy_store, hardware_store, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, party_store, bike_shop, barber_shop : 65325
Saved path: bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, cafe, bookstore, florist, music_store : 61622
Saved path: craft_shop, gym, toy_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, bakery, bike_shop, jewelry_store, gelateria, bank, music_store : 57243
Saved path: hardware_store, party_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, tech_shop, noodle_house, cafe, bookstore, gym : 60160
Saved path: burger_joint, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, gelateria, bank, pet_store, gym, hardware_store : 67528
Saved path: tech_shop, grocery_store, noodle_house, salon, bakery, gelateria, bank, music_store, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist : 54139
Saved path: grocery_store, clothing_store, cafe, bookstore, gym, hardware_store, jewelry_store, bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop, pizzeria : 63349
Saved path: tech_shop, pizzeria, craft_shop, gym, florist, bank, music_store, pharmacy, bakery, barber_shop, toy_store, clothing_store, grocery_store, bookstore, cafe : 56351
