Saved path: bike_shop, jewelry_store, salon, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, music_store : 60009
Saved path: tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, dentist : 58465
Saved path: party_store, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, florist, bank, music_store, bike_shop : 66665
Saved path: gym, hardware_store, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank, music_store, florist, pizzeria, tech_shop, grocery_store, bookstore, burger_joint : 65310
Saved path: noodle_house, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, music_store, bank, gelateria, jewelry_store, party_store, barber_shop : 68898
Saved path: jewelry_store, party_store, bakery, gelateria, bank, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon : 68763
Saved path: bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, music_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 45557
Saved path: florist, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, gym, hardware_store, bike_shop, jewelry_store, music_store, bank : 62450
Saved path: bookstore, dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, music_store, bank, gelateria, florist, hardware_store, burger_joint : 59702
Saved path: pharmacy, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, gym, florist, gelateria, bank, music_store : 57292
Saved path: bookstore, burger_joint, gym, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, pizzeria : 60580
Saved path: burger_joint, dentist, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, gelateria, bank, florist, pet_store, gym : 61158
Saved path: pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store, noodle_house, barber_shop, party_store, jewelry_store, music_store, gelateria : 64051
Saved path: grocery_store, clothing_store, toy_store, salon, jewelry_store, bike_shop, bakery, pharmacy, bank, gelateria, florist, pet_store, gym, bookstore, dentist : 68424
Saved path: burger_joint, dentist, pizzeria, pet_store, florist, gelateria, jewelry_store, party_store, hardware_store, salon, clothing_store, grocery_store, tech_shop, cafe, bookstore : 60762
Saved path: grocery_store, clothing_store, salon, barber_shop, jewelry_store, gym, pet_store, gelateria, bank, music_store, florist, craft_shop, dentist, cafe, bookstore : 68103
Saved path: pizzeria, dentist, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, pet_store : 63600
Saved path: music_store, florist, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bakery, pharmacy, gelateria, bank : 59143
Saved path: clothing_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, pet_store, florist, music_store, jewelry_store, bike_shop, bakery, barber_shop, noodle_house : 63650
Saved path: florist, music_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, toy_store, hardware_store, bookstore, craft_shop : 63446
Saved path: dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, bakery, music_store, bank, gym, hardware_store, burger_joint : 61966
