Saved path: craft_shop, gelateria, bank, gym, hardware_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria : 68995
Saved path: tech_shop, grocery_store, noodle_house, toy_store, barber_shop, party_store, pharmacy, music_store, bank, florist, pet_store, dentist, cafe, bookstore, burger_joint : 64978
Saved path: pet_store, florist, music_store, bank, gelateria, party_store, jewelry_store, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, gym : 71183
Saved path: noodle_house, toy_store, gym, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, party_store, barber_shop, salon : 66237
Saved path: bank, music_store, pharmacy, party_store, gym, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, florist, gelateria : 59756
Saved path: party_store, jewelry_store, barber_shop, salon, clothing_store, cafe, bookstore, burger_joint, hardware_store, craft_shop, pet_store, florist, gelateria, pharmacy, bakery : 56203
Saved path: cafe, dentist, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, gelateria, bank, florist, craft_shop, gym, hardware_store, burger_joint : 67653
Saved path: noodle_house, toy_store, bookstore, burger_joint, party_store, jewelry_store, bike_shop, music_store, bank, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store : 62380
Saved path: hardware_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, noodle_house, salon : 46010
Saved path: party_store, bakery, pharmacy, gelateria, pet_store, gym, hardware_store, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop : 56091
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, music_store, florist, craft_shop, gym, burger_joint : 56087
Saved path: bookstore, cafe, dentist, pizzeria, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, music_store, pharmacy, hardware_store, burger_joint : 60787
Saved path: hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, florist, pizzeria, dentist, cafe, grocery_store, noodle_house, salon, barber_shop : 58725
Saved path: craft_shop, gelateria, bank, music_store, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, gym : 61991
Saved path: cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, party_store, hardware_store, barber_shop, noodle_house, grocery_store, bookstore : 67147
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, dentist, craft_shop, florist, gelateria, bank, party_store, jewelry_store, barber_shop : 62612
Saved path: clothing_store, noodle_house, bookstore, burger_joint, party_store, jewelry_store, bike_shop, gym, florist, music_store, bank, pet_store, craft_shop, dentist, cafe : 66052
Saved path: gelateria, florist, gym, bakery, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, pet_store, bank : 68684
Saved path: cafe, dentist, grocery_store, clothing_store, toy_store, gym, pet_store, gelateria, pharmacy, bakery, party_store, jewelry_store, hardware_store, burger_joint, bookstore : 53240
Saved path: pharmacy, gelateria, music_store, florist, pet_store, pizzeria, dentist, tech_shop, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery : 61093
Saved path: burger_joint, bookstore, cafe, dentist, craft_shop, florist, bank, gelateria, pharmacy, bakery, bike_shop, hardware_store, gym, toy_store, clothing_store : 52228
Saved path: party_store, jewelry_store, barber_shop, salon, noodle_house, toy_store, gym, hardware_store, burger_joint, bookstore, tech_shop, pizzeria, gelateria, bank, pharmacy : 70855
Saved path: clothing_store, noodle_house, salon, gym, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, grocery_store : 56563
Saved path: gym, hardware_store, bakery, barber_shop, salon, clothing_store, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, bank, gelateria, pet_store : 59020
Saved path: bank, gelateria, bike_shop, party_store, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, pet_store : 72217
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery : 54848
Saved path: gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, bookstore, cafe, dentist, pizzeria, pet_store, florist : 61914
Saved path: party_store, bakery, music_store, gelateria, pet_store, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, barber_shop, bike_shop, jewelry_store : 63935
Saved path: salon, noodle_house, clothing_store, tech_shop, burger_joint, gym, pet_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store : 54878
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bike_shop, barber_shop, salon, toy_store : 53348
Saved path: cafe, bookstore, gym, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop : 69430
Saved path: gym, hardware_store, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, bank, music_store : 66667
Saved path: florist, gelateria, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop : 59312
Saved path: gym, bike_shop, party_store, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, cafe, bookstore, grocery_store, clothing_store, salon, hardware_store : 63705
Saved path: florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, gym, toy_store, salon, noodle_house, clothing_store, bookstore, cafe, dentist, pet_store : 60762
