Saved path: jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, florist, bank, craft_shop, dentist, cafe, tech_shop, clothing_store, toy_store, gym : 46721
Saved path: jewelry_store, hardware_store, gym, toy_store, tech_shop, cafe, bookstore, bank, florist, gelateria, pharmacy, bakery, pet_store, bike_shop, salon : 42733
Saved path: music_store, gelateria, pharmacy, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, pizzeria, gym, craft_shop : 47756
Saved path: bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, salon, party_store, gelateria, florist, bank, craft_shop : 32957
Saved path: gelateria, pharmacy, barber_shop, jewelry_store, bakery, pet_store, hardware_store, burger_joint, clothing_store, grocery_store, cafe, bookstore, bank, florist, music_store : 44690
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, bank, florist, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store : 45107
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, music_store, florist, bank, craft_shop, gym, pizzeria, bookstore, burger_joint : 37698
Saved path: noodle_house, toy_store, grocery_store, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, burger_joint, tech_shop : 40588
Saved path: pizzeria, gym, burger_joint, cafe, dentist, grocery_store, noodle_house, toy_store, barber_shop, bakery, pet_store, party_store, gelateria, florist, bank : 49004
Saved path: hardware_store, jewelry_store, barber_shop, pet_store, bakery, salon, pharmacy, gelateria, florist, pizzeria, bookstore, cafe, dentist, noodle_house, toy_store : 48014
Saved path: barber_shop, toy_store, tech_shop, cafe, bookstore, pizzeria, gym, craft_shop, bank, florist, gelateria, party_store, bakery, pet_store, jewelry_store : 43096
Saved path: clothing_store, grocery_store, cafe, pizzeria, florist, craft_shop, gym, jewelry_store, salon, bike_shop, pet_store, bakery, burger_joint, tech_shop, toy_store : 40188
Saved path: music_store, pizzeria, gym, hardware_store, burger_joint, bookstore, dentist, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon : 55079
Saved path: noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, salon, bike_shop, bakery, toy_store : 36674
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, bank, bookstore, cafe : 41851
Saved path: music_store, gelateria, party_store, pet_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria, florist : 43214
Saved path: florist, gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, burger_joint, gym, bank : 48082
Saved path: bank, music_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria : 39939
Saved path: dentist, grocery_store, cafe, bookstore, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, gelateria, florist, craft_shop : 43955
Saved path: bookstore, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, music_store, gelateria, bank, pizzeria, craft_shop, dentist : 48869
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore, pizzeria, gym, hardware_store, pharmacy, bike_shop, pet_store, bakery : 50322
Saved path: cafe, bookstore, pizzeria, florist, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store : 34224
Saved path: dentist, craft_shop, bank, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, clothing_store, bookstore, burger_joint, cafe : 38578
Saved path: salon, hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, pizzeria, craft_shop, music_store, party_store, barber_shop, bakery, pet_store, bike_shop : 47514
Saved path: florist, bank, gym, hardware_store, burger_joint, bookstore, grocery_store, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy : 45427
Saved path: pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, bakery : 43409
Saved path: pizzeria, gym, toy_store, noodle_house, clothing_store, cafe, burger_joint, hardware_store, pet_store, bike_shop, salon, jewelry_store, pharmacy, gelateria, music_store : 47569
Saved path: hardware_store, gym, craft_shop, pizzeria, gelateria, pharmacy, bakery, pet_store, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint : 46265
Saved path: cafe, bookstore, burger_joint, tech_shop, toy_store, hardware_store, bike_shop, bakery, party_store, music_store, florist, bank, pizzeria, craft_shop, dentist : 36938
Saved path: salon, bike_shop, bakery, gym, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, bank, gelateria, party_store, jewelry_store : 38502
Saved path: cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, gelateria, florist, bank, gym : 43406
Saved path: burger_joint, hardware_store, gym, bank, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore : 34497
Saved path: toy_store, hardware_store, jewelry_store, bakery, pet_store, salon, pharmacy, gelateria, bank, craft_shop, pizzeria, burger_joint, tech_shop, grocery_store, clothing_store : 41671
Saved path: salon, party_store, pharmacy, music_store, florist, craft_shop, dentist, cafe, bookstore, burger_joint, toy_store, hardware_store, bakery, pet_store, bike_shop : 44940
Saved path: gelateria, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, gym, pizzeria, bank, florist, music_store : 33110
Saved path: burger_joint, tech_shop, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, salon, pharmacy, gelateria, florist, bank, craft_shop, dentist : 48923
Saved path: barber_shop, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store : 49178
Saved path: gym, hardware_store, pet_store, bakery, jewelry_store, party_store, pharmacy, gelateria, florist, craft_shop, bookstore, cafe, grocery_store, tech_shop, toy_store : 42808
Saved path: pet_store, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, pizzeria, bank, gelateria, pharmacy, party_store : 46817
Saved path: burger_joint, tech_shop, noodle_house, toy_store, grocery_store, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store : 47191
Saved path: grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, music_store, craft_shop, burger_joint, tech_shop : 36547
Saved path: tech_shop, burger_joint, gym, pet_store, bakery, salon, jewelry_store, pharmacy, gelateria, music_store, florist, dentist, grocery_store, clothing_store, toy_store : 49027
Saved path: music_store, pharmacy, salon, bakery, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist : 34825
Saved path: cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, party_store, barber_shop, bakery, salon, hardware_store, toy_store, noodle_house, burger_joint : 34723
Saved path: pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, florist, music_store, gelateria : 48182
Saved path: bike_shop, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, pizzeria, bank, florist, pharmacy : 32866
Saved path: florist, bank, craft_shop, dentist, burger_joint, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria : 37756
Saved path: music_store, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, clothing_store, noodle_house, burger_joint, bookstore, pizzeria, florist : 47205
Saved path: jewelry_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, burger_joint, hardware_store : 40238
Saved path: dentist, cafe, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, pet_store, bakery, pharmacy, gelateria, bank, craft_shop : 49323
Saved path: music_store, party_store, barber_shop, bakery, pet_store, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, pizzeria, bank : 47004
Saved path: music_store, florist, bank, craft_shop, gym, burger_joint, cafe, dentist, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, gelateria : 43040
Saved path: bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, bookstore, cafe, dentist, florist, music_store, gelateria, pharmacy, party_store : 41401
Saved path: grocery_store, burger_joint, gym, pizzeria, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, hardware_store, toy_store, noodle_house : 35471
