Saved path: bank, gym, toy_store, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria : 47400
Saved path: noodle_house, toy_store, hardware_store, pet_store, bakery, barber_shop, pharmacy, gelateria, music_store, florist, bank, craft_shop, dentist, cafe, clothing_store : 49327
Saved path: craft_shop, bank, gelateria, bakery, pet_store, bike_shop, salon, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint : 44345
Saved path: bookstore, pizzeria, gym, craft_shop, bank, gelateria, music_store, salon, bakery, barber_shop, toy_store, tech_shop, clothing_store, dentist, cafe : 42873
Saved path: pharmacy, florist, craft_shop, bookstore, burger_joint, tech_shop, clothing_store, toy_store, gym, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store : 44390
Saved path: pharmacy, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, burger_joint, gym, hardware_store : 51581
Saved path: florist, gelateria, party_store, salon, bike_shop, pet_store, bakery, gym, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank : 40471
Saved path: bookstore, pizzeria, bank, florist, music_store, pharmacy, party_store, bakery, bike_shop, salon, hardware_store, gym, toy_store, tech_shop, grocery_store : 34014
Saved path: florist, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, gym, burger_joint, cafe, dentist, bank : 48671
Saved path: music_store, pharmacy, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop : 49827
Saved path: music_store, gelateria, party_store, pet_store, bike_shop, salon, jewelry_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, craft_shop, florist : 49579
Saved path: burger_joint, bookstore, craft_shop, bank, florist, music_store, pharmacy, party_store, barber_shop, bakery, bike_shop, salon, hardware_store, toy_store, noodle_house : 36159
Saved path: toy_store, tech_shop, grocery_store, cafe, dentist, pizzeria, florist, music_store, gelateria, party_store, salon, bakery, barber_shop, hardware_store, gym : 42407
Saved path: jewelry_store, party_store, music_store, florist, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery : 46703
Saved path: bike_shop, party_store, music_store, florist, bank, craft_shop, pizzeria, bookstore, grocery_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery : 39665
Saved path: gelateria, pharmacy, salon, bakery, barber_shop, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, cafe, craft_shop, bank, florist, music_store : 36661
Saved path: hardware_store, gym, pizzeria, bank, florist, music_store, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, grocery_store, dentist, burger_joint : 51652
Saved path: bakery, gelateria, florist, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, pet_store : 44144
Saved path: cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, pet_store, salon, jewelry_store, party_store, music_store, florist, craft_shop, pizzeria, bookstore : 45390
Saved path: gym, hardware_store, burger_joint, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, craft_shop : 42876
Saved path: pizzeria, craft_shop, dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, bank : 42275
Saved path: cafe, dentist, gym, pizzeria, bank, florist, music_store, gelateria, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, grocery_store : 53297
Saved path: burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, florist, music_store, salon, bakery, pet_store, gym : 42633
Saved path: bike_shop, gelateria, music_store, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery, pet_store : 53745
Saved path: hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, florist, music_store, gelateria, party_store, salon, bakery, jewelry_store : 33584
Saved path: burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy, florist, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store : 35741
Saved path: pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, bike_shop, pet_store, bakery, music_store : 50245
Saved path: bookstore, pizzeria, music_store, pharmacy, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, cafe, burger_joint : 48742
Saved path: pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, craft_shop, bank, florist, music_store : 36830
Saved path: bike_shop, salon, party_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist, grocery_store, toy_store, tech_shop, burger_joint, bakery, pet_store : 45946
