Saved path: salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, bookstore, cafe, dentist, craft_shop, florist, gelateria, party_store, bakery, pet_store : 46868
Saved path: florist, bank, craft_shop, pizzeria, bookstore, grocery_store, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy : 43319
Saved path: pet_store, bakery, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, gym, pizzeria, florist, music_store, gelateria, salon, bike_shop : 48615
Saved path: bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, salon, music_store, gelateria, florist, craft_shop, pizzeria : 33125
Saved path: grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, pet_store, bakery, salon, pharmacy, gelateria, bank, pizzeria, craft_shop, dentist : 45027
Saved path: burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, florist, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store : 42726
Saved path: barber_shop, bakery, bike_shop, party_store, pharmacy, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, dentist, grocery_store, tech_shop, toy_store : 39276
Saved path: bakery, salon, hardware_store, toy_store, noodle_house, dentist, bookstore, pizzeria, bank, florist, gelateria, pharmacy, party_store, barber_shop, pet_store : 48016
Saved path: clothing_store, grocery_store, pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, toy_store, noodle_house : 41382
Saved path: pizzeria, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, bakery, salon, pharmacy, gelateria, florist : 35386
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, music_store, florist, bank, bookstore, tech_shop : 44153
Saved path: gelateria, music_store, bank, pizzeria, craft_shop, dentist, burger_joint, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, pharmacy : 46564
Saved path: gym, burger_joint, dentist, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, music_store, craft_shop : 53245
Saved path: pizzeria, florist, music_store, gelateria, party_store, bakery, pet_store, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, dentist, bookstore : 48821
Saved path: cafe, tech_shop, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, florist, pizzeria, gym, hardware_store : 37912
Saved path: toy_store, noodle_house, tech_shop, burger_joint, gym, pizzeria, bank, florist, music_store, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store : 43378
Saved path: toy_store, grocery_store, dentist, bookstore, pizzeria, bank, music_store, gelateria, party_store, bakery, pet_store, barber_shop, jewelry_store, hardware_store, gym : 52797
Saved path: toy_store, noodle_house, tech_shop, burger_joint, gym, jewelry_store, salon, bike_shop, pharmacy, gelateria, music_store, dentist, cafe, grocery_store, clothing_store : 41855
Saved path: toy_store, noodle_house, burger_joint, cafe, bookstore, craft_shop, bank, florist, music_store, gelateria, party_store, bakery, barber_shop, jewelry_store, hardware_store : 34190
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, pizzeria, florist, music_store, party_store, jewelry_store, salon, bike_shop, pet_store : 48704
Saved path: party_store, pharmacy, gelateria, music_store, florist, dentist, grocery_store, cafe, bookstore, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 50130
Saved path: bakery, toy_store, noodle_house, clothing_store, dentist, craft_shop, pizzeria, bank, florist, music_store, pharmacy, party_store, jewelry_store, salon, bike_shop : 37724
Saved path: hardware_store, gym, craft_shop, bank, music_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, cafe, bookstore, burger_joint : 49154
Saved path: bank, craft_shop, cafe, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, pet_store, bakery, barber_shop, party_store, gelateria, music_store : 48743
Saved path: dentist, craft_shop, florist, music_store, gelateria, pharmacy, bakery, pet_store, barber_shop, toy_store, noodle_house, burger_joint, bookstore, cafe, grocery_store : 49214
Saved path: pet_store, bike_shop, party_store, pharmacy, gelateria, gym, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery : 49980
Saved path: burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, pharmacy, party_store, salon, bike_shop, bakery : 29444
Saved path: bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, salon, pharmacy, gelateria, pizzeria : 40823
Saved path: tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, florist, craft_shop, pizzeria, bookstore, dentist, clothing_store : 47466
Saved path: burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, gym, pizzeria, florist, craft_shop, dentist, bookstore : 45739
Saved path: barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, music_store, florist, bank, craft_shop, bookstore, grocery_store, noodle_house, toy_store : 44676
Saved path: bakery, salon, jewelry_store, gym, florist, bank, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, pet_store : 38246
Saved path: pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, bike_shop, pet_store, bakery, party_store, gelateria, music_store : 47347
Saved path: clothing_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, music_store, bank, craft_shop, pizzeria, bookstore : 43468
Saved path: toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, florist, music_store, gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, gym : 43258
Saved path: cafe, grocery_store, tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, florist, craft_shop, pizzeria : 41448
Saved path: bike_shop, bakery, party_store, music_store, florist, bank, craft_shop, cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon : 34691
Saved path: florist, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, gym, bookstore, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop : 40156
Saved path: bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, florist, music_store, gelateria, pharmacy, salon, bike_shop : 40698
Saved path: pet_store, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, bookstore, pizzeria, craft_shop, bank, florist, music_store, party_store, barber_shop, bakery : 45069
Saved path: toy_store, clothing_store, noodle_house, burger_joint, cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop : 40640
Saved path: pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, music_store : 38828
Saved path: salon, music_store, gelateria, pizzeria, craft_shop, dentist, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 50556
Saved path: bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, salon, party_store, music_store, gelateria, bank : 40772
Saved path: party_store, gelateria, music_store, florist, craft_shop, pizzeria, burger_joint, cafe, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 45757
Saved path: pharmacy, music_store, florist, bank, craft_shop, dentist, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store : 49520
Saved path: toy_store, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, grocery_store, tech_shop : 40048
Saved path: gelateria, music_store, florist, pizzeria, bookstore, burger_joint, cafe, clothing_store, toy_store, gym, hardware_store, pet_store, bike_shop, salon, party_store : 44596
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, salon, bakery, burger_joint, tech_shop, toy_store : 30151
