Saved path: florist, bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, bike_shop, pet_store, bakery, jewelry_store, party_store, music_store : 46397
Saved path: craft_shop, pizzeria, gym, burger_joint, bookstore, grocery_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store : 49318
Saved path: tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, toy_store : 46304
Saved path: cafe, burger_joint, gym, bank, music_store, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, bookstore, dentist : 43205
Saved path: music_store, gelateria, pharmacy, barber_shop, jewelry_store, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, cafe, dentist, pizzeria : 49520
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, gym, florist, bank, pizzeria, bookstore, cafe : 42775
Saved path: jewelry_store, bakery, bike_shop, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, bank, music_store, gelateria, pharmacy : 42602
Saved path: bakery, pet_store, bike_shop, music_store, florist, bank, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store : 44436
Saved path: bank, gelateria, bakery, pet_store, bike_shop, salon, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, pizzeria, gym : 46484
Saved path: cafe, bookstore, bank, florist, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, grocery_store : 36469
Saved path: bakery, bike_shop, hardware_store, gym, toy_store, tech_shop, bookstore, cafe, grocery_store, dentist, craft_shop, gelateria, pharmacy, party_store, barber_shop : 43754
Saved path: tech_shop, noodle_house, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, gym, bakery, bike_shop, salon, burger_joint : 33891
Saved path: grocery_store, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, party_store, pharmacy, gelateria, bank, pizzeria, bookstore, cafe, dentist : 45539
Saved path: bank, florist, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, cafe, bookstore, pizzeria, gym, craft_shop : 33977
