Saved path: jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store : 50620
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, bank, pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, gym : 44508
Saved path: cafe, dentist, bank, gelateria, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store : 49004
Saved path: music_store, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, hardware_store, gym, pizzeria : 49026
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, salon, hardware_store, gym, toy_store : 32404
Saved path: tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, barber_shop, party_store, gelateria, bank, craft_shop, pizzeria, bookstore, cafe, burger_joint : 42686
Saved path: tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe : 39886
Saved path: pharmacy, jewelry_store, salon, bike_shop, bakery, toy_store, noodle_house, tech_shop, bookstore, cafe, grocery_store, dentist, craft_shop, bank, florist : 36715
Saved path: bakery, bike_shop, party_store, pharmacy, music_store, gelateria, pizzeria, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop : 38855
Saved path: bakery, barber_shop, party_store, gelateria, music_store, bank, craft_shop, dentist, clothing_store, toy_store, burger_joint, gym, hardware_store, bike_shop, pet_store : 53894
Saved path: jewelry_store, barber_shop, toy_store, grocery_store, dentist, cafe, burger_joint, gym, pizzeria, bank, gelateria, party_store, bakery, bike_shop, salon : 40768
Saved path: clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, gym, salon, bakery, pet_store, barber_shop, toy_store : 39493
Saved path: noodle_house, tech_shop, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, pizzeria, gelateria, pharmacy, salon, bakery, barber_shop, toy_store : 35385
Saved path: music_store, pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, florist : 44863
Saved path: party_store, salon, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, gym, pizzeria, craft_shop, bank, florist, music_store, gelateria : 33170
Saved path: bike_shop, pet_store, bakery, party_store, music_store, bank, bookstore, cafe, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, salon : 45411
Saved path: gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, bookstore, craft_shop, florist : 34677
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore, gym, craft_shop, bank, florist, music_store, gelateria, bike_shop, bakery : 38249
Saved path: music_store, gelateria, pharmacy, party_store, pet_store, bike_shop, salon, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, dentist, craft_shop : 48457
Saved path: noodle_house, tech_shop, cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store : 43493
Saved path: toy_store, noodle_house, tech_shop, bookstore, pizzeria, bank, gelateria, music_store, salon, bike_shop, pet_store, bakery, jewelry_store, hardware_store, gym : 44907
Saved path: bookstore, cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, jewelry_store, pet_store, hardware_store, gym, toy_store, burger_joint : 50089
Saved path: salon, jewelry_store, party_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist, clothing_store, toy_store, burger_joint, gym, bakery, pet_store : 49579
Saved path: bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, dentist : 50540
Saved path: party_store, music_store, florist, bank, craft_shop, pizzeria, cafe, tech_shop, clothing_store, toy_store, hardware_store, salon, bike_shop, bakery, barber_shop : 38008
Saved path: barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store, florist, bank, pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store, toy_store : 46402
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, jewelry_store, salon, bakery, gym, toy_store, noodle_house : 40172
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, gym, florist, music_store, pharmacy, bakery, bike_shop : 39472
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, pharmacy, music_store, gelateria, pizzeria, gym, hardware_store, burger_joint, dentist, grocery_store : 52406
Saved path: jewelry_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, florist, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, hardware_store : 32914
Saved path: burger_joint, cafe, bookstore, craft_shop, florist, gelateria, pharmacy, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop : 42277
Saved path: gelateria, music_store, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, bank : 45247
Saved path: bookstore, pizzeria, craft_shop, bank, florist, gelateria, party_store, bakery, bike_shop, hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint : 30571
Saved path: tech_shop, noodle_house, toy_store, hardware_store, bike_shop, pet_store, bakery, barber_shop, party_store, music_store, bank, craft_shop, dentist, grocery_store, bookstore : 52505
Saved path: pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, gym, hardware_store, party_store : 40188
Saved path: gelateria, music_store, florist, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, salon, party_store : 45234
Saved path: gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, craft_shop, florist : 46801
Saved path: noodle_house, burger_joint, hardware_store, jewelry_store, bakery, pet_store, bike_shop, salon, party_store, music_store, bank, bookstore, cafe, clothing_store, toy_store : 44436
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, florist, gelateria, pet_store : 41234
