Saved path: jewelry_store, bakery, pet_store, bike_shop, salon, pharmacy, bank, craft_shop, dentist, grocery_store, cafe, burger_joint, noodle_house, toy_store, barber_shop : 46236
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, pet_store, toy_store, noodle_house, tech_shop : 45337
Saved path: gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, bank, music_store, pharmacy, party_store, salon, bakery, pet_store : 47000
Saved path: clothing_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, barber_shop, bakery, pet_store, bike_shop, hardware_store, gym, bookstore, cafe : 54056
Saved path: bank, craft_shop, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria : 44462
Saved path: pharmacy, music_store, florist, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, burger_joint, jewelry_store, bakery, pet_store, salon, party_store : 47754
Saved path: salon, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop, gelateria, bakery, pet_store, bike_shop : 48537
Saved path: bike_shop, salon, pharmacy, gelateria, music_store, craft_shop, gym, burger_joint, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop, bakery : 43945
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, florist, party_store, bakery, pet_store : 42228
Saved path: pharmacy, gelateria, music_store, florist, bank, pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 35908
Saved path: dentist, cafe, bookstore, florist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store, gym, noodle_house, clothing_store : 42480
Saved path: hardware_store, toy_store, grocery_store, burger_joint, pizzeria, craft_shop, music_store, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store : 48267
Saved path: craft_shop, pizzeria, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, bakery, salon, barber_shop, party_store, gelateria, music_store, florist : 47352
Saved path: cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, party_store, pharmacy, music_store, bookstore, burger_joint : 39079
Saved path: tech_shop, bookstore, burger_joint, gym, hardware_store, bakery, pet_store, bike_shop, pharmacy, gelateria, bank, craft_shop, dentist, grocery_store, toy_store : 47798
Saved path: tech_shop, noodle_house, toy_store, pet_store, bakery, salon, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store : 42856
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, florist, music_store, bakery, pet_store, bike_shop, salon, jewelry_store : 50341
Saved path: craft_shop, bank, florist, gelateria, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym : 41800
Saved path: toy_store, tech_shop, burger_joint, cafe, grocery_store, dentist, craft_shop, pizzeria, gym, pharmacy, pet_store, bakery, salon, jewelry_store, barber_shop : 48379
Saved path: cafe, dentist, craft_shop, pizzeria, bank, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, grocery_store : 45364
Saved path: bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, pharmacy, gelateria, gym, burger_joint, cafe : 43116
Saved path: burger_joint, noodle_house, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, music_store, florist, bank : 45280
Saved path: bakery, party_store, gelateria, music_store, bank, gym, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, pet_store : 52240
Saved path: toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy, florist, bank, dentist, cafe, grocery_store, tech_shop : 40945
Saved path: barber_shop, bakery, pharmacy, music_store, florist, bank, pizzeria, craft_shop, dentist, bookstore, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store : 38744
Saved path: bookstore, burger_joint, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, pharmacy, music_store, florist, bank, craft_shop, dentist, cafe : 47725
Saved path: hardware_store, barber_shop, jewelry_store, salon, bakery, gelateria, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, gym : 40414
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, music_store, pharmacy, salon, bakery, pet_store : 49125
Saved path: bakery, salon, jewelry_store, party_store, music_store, florist, bank, gym, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 33212
Saved path: bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bike_shop, bakery, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe : 33212
Saved path: gym, pizzeria, bookstore, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 46556
Saved path: hardware_store, bike_shop, bakery, barber_shop, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, cafe, grocery_store, tech_shop, noodle_house, toy_store : 35998
Saved path: jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, pizzeria, bank, florist, gelateria, bakery, pet_store, bike_shop, salon, barber_shop : 43387
Saved path: florist, music_store, gelateria, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, dentist, bookstore : 48347
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, bank, gelateria, party_store, bike_shop, bakery, barber_shop : 40049
Saved path: burger_joint, cafe, dentist, pizzeria, florist, music_store, gelateria, party_store, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, noodle_house : 41563
Saved path: bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, florist, music_store, pharmacy : 38194
Saved path: craft_shop, gym, hardware_store, tech_shop, grocery_store, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist : 46991
Saved path: jewelry_store, barber_shop, pet_store, bakery, party_store, gelateria, music_store, florist, pizzeria, bookstore, dentist, clothing_store, tech_shop, toy_store, hardware_store : 51185
Saved path: party_store, gelateria, florist, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 43190
Saved path: cafe, grocery_store, dentist, bank, florist, gym, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore : 34475
Saved path: bakery, salon, jewelry_store, hardware_store, gym, bookstore, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, gelateria : 38442
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore, burger_joint, hardware_store, gym, bank, gelateria, bakery, pet_store, salon : 46362
Saved path: cafe, bookstore, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, florist, craft_shop, dentist : 47594
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore, craft_shop, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, pet_store : 47759
Saved path: bookstore, pizzeria, music_store, party_store, salon, bike_shop, pet_store, bakery, jewelry_store, burger_joint, noodle_house, toy_store, grocery_store, dentist, cafe : 49144
Saved path: jewelry_store, party_store, pharmacy, bank, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, bakery, pet_store, bike_shop, salon : 46500
Saved path: bookstore, pizzeria, gelateria, pharmacy, party_store, pet_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, cafe : 43696
Saved path: toy_store, bakery, bike_shop, salon, jewelry_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop : 39599
Saved path: salon, party_store, music_store, florist, gym, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop : 40161
Saved path: bank, gym, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, gelateria, music_store : 47096
Saved path: bookstore, pizzeria, craft_shop, music_store, party_store, salon, bike_shop, pet_store, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, cafe : 49667
Saved path: music_store, gelateria, party_store, bakery, pet_store, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist : 49290
Saved path: grocery_store, dentist, bank, florist, gelateria, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store : 50061
Saved path: grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, music_store, bank, craft_shop, pizzeria, bookstore, dentist : 41829
Saved path: grocery_store, dentist, cafe, bookstore, burger_joint, gym, florist, music_store, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, clothing_store : 50614
Saved path: dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, bike_shop, pharmacy, gelateria, music_store, florist, craft_shop : 41381
Saved path: cafe, dentist, pizzeria, bank, gelateria, pet_store, bakery, salon, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store : 46270
Saved path: cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, pet_store, gelateria, music_store, craft_shop, pizzeria : 47947
Saved path: bank, florist, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, bookstore, burger_joint, hardware_store, gym : 44498
Saved path: grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, bike_shop, salon, pharmacy, music_store, bank, craft_shop, bookstore : 33306
Saved path: bike_shop, party_store, gelateria, bank, gym, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 42424
Saved path: bookstore, burger_joint, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, gym, florist, bank, craft_shop, dentist, cafe : 46136
Saved path: music_store, pharmacy, party_store, salon, pet_store, bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, bank : 39815
Saved path: bank, craft_shop, dentist, cafe, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, party_store, florist : 45123
Saved path: music_store, pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist : 43849
Saved path: craft_shop, pizzeria, burger_joint, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, gelateria, music_store, florist : 36109
Saved path: pharmacy, gelateria, bank, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, toy_store, gym, bakery, pet_store, salon, party_store : 43823
Saved path: bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, florist, bank, dentist : 36490
Saved path: jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, bank, florist, party_store, salon, bakery, pet_store : 44592
Saved path: pet_store, bike_shop, pharmacy, music_store, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym, jewelry_store, bakery : 51799
Saved path: salon, party_store, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, grocery_store, toy_store, gym, hardware_store, pet_store, bakery : 47572
Saved path: gym, bank, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, dentist, bookstore, pizzeria : 44154
Saved path: bakery, salon, party_store, gelateria, florist, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store : 35728
Saved path: pet_store, bakery, salon, jewelry_store, party_store, gelateria, bank, craft_shop, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint : 40862
Saved path: clothing_store, cafe, pizzeria, bank, florist, music_store, pharmacy, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house : 46316
Saved path: bank, gelateria, music_store, salon, bakery, pet_store, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop : 46024
Saved path: toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, bank, florist, pharmacy, salon, bike_shop, pet_store, bakery, gym : 46082
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, bookstore, pizzeria, music_store, pharmacy, party_store, bakery, pet_store : 43390
Saved path: burger_joint, gym, craft_shop, bank, gelateria, pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, cafe : 38565
Saved path: party_store, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, bike_shop, salon : 47234
Saved path: gelateria, music_store, florist, craft_shop, gym, hardware_store, burger_joint, cafe, grocery_store, tech_shop, toy_store, barber_shop, bakery, party_store, pharmacy : 36369
Saved path: pharmacy, party_store, pet_store, salon, jewelry_store, hardware_store, gym, toy_store, grocery_store, dentist, bookstore, pizzeria, florist, music_store, gelateria : 50329
Saved path: music_store, bank, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, bakery, bike_shop, salon, party_store, pharmacy : 38488
Saved path: barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, hardware_store, gym, craft_shop, bookstore, burger_joint, grocery_store, clothing_store, noodle_house, toy_store : 46554
Saved path: florist, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, burger_joint, dentist, craft_shop, pizzeria : 47865
Saved path: florist, bank, craft_shop, pizzeria, gym, hardware_store, cafe, tech_shop, clothing_store, toy_store, barber_shop, bakery, pet_store, party_store, music_store : 47609
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, bakery, pharmacy, music_store, florist, bank, craft_shop, gym, burger_joint, dentist, grocery_store, clothing_store : 39923
Saved path: clothing_store, grocery_store, cafe, florist, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store : 45548
Saved path: bank, florist, music_store, gelateria, party_store, jewelry_store, salon, bakery, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, pizzeria : 36292
Saved path: noodle_house, tech_shop, clothing_store, bookstore, pizzeria, florist, gelateria, pharmacy, party_store, jewelry_store, bakery, pet_store, hardware_store, gym, toy_store : 42640
Saved path: dentist, grocery_store, clothing_store, bookstore, burger_joint, noodle_house, toy_store, barber_shop, bakery, party_store, pharmacy, music_store, florist, bank, craft_shop : 38432
Saved path: gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, music_store, gelateria, bakery, pet_store, hardware_store : 53683
Saved path: pharmacy, music_store, florist, bank, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, noodle_house, toy_store, barber_shop, pet_store, bakery : 48944
Saved path: pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, bookstore : 36016
Saved path: bakery, salon, pharmacy, gelateria, music_store, bank, craft_shop, gym, pizzeria, bookstore, cafe, tech_shop, clothing_store, toy_store, barber_shop : 37273
Saved path: pizzeria, craft_shop, florist, music_store, gelateria, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, cafe, burger_joint, hardware_store, gym : 36050
Saved path: burger_joint, bookstore, craft_shop, bank, gelateria, party_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe : 42220
Saved path: gelateria, music_store, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, party_store : 46383
Saved path: burger_joint, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy, music_store, florist, bank, craft_shop, pizzeria, gym : 35234
Saved path: burger_joint, party_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria : 33105
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, pharmacy, bank, craft_shop, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store : 50142
Saved path: burger_joint, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, gym, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore : 40857
Saved path: toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop, bank, pizzeria, bookstore, burger_joint, hardware_store, bike_shop, pet_store, bakery, barber_shop : 43760
Saved path: bookstore, pizzeria, bank, gelateria, pharmacy, bakery, pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe : 40506
Saved path: jewelry_store, pharmacy, florist, bank, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store, bakery : 46698
Saved path: bakery, pet_store, bike_shop, pharmacy, gelateria, florist, bank, pizzeria, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym : 45522
Saved path: barber_shop, bakery, bike_shop, party_store, pharmacy, music_store, florist, bank, gym, burger_joint, cafe, bookstore, tech_shop, clothing_store, toy_store : 38665
Saved path: party_store, salon, pet_store, burger_joint, bookstore, tech_shop, noodle_house, toy_store, grocery_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy : 45767
Saved path: florist, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, salon, music_store : 36167
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, toy_store, gym, pet_store : 49419
Saved path: craft_shop, gym, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, music_store : 47992
Saved path: burger_joint, hardware_store, barber_shop, bakery, bike_shop, party_store, music_store, gelateria, bank, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house : 38893
Saved path: salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, dentist, craft_shop, bank, pharmacy, party_store : 38125
Saved path: music_store, party_store, bakery, bike_shop, jewelry_store, hardware_store, toy_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, florist : 35215
Saved path: bookstore, cafe, dentist, craft_shop, florist, music_store, pharmacy, salon, bike_shop, bakery, jewelry_store, gym, toy_store, noodle_house, burger_joint : 40391
