Saved path: gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store, hardware_store, gym, burger_joint, cafe, grocery_store, bookstore, craft_shop, bank, florist : 41500
Saved path: barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, bank, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store : 43686
Saved path: pet_store, bike_shop, salon, hardware_store, bookstore, pizzeria, bank, florist, craft_shop, dentist, clothing_store, noodle_house, toy_store, barber_shop, bakery : 45681
Saved path: music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist, bank : 45421
Saved path: burger_joint, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, party_store, salon, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop : 32918
Saved path: pharmacy, music_store, bank, pizzeria, gym, hardware_store, burger_joint, cafe, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 47435
Saved path: tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, pizzeria, craft_shop, dentist, burger_joint : 47662
Saved path: grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, craft_shop, gym, burger_joint, cafe, dentist : 41258
Saved path: party_store, bakery, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, noodle_house, burger_joint, pizzeria, craft_shop, bank, florist, gelateria, pharmacy : 33569
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, gelateria, music_store, pet_store, bakery, salon, jewelry_store, barber_shop : 43533
Saved path: burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, bank, bookstore : 44676
Saved path: toy_store, tech_shop, clothing_store, grocery_store, dentist, pizzeria, bank, florist, music_store, pharmacy, party_store, bakery, pet_store, bike_shop, gym : 47027
Saved path: toy_store, clothing_store, grocery_store, burger_joint, gym, pizzeria, bank, florist, music_store, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store : 45064
Saved path: bank, florist, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, pizzeria, craft_shop : 43886
Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist, bank, gelateria, music_store, bakery, pet_store : 49066
Saved path: grocery_store, dentist, cafe, bookstore, pizzeria, bank, music_store, gelateria, bike_shop, pet_store, bakery, gym, toy_store, noodle_house, tech_shop : 48976
Saved path: toy_store, burger_joint, cafe, dentist, pizzeria, florist, music_store, gelateria, pharmacy, party_store, pet_store, bike_shop, salon, jewelry_store, hardware_store : 47869
Saved path: gym, craft_shop, bank, florist, gelateria, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, bookstore : 34050
Saved path: bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bike_shop, salon, pharmacy, gelateria, music_store, florist, pizzeria : 35279
Saved path: pharmacy, gelateria, music_store, pizzeria, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, pet_store, bakery, salon, party_store : 42401
Saved path: pizzeria, bookstore, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, pharmacy, florist, craft_shop : 46365
Saved path: bakery, party_store, pharmacy, music_store, florist, bank, gym, hardware_store, cafe, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, pet_store : 46134
Saved path: bike_shop, salon, pharmacy, music_store, florist, bank, pizzeria, bookstore, dentist, cafe, tech_shop, toy_store, barber_shop, bakery, pet_store : 48583
Saved path: gelateria, florist, bank, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop : 45892
Saved path: bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, hardware_store, salon, bakery, barber_shop, party_store, music_store : 35357
Saved path: party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop : 41180
Saved path: dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, salon, bike_shop, party_store, pharmacy, gelateria, craft_shop, pizzeria, bookstore, cafe : 35736
Saved path: toy_store, tech_shop, gym, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store : 42114
Saved path: craft_shop, florist, gelateria, pharmacy, party_store, salon, hardware_store, gym, toy_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria : 35275
Saved path: cafe, grocery_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, party_store, pharmacy, gelateria, florist, bookstore : 45256
Saved path: pet_store, bike_shop, music_store, gelateria, bank, craft_shop, dentist, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery : 51095
Saved path: jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, cafe, burger_joint, gym, craft_shop, bank, florist, party_store, salon, bike_shop, bakery : 34502
Saved path: hardware_store, gym, pizzeria, craft_shop, florist, music_store, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, burger_joint : 39085
Saved path: cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, hardware_store, gym, bank, pizzeria, bookstore : 40188
Saved path: hardware_store, gym, florist, bank, pizzeria, cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store : 44380
Saved path: dentist, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gym, burger_joint, bookstore, cafe : 40061
Saved path: pet_store, bakery, barber_shop, pharmacy, gelateria, music_store, florist, craft_shop, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store : 46014
Saved path: noodle_house, tech_shop, grocery_store, dentist, cafe, burger_joint, gym, pizzeria, music_store, gelateria, bike_shop, pet_store, bakery, barber_shop, toy_store : 53569
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, pizzeria, dentist, cafe, clothing_store : 38362
Saved path: clothing_store, grocery_store, cafe, burger_joint, gym, bank, gelateria, pharmacy, party_store, salon, bakery, jewelry_store, hardware_store, toy_store, tech_shop : 31967
