Saved path: bike_shop, pharmacy, gelateria, music_store, bank, craft_shop, gym, pizzeria, bookstore, cafe, clothing_store, toy_store, barber_shop, bakery, pet_store : 48450
Saved path: florist, craft_shop, pizzeria, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, pet_store, bakery, salon, jewelry_store, party_store, pharmacy, music_store : 42752
Saved path: bookstore, burger_joint, tech_shop, toy_store, gym, bike_shop, pet_store, bakery, jewelry_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist : 50613
Saved path: grocery_store, cafe, dentist, craft_shop, bank, florist, gelateria, bakery, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store : 33930
Saved path: bank, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bakery, toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, craft_shop : 36889
Saved path: bike_shop, bakery, hardware_store, gym, florist, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon : 37474
Saved path: gelateria, music_store, florist, bank, craft_shop, pizzeria, gym, hardware_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 37884
Saved path: bank, pizzeria, bookstore, cafe, tech_shop, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, pharmacy, gelateria, music_store : 36079
Saved path: florist, bank, craft_shop, pizzeria, gym, burger_joint, cafe, clothing_store, noodle_house, toy_store, bakery, salon, pharmacy, gelateria, music_store : 32360
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, florist, bank, bookstore, dentist, clothing_store : 47835
Saved path: bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, gym, party_store, salon : 35661
Saved path: cafe, bookstore, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, bike_shop, bakery, barber_shop, pharmacy, music_store, bank, craft_shop, dentist : 43336
Saved path: pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, gym, burger_joint, cafe, clothing_store, toy_store, bakery : 43061
Saved path: gym, craft_shop, bank, gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint : 45371
Saved path: florist, bank, gym, hardware_store, noodle_house, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy, gelateria, music_store : 36358
Saved path: clothing_store, grocery_store, dentist, craft_shop, pizzeria, music_store, gelateria, pharmacy, salon, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 39630
Saved path: toy_store, grocery_store, bookstore, pizzeria, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, noodle_house : 38887
Saved path: bike_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon : 32930
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, dentist, bookstore, pizzeria, bank, florist, music_store, party_store : 49929
Saved path: florist, craft_shop, dentist, cafe, clothing_store, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria : 50342
Saved path: hardware_store, burger_joint, cafe, dentist, grocery_store, toy_store, barber_shop, jewelry_store, bakery, party_store, music_store, bank, craft_shop, pizzeria, gym : 41437
Saved path: party_store, pharmacy, gelateria, music_store, florist, pizzeria, dentist, tech_shop, toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, salon : 40821
Saved path: dentist, craft_shop, bank, gelateria, party_store, barber_shop, bakery, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, cafe : 38943
Saved path: florist, craft_shop, gym, pizzeria, bookstore, cafe, burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store : 35730
Saved path: bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, party_store, gelateria, music_store, florist : 40162
Saved path: bookstore, cafe, dentist, burger_joint, toy_store, gym, jewelry_store, bike_shop, bakery, party_store, pharmacy, music_store, florist, bank, pizzeria : 40974
Saved path: bike_shop, jewelry_store, hardware_store, gym, pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, party_store, bakery, pet_store : 43468
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, pizzeria, bank, florist, music_store, gelateria, pharmacy, bakery : 33375
Saved path: toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, craft_shop, bank, florist, music_store, gelateria, jewelry_store, salon, bike_shop, bakery : 37053
Saved path: clothing_store, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, music_store, florist, pizzeria, dentist, cafe, grocery_store : 47574
Saved path: party_store, pharmacy, music_store, gelateria, bank, pizzeria, bookstore, dentist, burger_joint, toy_store, gym, hardware_store, barber_shop, bakery, salon : 42716
Saved path: noodle_house, grocery_store, dentist, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, music_store, gelateria, bakery, jewelry_store, barber_shop, toy_store : 42936
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria, bakery, salon, hardware_store, toy_store : 34585
Saved path: tech_shop, grocery_store, clothing_store, toy_store, gym, hardware_store, pet_store, bike_shop, salon, pharmacy, music_store, craft_shop, dentist, cafe, bookstore : 49515
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, craft_shop, bank, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 41228
Saved path: party_store, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 45364
Saved path: noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store : 36229
Saved path: gym, pizzeria, craft_shop, music_store, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, hardware_store : 39842
Saved path: craft_shop, bank, gelateria, salon, bakery, pet_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria : 44702
Saved path: gym, burger_joint, dentist, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, salon, party_store, pharmacy, music_store : 51114
Saved path: dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bike_shop, bakery, party_store, pharmacy, florist, pizzeria, craft_shop : 36135
Saved path: gelateria, party_store, salon, bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, pizzeria : 37589
Saved path: bookstore, pizzeria, florist, music_store, pharmacy, jewelry_store, bike_shop, pet_store, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, dentist, cafe : 50160
Saved path: noodle_house, toy_store, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, bank, craft_shop, gym, pizzeria, bookstore, cafe, burger_joint : 35562
Saved path: barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, clothing_store, grocery_store, dentist, craft_shop, bank, gym, hardware_store, party_store, bakery : 37117
Saved path: music_store, gelateria, party_store, salon, bike_shop, bakery, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, craft_shop, bank, florist : 36571
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, pizzeria, bank, music_store, pharmacy, bakery : 41324
Saved path: florist, gelateria, music_store, salon, pet_store, bakery, barber_shop, toy_store, grocery_store, dentist, cafe, burger_joint, gym, pizzeria, bank : 51319
Saved path: party_store, pharmacy, florist, bank, dentist, cafe, bookstore, noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop : 47867
Saved path: party_store, music_store, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pet_store : 42308
Saved path: florist, music_store, gelateria, party_store, bike_shop, salon, hardware_store, gym, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria : 40303
Saved path: gelateria, bank, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, pet_store, bakery, salon, music_store : 48559
Saved path: party_store, salon, bakery, jewelry_store, barber_shop, toy_store, gym, pizzeria, bookstore, dentist, craft_shop, bank, florist, music_store, pharmacy : 40069
Saved path: party_store, gelateria, florist, bank, craft_shop, gym, burger_joint, tech_shop, grocery_store, toy_store, jewelry_store, salon, bike_shop, pet_store, bakery : 43241
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy : 45155
Saved path: cafe, dentist, craft_shop, bank, gelateria, party_store, barber_shop, bakery, pet_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store : 47443
Saved path: music_store, bank, pizzeria, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bakery, bike_shop, salon : 42338
Saved path: toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, music_store, bank, dentist, cafe, bookstore, tech_shop, clothing_store : 49076
Saved path: grocery_store, clothing_store, toy_store, bookstore, burger_joint, gym, bakery, pet_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, craft_shop, dentist : 51598
Saved path: pet_store, bike_shop, salon, toy_store, clothing_store, tech_shop, cafe, dentist, craft_shop, pizzeria, bank, florist, music_store, gelateria, bakery : 45648
Saved path: pet_store, bakery, party_store, barber_shop, toy_store, noodle_house, burger_joint, cafe, grocery_store, clothing_store, dentist, craft_shop, pizzeria, gym, hardware_store : 44928
Saved path: grocery_store, cafe, dentist, pizzeria, bank, pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, burger_joint, tech_shop, toy_store : 43949
Saved path: grocery_store, clothing_store, noodle_house, toy_store, bakery, bike_shop, salon, jewelry_store, party_store, pharmacy, bank, pizzeria, gym, burger_joint, cafe : 34027
Saved path: florist, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, gym, hardware_store, pet_store, bakery, pharmacy, gelateria, music_store : 46228
Saved path: bakery, gym, pizzeria, bank, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, jewelry_store, party_store, salon : 33642
Saved path: toy_store, tech_shop, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, salon, bike_shop, bakery : 37913
Saved path: pizzeria, florist, bank, craft_shop, hardware_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store : 32473
Saved path: bookstore, pizzeria, gym, bank, florist, gelateria, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, burger_joint, cafe : 35758
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, craft_shop, bank, florist, party_store, bike_shop, pet_store, bakery, jewelry_store : 42716
Saved path: toy_store, tech_shop, burger_joint, bakery, bike_shop, salon, party_store, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, grocery_store : 36648
Saved path: gym, toy_store, tech_shop, grocery_store, cafe, bookstore, pizzeria, bank, gelateria, music_store, barber_shop, bakery, pet_store, bike_shop, hardware_store : 49823
Saved path: salon, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, bank, florist, gym, hardware_store, pet_store, bakery : 41247
Saved path: clothing_store, grocery_store, dentist, bookstore, pizzeria, music_store, gelateria, pharmacy, party_store, salon, gym, burger_joint, tech_shop, noodle_house, toy_store : 37367
Saved path: dentist, burger_joint, gym, craft_shop, bank, gelateria, music_store, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store : 44271
Saved path: noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store, bakery, salon, party_store, music_store, florist, bank, dentist, clothing_store, toy_store : 46565
Saved path: florist, dentist, cafe, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria : 49537
Saved path: pharmacy, music_store, bank, craft_shop, dentist, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 47872
Saved path: burger_joint, bookstore, dentist, craft_shop, florist, music_store, pharmacy, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store : 50844
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, tech_shop, clothing_store, grocery_store, dentist, pizzeria, music_store, pharmacy, bakery, pet_store : 50613
Saved path: bank, craft_shop, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, bakery, salon, party_store, gelateria, music_store, florist : 32619
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, cafe, craft_shop, bank, florist, music_store, pharmacy, party_store, pet_store : 45262
Saved path: jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, florist, craft_shop, gym, salon : 33160
Saved path: tech_shop, burger_joint, hardware_store, pet_store, bike_shop, salon, party_store, pharmacy, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store : 39758
Saved path: barber_shop, toy_store, tech_shop, grocery_store, cafe, burger_joint, pizzeria, craft_shop, bank, florist, music_store, gelateria, salon, pet_store, bakery : 45025
Saved path: toy_store, hardware_store, pet_store, salon, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house : 46716
Saved path: pet_store, bike_shop, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store : 48159
Saved path: barber_shop, jewelry_store, bakery, bike_shop, gym, craft_shop, bank, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store : 35951
Saved path: bank, craft_shop, dentist, grocery_store, bookstore, burger_joint, noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria : 45247
Saved path: gym, hardware_store, jewelry_store, pet_store, bakery, salon, pharmacy, gelateria, music_store, florist, dentist, cafe, grocery_store, noodle_house, toy_store : 49453
Saved path: craft_shop, bookstore, cafe, grocery_store, tech_shop, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, music_store : 49621
Saved path: jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, cafe, dentist, florist, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop : 48684
Saved path: dentist, clothing_store, toy_store, pet_store, bakery, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, cafe : 45295
Saved path: toy_store, burger_joint, bookstore, grocery_store, dentist, craft_shop, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store : 38502
Saved path: gelateria, party_store, hardware_store, gym, burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery : 46228
Saved path: bakery, party_store, gelateria, music_store, florist, bank, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 36065
