Saved path: cafe, grocery_store, dentist, craft_shop, music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, bookstore : 43234
Saved path: cafe, burger_joint, gym, pizzeria, florist, music_store, gelateria, pharmacy, party_store, salon, pet_store, bakery, toy_store, clothing_store, dentist : 47224
Saved path: toy_store, noodle_house, tech_shop, burger_joint, gym, pizzeria, craft_shop, florist, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop : 43379
Saved path: pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, bookstore, dentist, grocery_store, noodle_house, barber_shop, jewelry_store, bakery : 49748
Saved path: bakery, party_store, music_store, florist, bank, craft_shop, pizzeria, bookstore, cafe, noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store : 39984
Saved path: bakery, party_store, hardware_store, burger_joint, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store : 41663
Saved path: pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, jewelry_store, party_store, gelateria, music_store, florist : 50648
Saved path: bank, florist, gelateria, party_store, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, pizzeria, craft_shop : 29858
Saved path: burger_joint, bookstore, pizzeria, craft_shop, bank, gym, hardware_store, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 32336
Saved path: music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria, craft_shop : 40737
Saved path: music_store, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, dentist, craft_shop, pizzeria, bank, florist : 40822
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, music_store, bank, craft_shop, gym, pizzeria, bookstore, cafe : 38399
Saved path: grocery_store, toy_store, gym, hardware_store, pet_store, bakery, salon, pharmacy, gelateria, music_store, florist, bank, bookstore, cafe, dentist : 47571
Saved path: hardware_store, burger_joint, toy_store, clothing_store, grocery_store, dentist, pizzeria, bank, gelateria, music_store, barber_shop, jewelry_store, salon, bakery, pet_store : 50788
