Saved path: jewelry_store, pharmacy, gelateria, music_store, florist, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, pet_store : 50782
Saved path: toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist, bank, florist, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop : 46118
Saved path: noodle_house, tech_shop, cafe, bookstore, craft_shop, bank, gelateria, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, hardware_store, toy_store : 39459
Saved path: grocery_store, cafe, bookstore, gym, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house : 46518
Saved path: pet_store, bike_shop, gelateria, bank, gym, pizzeria, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 46114
Saved path: bookstore, burger_joint, grocery_store, clothing_store, toy_store, hardware_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria : 33195
Saved path: clothing_store, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, pharmacy, gelateria, music_store, florist, bank, bookstore, burger_joint, tech_shop : 43205
Saved path: gelateria, music_store, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, bookstore, pizzeria : 45827
Saved path: bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint : 44288
Saved path: barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, cafe, dentist, pizzeria, bank, florist, gelateria, pharmacy, bakery, jewelry_store : 35854
Saved path: barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, craft_shop, gelateria, bakery, bike_shop, jewelry_store : 40400
Saved path: grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, florist, music_store, pharmacy, bakery, barber_shop, hardware_store, gym, toy_store, clothing_store : 41829
Saved path: toy_store, hardware_store, bakery, pet_store, bike_shop, party_store, gelateria, music_store, bank, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop : 47354
Saved path: barber_shop, bakery, salon, party_store, gelateria, music_store, bank, bookstore, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 34278
Saved path: tech_shop, noodle_house, burger_joint, bookstore, pizzeria, bank, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, clothing_store, grocery_store : 31529
Saved path: grocery_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store, bank, craft_shop, pizzeria, burger_joint, cafe : 45662
Saved path: gelateria, party_store, bike_shop, pet_store, bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, music_store : 49815
Saved path: pizzeria, craft_shop, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe : 35998
Saved path: grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, jewelry_store, salon, bakery, gelateria, music_store, florist, bookstore, cafe, dentist : 40546
Saved path: bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, burger_joint, gym, craft_shop, bank, florist, pharmacy, party_store, bike_shop : 40874
Saved path: pharmacy, party_store, salon, bike_shop, pet_store, bakery, toy_store, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, bank, gelateria : 44415
Saved path: bakery, bike_shop, salon, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, pizzeria, florist, music_store, gelateria, pharmacy : 35982
Saved path: noodle_house, toy_store, barber_shop, salon, bike_shop, pet_store, bakery, gym, craft_shop, bank, bookstore, burger_joint, cafe, grocery_store, tech_shop : 39114
Saved path: tech_shop, noodle_house, toy_store, pet_store, salon, pharmacy, party_store, jewelry_store, hardware_store, gym, craft_shop, bookstore, cafe, grocery_store, clothing_store : 42962
Saved path: hardware_store, gym, pizzeria, craft_shop, florist, music_store, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint : 36657
Saved path: salon, pharmacy, music_store, craft_shop, pizzeria, gym, hardware_store, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop : 48552
Saved path: pizzeria, florist, bank, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, salon : 32465
Saved path: bookstore, pizzeria, bank, florist, pharmacy, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, burger_joint : 46834
Saved path: dentist, cafe, bookstore, burger_joint, hardware_store, salon, bike_shop, bakery, gelateria, pharmacy, barber_shop, toy_store, noodle_house, tech_shop, grocery_store : 40980
Saved path: bank, florist, gelateria, barber_shop, jewelry_store, bakery, bike_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, pizzeria : 35774
Saved path: pet_store, bakery, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, pizzeria, bank, gelateria, music_store, barber_shop : 47171
Saved path: tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, salon, music_store, bank, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store : 39733
Saved path: pizzeria, bank, florist, pharmacy, party_store, jewelry_store, salon, bakery, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, gym : 31122
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, dentist, pizzeria, bank, florist, pharmacy, party_store, bakery, pet_store, bike_shop : 47467
Saved path: tech_shop, grocery_store, cafe, dentist, craft_shop, gym, bank, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store : 49731
Saved path: party_store, jewelry_store, bakery, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store : 40016
Saved path: toy_store, tech_shop, dentist, craft_shop, bank, florist, music_store, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 48804
Saved path: pharmacy, music_store, bank, craft_shop, dentist, bookstore, burger_joint, tech_shop, toy_store, gym, jewelry_store, bakery, pet_store, bike_shop, party_store : 49861
Saved path: toy_store, noodle_house, burger_joint, bookstore, pizzeria, bank, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, hardware_store : 41905
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, gelateria, gym, craft_shop, pizzeria, bookstore, cafe : 37415
Saved path: tech_shop, clothing_store, grocery_store, craft_shop, bank, florist, party_store, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house : 44912
Saved path: toy_store, noodle_house, tech_shop, burger_joint, dentist, cafe, bookstore, pizzeria, gym, hardware_store, jewelry_store, pharmacy, salon, bike_shop, pet_store : 48850
Saved path: bakery, bike_shop, party_store, pharmacy, gelateria, music_store, bank, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym : 34928
Saved path: pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, bookstore, gym, craft_shop, bank, pharmacy, party_store : 44206
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, dentist, bank, florist, music_store : 47782
Saved path: cafe, bookstore, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria, florist, craft_shop, dentist : 38074
Saved path: clothing_store, toy_store, gym, pet_store, bakery, salon, pharmacy, music_store, bank, craft_shop, pizzeria, bookstore, burger_joint, noodle_house, tech_shop : 42726
Saved path: gelateria, music_store, craft_shop, gym, burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store, jewelry_store, bike_shop, pet_store, bakery, pharmacy : 46474
Saved path: burger_joint, tech_shop, grocery_store, clothing_store, toy_store, gym, pet_store, bakery, salon, party_store, pharmacy, music_store, gelateria, bank, bookstore : 42798
Saved path: grocery_store, bookstore, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, party_store, pharmacy, florist, bank, craft_shop, dentist : 36808
Saved path: grocery_store, cafe, bank, florist, music_store, pharmacy, salon, bike_shop, pet_store, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store : 44435
Saved path: toy_store, clothing_store, grocery_store, cafe, craft_shop, florist, gym, hardware_store, salon, bike_shop, pet_store, bakery, burger_joint, tech_shop, noodle_house : 38481
Saved path: pet_store, bike_shop, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 42101
Saved path: jewelry_store, bike_shop, pet_store, bakery, gelateria, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop : 48977
Saved path: cafe, bookstore, burger_joint, gym, craft_shop, florist, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store : 45796
Saved path: bakery, gym, burger_joint, tech_shop, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, pharmacy, salon, bike_shop, pet_store : 45740
Saved path: pizzeria, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, pet_store, bakery, salon, pharmacy, bank : 50454
Saved path: clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, salon, party_store, music_store, gelateria, bank, craft_shop, dentist, grocery_store : 41180
Saved path: grocery_store, clothing_store, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, music_store, florist, bookstore, tech_shop : 40732
Saved path: hardware_store, jewelry_store, barber_shop, bakery, party_store, gelateria, music_store, florist, craft_shop, pizzeria, cafe, clothing_store, tech_shop, noodle_house, toy_store : 35617
Saved path: florist, gelateria, pharmacy, salon, bakery, gym, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, pizzeria, bank : 33422
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, music_store, bank, pizzeria, burger_joint, cafe, grocery_store : 45110
Saved path: bike_shop, bakery, party_store, pharmacy, florist, bank, craft_shop, dentist, cafe, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon : 36123
Saved path: bakery, barber_shop, toy_store, noodle_house, grocery_store, dentist, bookstore, burger_joint, gym, craft_shop, bank, gelateria, pharmacy, party_store, salon : 39903
Saved path: craft_shop, dentist, grocery_store, cafe, bookstore, tech_shop, noodle_house, toy_store, gym, pet_store, salon, pharmacy, gelateria, music_store, florist : 47902
Saved path: tech_shop, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, bank, music_store, gelateria, pharmacy, jewelry_store, salon, bakery, burger_joint : 37909
Saved path: bakery, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, florist, music_store, pet_store : 50433
Saved path: bookstore, cafe, tech_shop, clothing_store, toy_store, gym, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, bank : 34244
Saved path: grocery_store, dentist, craft_shop, music_store, gelateria, bike_shop, pet_store, bakery, jewelry_store, hardware_store, bookstore, tech_shop, noodle_house, toy_store, clothing_store : 50606
Saved path: cafe, bookstore, pizzeria, craft_shop, florist, gelateria, party_store, salon, bike_shop, bakery, burger_joint, noodle_house, toy_store, grocery_store, dentist : 35752
Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, noodle_house : 46392
Saved path: tech_shop, toy_store, hardware_store, barber_shop, bakery, salon, party_store, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, grocery_store : 39016
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, bank, music_store, party_store, bakery, salon : 40494
Saved path: hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, music_store, florist, bank, bookstore, dentist, clothing_store, noodle_house, toy_store, gym : 42572
Saved path: cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, craft_shop, gym : 45147
Saved path: grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, florist, pizzeria, dentist : 49236
Saved path: bike_shop, bakery, party_store, hardware_store, gym, bank, pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon : 33468
Saved path: barber_shop, party_store, music_store, florist, dentist, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, pet_store, bakery : 53538
Saved path: salon, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, florist, music_store, gelateria, pet_store, bike_shop : 48157
Saved path: pizzeria, florist, music_store, gelateria, pharmacy, party_store, barber_shop, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, dentist, bookstore : 41997
Saved path: florist, music_store, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, noodle_house, gym, craft_shop : 46205
Saved path: music_store, pharmacy, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, bank : 49229
Saved path: salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, cafe, dentist, pizzeria, bank, music_store : 50958
Saved path: dentist, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, bank, craft_shop : 48645
Saved path: bike_shop, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, craft_shop, bank, music_store, party_store : 52406
Saved path: music_store, gelateria, party_store, bike_shop, pet_store, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, cafe, bookstore, pizzeria, craft_shop, florist : 44984
Saved path: pizzeria, craft_shop, florist, music_store, pharmacy, salon, bike_shop, pet_store, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore : 44024
