Saved path: tech_shop, clothing_store, grocery_store, dentist, bookstore, gelateria, pharmacy, party_store, bakery, bike_shop, salon, hardware_store, gym, toy_store, noodle_house : 38252
Saved path: party_store, salon, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store : 40387
Saved path: pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, florist : 35190
Saved path: bakery, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store : 43589
Saved path: party_store, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, pet_store : 47434
Saved path: gym, toy_store, tech_shop, grocery_store, bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, bakery : 43885
Saved path: barber_shop, bakery, salon, party_store, music_store, florist, craft_shop, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store : 40749
Saved path: party_store, pharmacy, music_store, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery : 39543
Saved path: music_store, florist, craft_shop, pizzeria, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, gelateria : 34830
Saved path: party_store, pharmacy, gelateria, bank, dentist, grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint, jewelry_store, bakery, bike_shop, salon : 37770
Saved path: burger_joint, gym, music_store, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, bookstore, dentist, cafe : 52302
Saved path: bookstore, pizzeria, bank, craft_shop, gym, hardware_store, jewelry_store, bakery, pet_store, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe : 41233
