Saved path: barber_shop, toy_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, gelateria, pharmacy, party_store, bakery, pet_store, salon, jewelry_store : 44626
Saved path: craft_shop, pizzeria, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bakery, gelateria, music_store, florist : 33954
Saved path: party_store, gelateria, florist, craft_shop, pizzeria, bookstore, dentist, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, salon, barber_shop : 51239
Saved path: toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe, grocery_store, noodle_house : 37887
Saved path: pet_store, bakery, salon, jewelry_store, hardware_store, gym, florist, bank, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint : 42742
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, party_store, pharmacy, bank, gym, pizzeria, craft_shop, dentist : 39393
Saved path: dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bike_shop, bakery, party_store, pharmacy, craft_shop, pizzeria, bookstore : 35413
Saved path: noodle_house, toy_store, clothing_store, dentist, bookstore, bank, florist, music_store, pharmacy, party_store, jewelry_store, salon, bakery, gym, burger_joint : 39625
Saved path: barber_shop, toy_store, grocery_store, cafe, gym, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store : 45762
Saved path: bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, pharmacy, gelateria, florist : 43904
Saved path: gym, hardware_store, pet_store, jewelry_store, party_store, music_store, gelateria, pizzeria, craft_shop, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 50468
Saved path: florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, toy_store, bookstore, cafe, dentist, craft_shop, pizzeria, bank : 36084
Saved path: bookstore, pizzeria, florist, music_store, gelateria, pharmacy, bike_shop, jewelry_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe : 40581
Saved path: music_store, gelateria, party_store, bakery, pet_store, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, bookstore, pizzeria, florist : 45100
Saved path: party_store, music_store, gelateria, bank, pizzeria, craft_shop, dentist, bookstore, noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop, salon : 46433
Saved path: jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, bank, craft_shop, cafe, grocery_store, tech_shop, noodle_house, toy_store : 34793
Saved path: hardware_store, pet_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, cafe, clothing_store, noodle_house, toy_store, gym : 47623
Saved path: pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, pet_store, bakery : 40427
Saved path: barber_shop, bakery, bike_shop, party_store, pharmacy, music_store, florist, bank, dentist, cafe, bookstore, toy_store, gym, hardware_store, jewelry_store : 43648
Saved path: burger_joint, tech_shop, clothing_store, toy_store, hardware_store, barber_shop, bakery, bike_shop, party_store, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe : 39522
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, bank, gelateria, music_store, bakery : 48514
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, burger_joint, gym, hardware_store, bakery, party_store : 36923
Saved path: barber_shop, bakery, bike_shop, salon, pharmacy, florist, craft_shop, gym, pizzeria, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store : 37494
Saved path: bookstore, burger_joint, gym, pizzeria, craft_shop, gelateria, party_store, salon, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist : 40994
Saved path: cafe, grocery_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, gelateria, party_store, hardware_store, gym, burger_joint : 47641
Saved path: clothing_store, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, music_store, florist, bank, pizzeria, dentist, cafe, tech_shop : 51497
Saved path: hardware_store, gym, craft_shop, bank, music_store, party_store, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint : 46502
Saved path: florist, craft_shop, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria : 42254
Saved path: barber_shop, jewelry_store, salon, pet_store, bakery, party_store, gelateria, bank, craft_shop, gym, hardware_store, burger_joint, bookstore, grocery_store, toy_store : 45873
Saved path: craft_shop, bank, florist, gelateria, pharmacy, salon, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, pizzeria : 40833
Saved path: barber_shop, bakery, bike_shop, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, florist, gelateria, party_store : 36419
Saved path: toy_store, tech_shop, bookstore, cafe, dentist, craft_shop, gym, bank, music_store, gelateria, pharmacy, salon, bakery, pet_store, barber_shop : 51042
Saved path: toy_store, jewelry_store, bakery, salon, pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, noodle_house, clothing_store : 32505
Saved path: pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop, pizzeria, bank, music_store : 39615
Saved path: music_store, salon, bakery, jewelry_store, barber_shop, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, pizzeria, bank, florist : 41302
Saved path: pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, gym, burger_joint, dentist, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 52648
Saved path: cafe, dentist, craft_shop, bank, pharmacy, bike_shop, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 43369
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, music_store, pizzeria, bookstore, clothing_store : 46452
Saved path: craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store : 33453
Saved path: cafe, bookstore, noodle_house, toy_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, florist, bank, pizzeria, craft_shop, dentist : 34879
Saved path: florist, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store : 52650
Saved path: florist, music_store, party_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, bank : 40567
Saved path: burger_joint, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop, salon, party_store, gelateria, bank, dentist, clothing_store, toy_store, tech_shop : 48620
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop, bank, gelateria, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop : 48191
Saved path: gym, bank, music_store, gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, cafe, dentist, craft_shop, pizzeria : 51853
Saved path: pizzeria, music_store, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe : 46547
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, pizzeria, craft_shop, florist, music_store : 42625
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, pharmacy, florist, bank, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store : 35799
Saved path: bank, gym, burger_joint, bookstore, cafe, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, music_store : 47736
Saved path: craft_shop, pizzeria, gym, toy_store, clothing_store, grocery_store, cafe, burger_joint, hardware_store, pet_store, bike_shop, salon, jewelry_store, pharmacy, music_store : 46463
Saved path: salon, jewelry_store, party_store, pharmacy, gelateria, bank, pizzeria, craft_shop, dentist, cafe, noodle_house, toy_store, gym, bakery, pet_store : 45443
Saved path: barber_shop, bakery, pet_store, salon, music_store, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store : 48854
Saved path: bank, florist, gelateria, party_store, salon, bakery, hardware_store, burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, craft_shop : 29966
Saved path: cafe, bookstore, pizzeria, gym, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop : 38566
Saved path: noodle_house, burger_joint, jewelry_store, bike_shop, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store : 41133
Saved path: gelateria, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store : 46101
Saved path: burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bike_shop, bakery, party_store, music_store, craft_shop, gym : 34715
