Saved path: pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, salon, bakery, barber_shop : 33872
Saved path: bakery, barber_shop, toy_store, noodle_house, burger_joint, hardware_store, gym, pizzeria, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store : 44074
Saved path: bookstore, bank, gelateria, pharmacy, party_store, salon, bakery, pet_store, jewelry_store, burger_joint, noodle_house, toy_store, clothing_store, dentist, cafe : 45864
Saved path: music_store, pharmacy, party_store, salon, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore, craft_shop, florist : 32830
Saved path: hardware_store, burger_joint, tech_shop, toy_store, grocery_store, cafe, craft_shop, bank, florist, music_store, pharmacy, party_store, salon, bakery, pet_store : 41010
Saved path: bakery, salon, hardware_store, toy_store, noodle_house, bookstore, cafe, dentist, craft_shop, pizzeria, music_store, pharmacy, party_store, barber_shop, pet_store : 50045
Saved path: craft_shop, gym, bank, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist : 40453
Saved path: pharmacy, music_store, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, bike_shop, pet_store, bakery : 47958
Saved path: florist, bank, craft_shop, gym, burger_joint, dentist, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, salon, party_store, pharmacy : 48579
Saved path: pet_store, bakery, salon, party_store, gelateria, pharmacy, jewelry_store, barber_shop, toy_store, grocery_store, dentist, cafe, burger_joint, gym, hardware_store : 49162
Saved path: jewelry_store, music_store, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, pet_store, bakery : 49258
Saved path: craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, party_store, gelateria, music_store : 37933
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, hardware_store, gym, pizzeria, florist, music_store, gelateria, pharmacy : 36989
Saved path: pet_store, salon, music_store, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store : 43046
Saved path: barber_shop, jewelry_store, party_store, pharmacy, florist, bank, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, pet_store, bakery : 42665
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, bank, florist, pharmacy, jewelry_store, salon, bakery, pet_store : 44040
Saved path: cafe, dentist, craft_shop, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store : 46975
Saved path: noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, bank, gym, pet_store, bakery, salon, jewelry_store, party_store, toy_store : 44417
Saved path: cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, hardware_store, craft_shop, bookstore : 40634
Saved path: bike_shop, party_store, gelateria, music_store, florist, bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, bakery, pet_store : 42603
Saved path: pharmacy, gelateria, music_store, florist, gym, hardware_store, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store : 38434
Saved path: barber_shop, bakery, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria : 43334
Saved path: cafe, dentist, craft_shop, florist, music_store, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store, hardware_store, toy_store, tech_shop, burger_joint : 47316
