Saved path: music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, bank : 43286
Saved path: jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, craft_shop, bank, gelateria, music_store, pharmacy, bike_shop, bakery, barber_shop : 44039
Saved path: toy_store, noodle_house, grocery_store, cafe, dentist, florist, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store, hardware_store, gym : 46697
Saved path: bakery, salon, party_store, gelateria, florist, craft_shop, pizzeria, gym, burger_joint, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store : 44534
Saved path: bookstore, cafe, dentist, craft_shop, gym, pizzeria, bank, gelateria, pharmacy, bakery, pet_store, barber_shop, toy_store, noodle_house, burger_joint : 49381
Saved path: bakery, salon, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store : 29339
Saved path: pharmacy, gelateria, music_store, florist, bank, pizzeria, dentist, clothing_store, toy_store, burger_joint, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 49178
Saved path: grocery_store, toy_store, tech_shop, burger_joint, gym, bakery, bike_shop, salon, party_store, gelateria, music_store, craft_shop, pizzeria, bookstore, dentist : 41203
Saved path: party_store, pharmacy, florist, bank, pizzeria, craft_shop, dentist, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, salon : 33995
Saved path: gelateria, pharmacy, party_store, bakery, bike_shop, gym, toy_store, noodle_house, tech_shop, bookstore, cafe, grocery_store, dentist, craft_shop, music_store : 39995
Saved path: tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, gelateria, pharmacy, pet_store, bike_shop, jewelry_store, gym, burger_joint : 50265
Saved path: hardware_store, gym, toy_store, tech_shop, burger_joint, dentist, cafe, bookstore, pizzeria, bank, gelateria, barber_shop, bakery, pet_store, bike_shop : 52601
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store, pharmacy, florist, bank, pizzeria, bookstore, burger_joint, cafe, grocery_store : 29979
