Saved path: noodle_house, burger_joint, hardware_store, gym, pizzeria, craft_shop, florist, gelateria, music_store, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store : 40270
Saved path: bakery, bike_shop, pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, toy_store : 37920
Saved path: party_store, pharmacy, gelateria, music_store, pizzeria, craft_shop, dentist, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, pet_store, bakery : 47210
Saved path: bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, craft_shop, pizzeria, gelateria, pharmacy, party_store, jewelry_store : 46516
Saved path: burger_joint, gym, hardware_store, jewelry_store, bike_shop, pharmacy, gelateria, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house : 41976
Saved path: jewelry_store, party_store, pharmacy, gelateria, florist, bank, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, bakery, pet_store : 44745
Saved path: bakery, pharmacy, music_store, gelateria, bank, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, jewelry_store, bike_shop, pet_store : 52103
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, bakery, hardware_store, gym : 32501
Saved path: grocery_store, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, bookstore, dentist : 47900
Saved path: gelateria, pharmacy, jewelry_store, pet_store, bakery, burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, music_store : 46961
Saved path: pharmacy, gelateria, florist, pizzeria, dentist, grocery_store, cafe, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon : 38616
Saved path: craft_shop, pizzeria, bank, florist, gelateria, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, burger_joint, bookstore, dentist : 37574
Saved path: toy_store, tech_shop, burger_joint, bakery, bike_shop, salon, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store : 30367
Saved path: tech_shop, noodle_house, toy_store, hardware_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, grocery_store, cafe, bookstore : 38185
Saved path: dentist, craft_shop, bank, florist, pharmacy, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store : 46033
Saved path: tech_shop, burger_joint, cafe, bookstore, craft_shop, bank, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store : 44407
Saved path: grocery_store, cafe, bookstore, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist : 40766
Saved path: bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, burger_joint, dentist, craft_shop, pizzeria, bank, florist, pharmacy, party_store : 44559
Saved path: bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, florist, bank : 49724
Saved path: burger_joint, bookstore, cafe, grocery_store, clothing_store, dentist, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store, hardware_store, gym : 51211
Saved path: gym, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, gelateria, music_store, bank, pizzeria, craft_shop, dentist, burger_joint, toy_store : 49118
Saved path: music_store, florist, bank, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, clothing_store, toy_store, bakery, bike_shop, jewelry_store, pharmacy : 40053
Saved path: grocery_store, tech_shop, noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, craft_shop, bookstore : 42181
Saved path: tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, barber_shop, party_store, music_store, florist, bank, craft_shop, dentist, cafe, bookstore : 48586
