Saved path: noodle_house, burger_joint, jewelry_store, bike_shop, pet_store, bakery, music_store, florist, bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store : 48333
Saved path: bakery, bike_shop, pharmacy, gelateria, florist, bank, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, toy_store, hardware_store, barber_shop : 40434
Saved path: gym, burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, florist, pharmacy, party_store, bakery : 34059
Saved path: tech_shop, clothing_store, toy_store, hardware_store, barber_shop, pet_store, bakery, salon, pharmacy, music_store, florist, bank, pizzeria, burger_joint, noodle_house : 46138
Saved path: cafe, grocery_store, dentist, bank, music_store, salon, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore : 40744
Saved path: salon, bakery, party_store, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, burger_joint, tech_shop, toy_store, gym, hardware_store : 37330
Saved path: toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, salon, pet_store, bakery, gelateria, pizzeria, bookstore, cafe, dentist, clothing_store : 49517
Saved path: burger_joint, bookstore, craft_shop, music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe : 46988
Saved path: gym, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, burger_joint : 49954
Saved path: pet_store, bike_shop, pharmacy, music_store, florist, bank, craft_shop, pizzeria, cafe, grocery_store, toy_store, noodle_house, burger_joint, jewelry_store, bakery : 44142
Saved path: pizzeria, florist, music_store, gelateria, party_store, salon, bakery, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop : 36629
Saved path: clothing_store, grocery_store, tech_shop, bookstore, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store : 47029
Saved path: florist, craft_shop, dentist, bookstore, burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, gym, pizzeria : 44816
Saved path: bike_shop, bakery, party_store, gelateria, florist, bank, pizzeria, dentist, cafe, grocery_store, toy_store, gym, hardware_store, jewelry_store, salon : 38966
Saved path: noodle_house, toy_store, gym, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, cafe : 35434
Saved path: hardware_store, toy_store, noodle_house, grocery_store, cafe, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, salon, pet_store : 43548
Saved path: jewelry_store, salon, bakery, pharmacy, gelateria, music_store, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, burger_joint, hardware_store : 37573
Saved path: craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, hardware_store, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, florist, pizzeria : 44175
Saved path: hardware_store, bakery, bike_shop, party_store, pharmacy, music_store, florist, craft_shop, dentist, grocery_store, cafe, bookstore, noodle_house, toy_store, gym : 40089
Saved path: party_store, pharmacy, gelateria, music_store, bank, dentist, cafe, bookstore, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon : 46755
Saved path: florist, bank, pizzeria, gym, burger_joint, grocery_store, clothing_store, toy_store, hardware_store, pet_store, bakery, jewelry_store, party_store, gelateria, music_store : 44741
Saved path: tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, pizzeria, dentist, cafe, grocery_store : 39439
Saved path: gym, toy_store, clothing_store, tech_shop, bookstore, dentist, craft_shop, florist, pharmacy, party_store, barber_shop, bakery, bike_shop, salon, hardware_store : 42774
Saved path: clothing_store, toy_store, tech_shop, burger_joint, gym, jewelry_store, pet_store, bakery, party_store, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store : 42383
Saved path: noodle_house, tech_shop, bookstore, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pharmacy, music_store, bank, dentist, grocery_store, clothing_store, toy_store : 40317
Saved path: craft_shop, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, party_store, gelateria, florist : 42463
Saved path: gym, jewelry_store, salon, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 40674
Saved path: salon, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, florist, music_store, gelateria, pharmacy : 39609
Saved path: pet_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store : 48270
Saved path: dentist, grocery_store, toy_store, gym, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, craft_shop, pizzeria, bookstore, cafe : 46026
Saved path: bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, florist, gym : 36506
Saved path: hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, bank, pharmacy, party_store, salon, bakery, pet_store : 46008
Saved path: clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy, bakery, pet_store, barber_shop, toy_store : 48637
Saved path: bank, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, bakery, burger_joint, bookstore, cafe, grocery_store, clothing_store, dentist, craft_shop : 37675
Saved path: pizzeria, bank, gelateria, pharmacy, party_store, bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist : 36855
Saved path: bakery, pet_store, bike_shop, party_store, gelateria, music_store, bank, pizzeria, craft_shop, dentist, cafe, burger_joint, tech_shop, toy_store, barber_shop : 48733
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, florist, music_store, gelateria, pharmacy, bike_shop, jewelry_store, hardware_store, gym : 42150
Saved path: bank, music_store, pharmacy, party_store, bakery, salon, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, craft_shop : 37398
Saved path: cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, pizzeria, gym, burger_joint, bookstore : 39266
Saved path: bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, gym, craft_shop, music_store, pharmacy, party_store : 39312
Saved path: music_store, pizzeria, gym, hardware_store, burger_joint, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, party_store : 42277
Saved path: bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pizzeria, bank, florist, pharmacy, salon : 46840
Saved path: pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, pizzeria, bank, music_store : 42658
Saved path: clothing_store, noodle_house, burger_joint, bookstore, craft_shop, florist, gym, hardware_store, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store : 46190
Saved path: music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, bookstore, pizzeria, craft_shop : 41485
Saved path: music_store, florist, pizzeria, gym, hardware_store, cafe, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria : 48752
Saved path: clothing_store, grocery_store, dentist, pizzeria, bank, florist, music_store, party_store, salon, bike_shop, bakery, barber_shop, hardware_store, toy_store, noodle_house : 41571
Saved path: bakery, barber_shop, party_store, pharmacy, music_store, florist, bank, craft_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, pet_store : 45307
Saved path: barber_shop, bakery, bike_shop, party_store, gelateria, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, gym, hardware_store, jewelry_store : 43331
Saved path: gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store, florist, bank, dentist, tech_shop, toy_store : 51442
Saved path: bank, florist, music_store, gelateria, pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, bookstore, craft_shop : 43546
Saved path: bookstore, pizzeria, craft_shop, bank, gelateria, music_store, party_store, bakery, pet_store, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, grocery_store : 42183
Saved path: pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 45005
Saved path: dentist, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, music_store, florist, pizzeria, craft_shop : 51425
Saved path: barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, bank, craft_shop, pizzeria, gym, burger_joint, bookstore, grocery_store, toy_store : 45814
Saved path: bakery, hardware_store, gym, burger_joint, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, florist, pharmacy, party_store, barber_shop : 39590
Saved path: toy_store, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, pizzeria, bank, music_store, gelateria, pharmacy, pet_store, bakery, barber_shop : 48355
Saved path: bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, grocery_store, dentist, craft_shop, bank, florist, gelateria : 40951
Saved path: toy_store, noodle_house, dentist, cafe, bookstore, pizzeria, music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 52048
Saved path: burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, clothing_store, grocery_store, cafe : 42507
Saved path: grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, salon, bike_shop, bakery, barber_shop, pharmacy, gelateria, music_store, bank, dentist : 42328
Saved path: pizzeria, music_store, gelateria, pharmacy, party_store, barber_shop, bakery, bike_shop, salon, hardware_store, gym, toy_store, tech_shop, dentist, bookstore : 45187
Saved path: cafe, bookstore, pizzeria, bank, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, hardware_store, toy_store, clothing_store, grocery_store, dentist : 37028
Saved path: toy_store, noodle_house, clothing_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, bank, florist, pharmacy, bike_shop, bakery, barber_shop : 37422
Saved path: bike_shop, music_store, florist, pizzeria, gym, burger_joint, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store : 52815
Saved path: dentist, cafe, burger_joint, gym, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, craft_shop : 50561
Saved path: hardware_store, burger_joint, cafe, dentist, grocery_store, toy_store, barber_shop, pet_store, bakery, salon, party_store, music_store, florist, craft_shop, gym : 51812
Saved path: burger_joint, gym, craft_shop, bank, gelateria, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, clothing_store, dentist, cafe, bookstore : 49809
Saved path: toy_store, noodle_house, tech_shop, dentist, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, hardware_store, gym : 43101
Saved path: salon, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pharmacy, barber_shop, bakery, pet_store, bike_shop : 48782
Saved path: grocery_store, cafe, bookstore, bank, florist, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house : 43627
Saved path: salon, jewelry_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, florist, music_store, gelateria, bike_shop : 40946
Saved path: barber_shop, jewelry_store, salon, bakery, party_store, pharmacy, gym, burger_joint, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store : 37156
Saved path: party_store, pharmacy, music_store, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store : 48393
Saved path: pet_store, bike_shop, gelateria, music_store, pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery : 52933
Saved path: clothing_store, tech_shop, noodle_house, toy_store, bakery, bike_shop, salon, pharmacy, gelateria, pizzeria, craft_shop, gym, burger_joint, cafe, grocery_store : 32902
Saved path: salon, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, pizzeria, craft_shop, bank, gym, hardware_store, party_store : 31728
Saved path: clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, pharmacy, party_store, bike_shop, bakery, hardware_store, toy_store, noodle_house, tech_shop : 36140
Saved path: pharmacy, gelateria, music_store, bank, gym, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, party_store : 39705
Saved path: bakery, pet_store, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy, salon : 45075
Saved path: dentist, pizzeria, bank, florist, party_store, bakery, pet_store, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe : 43347
Saved path: hardware_store, pet_store, bakery, pharmacy, gelateria, florist, bank, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 43103
Saved path: clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, music_store, gelateria, bakery, pet_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store : 46989
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, florist, pharmacy, salon, bike_shop, bakery : 30662
Saved path: noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store, jewelry_store, gelateria, music_store, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store : 51831
Saved path: music_store, gelateria, bank, craft_shop, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, salon, bakery, barber_shop, pharmacy : 36754
Saved path: bakery, pet_store, bike_shop, pharmacy, gelateria, pizzeria, gym, burger_joint, cafe, dentist, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store : 50034
