Saved path: florist, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, salon, party_store, pharmacy : 42209
Saved path: bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, grocery_store, dentist, bookstore, pizzeria, florist, pharmacy, salon, bike_shop, pet_store : 48979
Saved path: bookstore, tech_shop, noodle_house, toy_store, gym, pet_store, bakery, salon, pharmacy, music_store, bank, craft_shop, dentist, grocery_store, cafe : 47149
Saved path: bookstore, pizzeria, craft_shop, bank, florist, gelateria, pharmacy, bakery, pet_store, bike_shop, hardware_store, toy_store, noodle_house, clothing_store, dentist : 45141
Saved path: salon, jewelry_store, barber_shop, party_store, pharmacy, gelateria, music_store, pizzeria, dentist, burger_joint, noodle_house, toy_store, hardware_store, pet_store, bakery : 49682
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, florist, music_store, gelateria, party_store, bike_shop, bakery, burger_joint, tech_shop, noodle_house, toy_store : 32660
Saved path: tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, florist, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store : 45468
Saved path: cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, salon, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, bank, dentist : 36955
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, hardware_store, gym, pizzeria, music_store, gelateria, party_store : 40336
Saved path: bike_shop, party_store, gelateria, music_store, craft_shop, pizzeria, cafe, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, bakery, pet_store : 44989
Saved path: gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, pizzeria, music_store : 45944
Saved path: bookstore, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bakery, gelateria, music_store, pizzeria, craft_shop, dentist, cafe : 39667
Saved path: party_store, pharmacy, gelateria, gym, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 51723
Saved path: salon, party_store, music_store, florist, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop : 44890
Saved path: bookstore, cafe, grocery_store, dentist, craft_shop, gelateria, party_store, salon, pet_store, bakery, jewelry_store, gym, toy_store, tech_shop, burger_joint : 48574
Saved path: burger_joint, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, party_store, music_store, florist, bank, pizzeria, gym : 43564
Saved path: tech_shop, grocery_store, cafe, dentist, pizzeria, bank, florist, gelateria, pharmacy, barber_shop, bakery, pet_store, hardware_store, gym, toy_store : 49999
Saved path: party_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, burger_joint, gym, pizzeria, bank, florist, music_store, gelateria : 41047
Saved path: burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, pizzeria, florist, music_store, gelateria, party_store, salon, bike_shop, pet_store, gym : 44596
Saved path: music_store, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, dentist, bookstore, burger_joint, gym, bank : 53292
Saved path: pet_store, bike_shop, pharmacy, gelateria, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery : 47860
Saved path: tech_shop, burger_joint, hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, cafe, grocery_store, toy_store : 46234
Saved path: noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, pharmacy, music_store, florist, bank, pizzeria, cafe, grocery_store : 46633
Saved path: hardware_store, gym, toy_store, tech_shop, cafe, bookstore, craft_shop, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store : 46286
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, florist, pharmacy, party_store, bakery, jewelry_store : 32293
Saved path: toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, music_store, pharmacy, bike_shop, bakery, barber_shop, hardware_store, bookstore, tech_shop, noodle_house : 43556
Saved path: party_store, music_store, bank, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, hardware_store, bike_shop, pet_store, bakery, barber_shop : 52356
Saved path: gelateria, bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, pharmacy : 37992
Saved path: burger_joint, gym, bank, music_store, gelateria, party_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore : 36620
Saved path: pet_store, bakery, salon, party_store, gelateria, music_store, florist, pizzeria, bookstore, burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop : 44675
Saved path: toy_store, bakery, salon, party_store, pharmacy, music_store, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house : 33979
Saved path: music_store, pharmacy, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, burger_joint, bookstore, florist : 41939
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, gym, craft_shop, florist, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop : 45349
Saved path: bookstore, cafe, grocery_store, clothing_store, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, bank, pizzeria : 43410
Saved path: barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, music_store, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store : 41301
Saved path: gym, hardware_store, pet_store, bakery, jewelry_store, pharmacy, gelateria, florist, craft_shop, dentist, cafe, grocery_store, toy_store, tech_shop, burger_joint : 47250
Saved path: toy_store, tech_shop, clothing_store, grocery_store, cafe, gym, pizzeria, craft_shop, bank, florist, gelateria, pet_store, bakery, jewelry_store, barber_shop : 44147
Saved path: bike_shop, bakery, hardware_store, burger_joint, cafe, grocery_store, tech_shop, toy_store, gym, pizzeria, craft_shop, bank, florist, gelateria, pharmacy : 33177
Saved path: burger_joint, gym, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, bookstore : 37436
Saved path: bike_shop, music_store, gelateria, bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, bakery, pet_store : 49138
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, music_store, pizzeria, gym, craft_shop, dentist, cafe, bookstore : 52603
Saved path: gym, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist, bookstore, burger_joint, hardware_store : 43124
Saved path: music_store, gelateria, bakery, pet_store, jewelry_store, barber_shop, toy_store, grocery_store, bookstore, burger_joint, hardware_store, gym, pizzeria, bank, florist : 48354
Saved path: grocery_store, cafe, pizzeria, craft_shop, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, hardware_store, burger_joint, tech_shop, toy_store : 41878
Saved path: gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, cafe, bookstore, craft_shop : 45738
Saved path: burger_joint, cafe, dentist, bookstore, pizzeria, bank, gelateria, music_store, party_store, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop : 39553
Saved path: bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, craft_shop, gelateria, party_store, salon, bike_shop, pet_store : 39868
Saved path: music_store, gelateria, party_store, salon, bike_shop, bakery, barber_shop, hardware_store, toy_store, tech_shop, dentist, craft_shop, pizzeria, bank, florist : 41184
Saved path: cafe, bookstore, burger_joint, hardware_store, pet_store, bakery, pharmacy, music_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist : 50615
Saved path: salon, pharmacy, music_store, bank, craft_shop, bookstore, cafe, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 48176
Saved path: toy_store, gym, pet_store, bakery, salon, party_store, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, dentist, clothing_store : 48466
Saved path: bike_shop, party_store, gelateria, music_store, florist, pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store : 43632
Saved path: pizzeria, craft_shop, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, gym : 37897
Saved path: pharmacy, party_store, barber_shop, bakery, pet_store, bike_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, bank, florist, gelateria : 44790
Saved path: pharmacy, bank, pizzeria, craft_shop, dentist, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store : 48181
Saved path: music_store, pharmacy, party_store, bakery, bike_shop, hardware_store, toy_store, clothing_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, florist : 38144
Saved path: florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop, gelateria : 42341
Saved path: dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bakery, barber_shop, pharmacy, gelateria, music_store, bank, pizzeria, craft_shop : 39692
Saved path: bank, florist, music_store, gelateria, pharmacy, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, dentist, craft_shop, pizzeria, gym : 43695
Saved path: hardware_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, pizzeria, craft_shop, florist, music_store, gelateria, party_store, salon, bakery, pet_store : 41160
Saved path: pet_store, bakery, party_store, pharmacy, music_store, bank, craft_shop, pizzeria, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym : 41668
Saved path: bank, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist : 40239
Saved path: bookstore, pizzeria, bank, gym, hardware_store, party_store, salon, bakery, pet_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, cafe : 46399
Saved path: dentist, cafe, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, florist, bank : 49165
Saved path: clothing_store, grocery_store, cafe, pizzeria, craft_shop, music_store, pharmacy, bike_shop, pet_store, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store : 45158
Saved path: tech_shop, burger_joint, bookstore, cafe, dentist, bank, florist, music_store, gelateria, pharmacy, party_store, salon, bakery, gym, toy_store : 35698
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store : 49815
Saved path: gelateria, music_store, florist, craft_shop, gym, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, party_store, pharmacy : 42227
Saved path: clothing_store, noodle_house, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, bookstore, burger_joint, cafe : 36680
Saved path: salon, bakery, pharmacy, music_store, florist, bank, craft_shop, gym, toy_store, noodle_house, clothing_store, cafe, burger_joint, hardware_store, jewelry_store : 34286
Saved path: florist, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, pet_store, bike_shop, jewelry_store, party_store, gelateria, music_store : 49423
Saved path: pizzeria, craft_shop, bank, gelateria, bakery, pet_store, barber_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, dentist, bookstore : 50706
Saved path: craft_shop, pizzeria, gym, burger_joint, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, gelateria, music_store, florist, bank : 46645
Saved path: hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, bank, pizzeria, bookstore, grocery_store, tech_shop, noodle_house, toy_store : 44743
Saved path: pharmacy, pet_store, bakery, salon, jewelry_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, florist, gelateria : 45222
