Saved path: clothing_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, toy_store, noodle_house : 41381
Saved path: tech_shop, burger_joint, jewelry_store, salon, pet_store, bakery, pharmacy, music_store, florist, bank, pizzeria, grocery_store, clothing_store, toy_store, noodle_house : 42571
Saved path: gym, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, bank, music_store, gelateria, pharmacy, party_store, salon, bakery : 31593
Saved path: bookstore, cafe, dentist, florist, music_store, gelateria, pharmacy, bakery, pet_store, jewelry_store, gym, toy_store, clothing_store, tech_shop, burger_joint : 50459
Saved path: bakery, party_store, pharmacy, gelateria, florist, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, burger_joint, gym : 33434
Saved path: toy_store, grocery_store, cafe, bookstore, pizzeria, bank, gelateria, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, burger_joint, noodle_house : 44156
Saved path: gym, craft_shop, bank, florist, music_store, pharmacy, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria : 41588
Saved path: gym, craft_shop, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, hardware_store : 39214
Saved path: salon, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, florist, gym, bakery, pet_store, bike_shop : 43951
Saved path: bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, music_store, gelateria, party_store, salon, bike_shop, pet_store : 50801
Saved path: dentist, cafe, burger_joint, gym, pizzeria, bank, florist, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store : 50067
Saved path: pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, craft_shop, bank, music_store : 38782
Saved path: bike_shop, salon, pharmacy, music_store, pizzeria, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, tech_shop, toy_store, barber_shop, bakery : 46438
Saved path: pet_store, bike_shop, salon, music_store, florist, bank, craft_shop, bookstore, burger_joint, cafe, grocery_store, tech_shop, toy_store, barber_shop, bakery : 45661
Saved path: bookstore, pizzeria, bank, florist, gym, bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint : 31892
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, salon, pharmacy, music_store, craft_shop, pizzeria, gym, burger_joint, bookstore, grocery_store : 47927
