Saved path: burger_joint, cafe, grocery_store, dentist, florist, music_store, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house : 40335
Saved path: bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, hardware_store, gym, pizzeria, gelateria, pharmacy, party_store : 45046
Saved path: craft_shop, dentist, cafe, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, pet_store, party_store, pharmacy, gelateria, florist : 47251
Saved path: party_store, music_store, gelateria, bank, pizzeria, gym, burger_joint, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 47156
Saved path: pizzeria, bank, florist, music_store, pharmacy, pet_store, bakery, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore : 42038
Saved path: pharmacy, gelateria, music_store, florist, gym, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 39704
Saved path: pizzeria, bank, florist, music_store, gelateria, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, burger_joint : 36813
Saved path: barber_shop, jewelry_store, bike_shop, pet_store, bakery, gelateria, florist, craft_shop, pizzeria, gym, burger_joint, bookstore, dentist, grocery_store, toy_store : 52124
Saved path: pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop : 47426
Saved path: noodle_house, tech_shop, burger_joint, gym, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, toy_store : 41928
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, florist, craft_shop, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, jewelry_store : 41495
Saved path: pharmacy, party_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore, pizzeria, bank, gelateria, music_store : 43137
Saved path: burger_joint, bookstore, cafe, grocery_store, dentist, music_store, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop : 42210
Saved path: music_store, pharmacy, bike_shop, pet_store, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, dentist, cafe, bookstore, pizzeria, florist : 48294
Saved path: gelateria, pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, dentist, cafe, bookstore, pizzeria, bank, florist : 36513
Saved path: pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, florist, craft_shop, bookstore, grocery_store, tech_shop, noodle_house, toy_store, gym, bakery : 43332
Saved path: salon, bakery, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy : 32713
Saved path: music_store, pizzeria, bookstore, dentist, burger_joint, tech_shop, toy_store, gym, hardware_store, jewelry_store, pet_store, bike_shop, salon, party_store, gelateria : 52244
Saved path: cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, pharmacy, florist, craft_shop, pizzeria : 35411
Saved path: hardware_store, barber_shop, bakery, pet_store, bike_shop, music_store, gelateria, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store : 47985
Saved path: bank, florist, gelateria, bakery, pet_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop : 43861
Saved path: party_store, gelateria, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, toy_store, tech_shop, burger_joint, jewelry_store, salon, bakery, pet_store : 46586
Saved path: music_store, gelateria, party_store, bike_shop, pet_store, bakery, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, gym, craft_shop, bank : 44203
Saved path: clothing_store, grocery_store, craft_shop, bank, florist, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store : 35969
Saved path: pizzeria, craft_shop, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, bookstore : 43269
Saved path: florist, bank, pizzeria, craft_shop, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, music_store : 36547
Saved path: hardware_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, bank, florist, gelateria, pharmacy, bakery, bike_shop : 36217
Saved path: craft_shop, pizzeria, bookstore, grocery_store, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, barber_shop, party_store, gelateria, florist, bank : 43906
Saved path: hardware_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, burger_joint, cafe, grocery_store, clothing_store, dentist, bank, florist, gym : 37232
Saved path: burger_joint, cafe, dentist, clothing_store, toy_store, bakery, pet_store, salon, party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore : 45275
Saved path: pharmacy, gelateria, pizzeria, bookstore, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bike_shop, pet_store, bakery, jewelry_store : 44710
Saved path: florist, pharmacy, barber_shop, jewelry_store, bakery, pet_store, hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, dentist, craft_shop, bank : 46253
Saved path: pizzeria, bank, florist, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, cafe, burger_joint, bookstore : 43469
Saved path: hardware_store, jewelry_store, bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, bank, pizzeria, gym, toy_store, grocery_store, burger_joint : 46664
Saved path: jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop, music_store, gelateria, party_store, pet_store, bakery : 49543
Saved path: cafe, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, craft_shop, gym, pizzeria, bookstore : 48449
Saved path: gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, party_store, music_store, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store : 46435
Saved path: barber_shop, toy_store, clothing_store, tech_shop, burger_joint, dentist, pizzeria, florist, gym, bakery, pet_store, bike_shop, salon, party_store, jewelry_store : 49844
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, pizzeria, florist, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store : 42605
Saved path: pharmacy, gelateria, pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, bakery, pet_store, bike_shop, salon, party_store : 45137
Saved path: jewelry_store, salon, party_store, pharmacy, music_store, florist, pizzeria, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, gym, hardware_store : 33813
Saved path: gym, hardware_store, salon, bakery, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe, grocery_store, noodle_house, toy_store : 32664
Saved path: pizzeria, craft_shop, bank, music_store, pharmacy, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, gym : 46261
