Saved path: hardware_store, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, florist, craft_shop, bookstore, burger_joint, noodle_house, clothing_store, toy_store, gym : 33347
Saved path: gym, craft_shop, bank, florist, pizzeria, bookstore, burger_joint, dentist, grocery_store, clothing_store, toy_store, jewelry_store, bakery, pet_store, bike_shop : 45100
Saved path: cafe, dentist, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, music_store, florist, gym, burger_joint : 52059
Saved path: bank, florist, gym, hardware_store, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, cafe, pizzeria, craft_shop : 35263
Saved path: barber_shop, music_store, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, bike_shop, pet_store, bakery : 54872
Saved path: bakery, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, clothing_store, toy_store, gym, hardware_store, jewelry_store : 35097
Saved path: bakery, salon, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, pet_store : 43533
Saved path: pharmacy, music_store, bank, craft_shop, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, jewelry_store, salon, bike_shop, pet_store, bakery : 44142
Saved path: salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, craft_shop, gelateria, party_store : 39372
Saved path: pet_store, bike_shop, salon, party_store, pharmacy, gelateria, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, bakery : 38944
Saved path: jewelry_store, bakery, bike_shop, party_store, pharmacy, gelateria, florist, craft_shop, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store : 35681
Saved path: bike_shop, party_store, music_store, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, gym, hardware_store, jewelry_store : 43844
Saved path: gym, craft_shop, florist, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint : 44727
Saved path: pet_store, bike_shop, party_store, gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store : 49402
Saved path: pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, gym, bank : 40756
Saved path: craft_shop, bank, florist, gelateria, pharmacy, party_store, barber_shop, jewelry_store, bakery, pet_store, hardware_store, gym, noodle_house, bookstore, dentist : 48492
Saved path: jewelry_store, bakery, salon, pharmacy, gelateria, florist, craft_shop, gym, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop : 40117
Saved path: pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store : 47156
Saved path: burger_joint, noodle_house, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, bank, florist, gym, jewelry_store, bike_shop, pet_store, bakery : 45022
Saved path: party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, dentist, bookstore, burger_joint, clothing_store, toy_store, gym, bakery, salon : 37398
Saved path: music_store, gelateria, pharmacy, party_store, salon, pet_store, bakery, gym, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, bank : 44991
Saved path: noodle_house, tech_shop, clothing_store, cafe, burger_joint, gym, hardware_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store : 34173
Saved path: barber_shop, jewelry_store, party_store, salon, bakery, pet_store, hardware_store, gym, bank, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, toy_store : 41646
Saved path: pizzeria, craft_shop, florist, music_store, party_store, bike_shop, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore : 37887
Saved path: gym, florist, bank, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, tech_shop, burger_joint, salon, bike_shop, pet_store, bakery : 42435
Saved path: music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, cafe, dentist, florist : 40279
Saved path: bakery, barber_shop, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, pizzeria, florist, pharmacy, party_store, salon, bike_shop, pet_store : 47035
Saved path: craft_shop, pizzeria, gelateria, pharmacy, jewelry_store, bike_shop, bakery, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist : 39953
Saved path: pizzeria, craft_shop, bank, florist, gelateria, party_store, salon, bakery, jewelry_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore : 30095
Saved path: bank, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, salon, jewelry_store, party_store, pharmacy, gelateria : 35469
Saved path: pet_store, bike_shop, salon, pharmacy, hardware_store, gym, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, toy_store, barber_shop, bakery : 49754
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, gym, pizzeria, bank, pharmacy, party_store, bakery, bike_shop, salon : 35465
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore, craft_shop, bank, florist : 40068
Saved path: florist, gelateria, pharmacy, party_store, bakery, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, bank : 31852
Saved path: bookstore, burger_joint, hardware_store, gym, craft_shop, bank, gelateria, party_store, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, tech_shop : 38275
Saved path: tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, craft_shop, dentist, burger_joint : 47493
Saved path: florist, music_store, gelateria, party_store, salon, bakery, pet_store, hardware_store, gym, toy_store, grocery_store, dentist, bookstore, pizzeria, craft_shop : 48124
Saved path: bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, cafe, bookstore, craft_shop, florist, gelateria, party_store, bike_shop, pet_store : 46286
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, bank, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store : 35903
Saved path: bank, gelateria, music_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, cafe, dentist, craft_shop, pizzeria : 47342
Saved path: toy_store, hardware_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store : 42117
Saved path: music_store, gelateria, pharmacy, jewelry_store, salon, bakery, pet_store, gym, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore, pizzeria : 50671
Saved path: craft_shop, bank, music_store, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, grocery_store, cafe, burger_joint, bookstore : 45759
Saved path: bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bakery, party_store, pharmacy, music_store, gelateria, bank, pizzeria : 32463
Saved path: gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, noodle_house, grocery_store, dentist, bookstore, burger_joint, gym, bank, florist, music_store : 53466
Saved path: clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, gelateria, barber_shop, jewelry_store, salon, bakery, hardware_store, burger_joint, tech_shop, toy_store : 34111
Saved path: bakery, pet_store, bike_shop, pharmacy, music_store, gelateria, gym, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop : 54480
Saved path: burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, bank, florist, music_store, gelateria, jewelry_store, salon, bakery, pet_store : 47695
Saved path: pet_store, bike_shop, salon, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, bank, music_store, gelateria, party_store, bakery : 47176
Saved path: bike_shop, pet_store, bakery, barber_shop, party_store, pharmacy, music_store, florist, bank, bookstore, dentist, clothing_store, toy_store, hardware_store, salon : 51328
Saved path: burger_joint, bookstore, craft_shop, bank, pharmacy, party_store, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, clothing_store, noodle_house : 45113
Saved path: cafe, bookstore, florist, music_store, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, hardware_store, gym, toy_store, clothing_store, grocery_store : 45411
Saved path: cafe, dentist, pizzeria, florist, music_store, gelateria, party_store, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store : 50003
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, craft_shop, dentist, bookstore : 47670
