Saved path: pet_store, bike_shop, salon, party_store, gelateria, pizzeria, bookstore, cafe, burger_joint, tech_shop, toy_store, gym, hardware_store, barber_shop, bakery : 46493
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, gym, pizzeria, bank, gelateria, pet_store, bakery, salon, barber_shop : 49837
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, florist, pharmacy, party_store : 36251
Saved path: salon, party_store, music_store, florist, bank, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery : 38005
Saved path: pet_store, bakery, barber_shop, toy_store, gym, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, bank, pharmacy, salon, bike_shop : 50345
Saved path: barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, clothing_store, grocery_store, dentist, craft_shop, bank, gelateria, music_store, salon, bakery : 40089
Saved path: pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, gelateria, florist, craft_shop : 39938
Saved path: gym, pizzeria, florist, craft_shop, dentist, bookstore, burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, hardware_store : 38267
Saved path: salon, pharmacy, bank, pizzeria, craft_shop, dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop : 50819
Saved path: bookstore, pizzeria, bank, music_store, gelateria, party_store, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, clothing_store, cafe, burger_joint : 43324
Saved path: toy_store, noodle_house, burger_joint, tech_shop, clothing_store, grocery_store, dentist, craft_shop, pizzeria, gelateria, party_store, pet_store, bakery, jewelry_store, barber_shop : 46800
Saved path: florist, music_store, bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop : 35307
Saved path: hardware_store, jewelry_store, bakery, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store : 35159
Saved path: florist, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, bike_shop, salon, party_store, pharmacy : 37555
Saved path: dentist, craft_shop, pizzeria, florist, music_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, bookstore, cafe : 48822
Saved path: music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, noodle_house, clothing_store, bookstore, pizzeria : 44126
Saved path: barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gym, florist, pizzeria, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store : 40169
Saved path: dentist, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery, pet_store, bike_shop, gelateria, music_store, florist, bookstore, cafe : 53744
Saved path: pet_store, bakery, salon, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, burger_joint, noodle_house, toy_store, hardware_store : 37091
Saved path: hardware_store, jewelry_store, bakery, pet_store, bike_shop, salon, music_store, bank, craft_shop, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store : 44352
Saved path: bakery, pet_store, hardware_store, gym, toy_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, music_store, party_store, salon : 43443
Saved path: bakery, barber_shop, party_store, pharmacy, music_store, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store, hardware_store, salon, bike_shop : 37028
Saved path: toy_store, tech_shop, grocery_store, cafe, bookstore, pizzeria, gym, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon, barber_shop : 48554
Saved path: music_store, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, burger_joint, gym, bank : 40489
Saved path: salon, party_store, florist, bank, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, bakery : 34080
Saved path: cafe, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, gym, toy_store, tech_shop : 33141
Saved path: bakery, pet_store, bike_shop, bookstore, pizzeria, bank, craft_shop, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store : 43083
Saved path: pet_store, salon, music_store, florist, bank, craft_shop, dentist, cafe, burger_joint, tech_shop, toy_store, gym, hardware_store, barber_shop, bakery : 50811
Saved path: pet_store, bakery, salon, music_store, florist, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store : 47371
Saved path: party_store, pharmacy, music_store, pizzeria, gym, hardware_store, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 47444
Saved path: music_store, florist, pizzeria, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, bike_shop, bakery, barber_shop, party_store, pharmacy : 37335
