Saved path: craft_shop, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, bakery, gym, toy_store, grocery_store, pizzeria : 45870
Saved path: cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, hardware_store, gym, bank, dentist : 46314
Saved path: music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria, bank, florist : 41135
Saved path: jewelry_store, barber_shop, toy_store, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, florist, music_store, gelateria, party_store, bakery, pet_store : 46479
Saved path: music_store, florist, pizzeria, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, jewelry_store, bakery, pet_store, bike_shop, party_store : 50537
Saved path: music_store, gelateria, pharmacy, bakery, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist : 38489
Saved path: noodle_house, toy_store, grocery_store, dentist, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, hardware_store, gym, burger_joint : 39041
Saved path: party_store, pharmacy, gelateria, music_store, florist, pizzeria, dentist, clothing_store, noodle_house, toy_store, gym, jewelry_store, salon, bakery, pet_store : 49023
Saved path: toy_store, noodle_house, tech_shop, clothing_store, bookstore, pizzeria, craft_shop, bank, music_store, party_store, salon, bakery, pet_store, barber_shop, hardware_store : 45977
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, craft_shop, music_store, pharmacy, party_store, pet_store : 45547
Saved path: music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, craft_shop : 37378
Saved path: salon, party_store, pharmacy, gelateria, craft_shop, dentist, cafe, bookstore, grocery_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery : 40358
Saved path: music_store, florist, bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, barber_shop, pet_store, bakery, salon : 48993
Saved path: florist, pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, salon, music_store : 40392
Saved path: hardware_store, gym, bank, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, burger_joint : 48822
Saved path: burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, barber_shop, bakery, salon, hardware_store, gym, toy_store, clothing_store, noodle_house : 38237
Saved path: pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, grocery_store, toy_store, gym : 47672
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, burger_joint, noodle_house : 43526
Saved path: bookstore, pizzeria, bank, florist, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe : 32474
Saved path: gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery : 35067
Saved path: pizzeria, craft_shop, florist, pharmacy, party_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, bookstore : 31064
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, florist, gelateria, party_store, barber_shop, bakery, pet_store : 43995
Saved path: party_store, pharmacy, gelateria, music_store, bank, pizzeria, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, bakery : 37134
Saved path: jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, bookstore, pizzeria, craft_shop, gym, hardware_store, party_store, pharmacy, salon, bakery, pet_store : 42773
Saved path: noodle_house, clothing_store, toy_store, pet_store, bike_shop, pharmacy, party_store, jewelry_store, hardware_store, gym, craft_shop, dentist, cafe, bookstore, burger_joint : 49996
Saved path: craft_shop, bank, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, hardware_store, gym, toy_store, clothing_store, noodle_house, burger_joint, bookstore : 36095
Saved path: jewelry_store, party_store, salon, bakery, pet_store, gym, bank, craft_shop, burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop : 42311
Saved path: grocery_store, clothing_store, noodle_house, toy_store, gym, pizzeria, bank, music_store, party_store, salon, bakery, pet_store, hardware_store, burger_joint, cafe : 42669
Saved path: music_store, gelateria, pharmacy, jewelry_store, bike_shop, pet_store, bakery, gym, toy_store, clothing_store, tech_shop, bookstore, pizzeria, bank, florist : 45628
Saved path: dentist, cafe, grocery_store, clothing_store, toy_store, burger_joint, gym, bike_shop, pet_store, bakery, pharmacy, music_store, florist, bank, craft_shop : 47089
Saved path: dentist, grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint, hardware_store, pet_store, bakery, jewelry_store, party_store, gelateria, music_store, bank : 48635
Saved path: grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, pet_store, bakery, salon, gelateria, florist, bank, pizzeria, craft_shop, dentist : 44755
Saved path: music_store, bank, bookstore, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store : 45576
Saved path: jewelry_store, bike_shop, bakery, gelateria, music_store, florist, bookstore, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop : 37137
Saved path: bike_shop, salon, jewelry_store, toy_store, noodle_house, tech_shop, bookstore, pizzeria, florist, bank, dentist, cafe, burger_joint, bakery, pet_store : 42710
Saved path: gym, hardware_store, jewelry_store, bakery, party_store, pharmacy, gelateria, bank, craft_shop, dentist, grocery_store, clothing_store, cafe, bookstore, burger_joint : 35878
Saved path: pizzeria, craft_shop, bank, gelateria, music_store, party_store, salon, bike_shop, bakery, barber_shop, toy_store, grocery_store, tech_shop, burger_joint, bookstore : 36898
Saved path: gelateria, music_store, florist, bank, craft_shop, burger_joint, clothing_store, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop, salon, party_store : 45077
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, bookstore, craft_shop, bank, gelateria, music_store, salon, bike_shop, pet_store : 46379
Saved path: bookstore, pizzeria, florist, music_store, gelateria, pharmacy, salon, bike_shop, pet_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist : 49949
Saved path: tech_shop, noodle_house, toy_store, gym, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, bank, bookstore, cafe, clothing_store : 37249
Saved path: gym, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, dentist, craft_shop : 43338
Saved path: toy_store, noodle_house, tech_shop, clothing_store, cafe, pizzeria, bank, music_store, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, hardware_store : 46366
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, party_store, bike_shop, salon, hardware_store, gym, toy_store, noodle_house : 34796
Saved path: toy_store, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, craft_shop, florist, music_store, gelateria, bakery, salon, jewelry_store, barber_shop : 41685
Saved path: toy_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, florist, craft_shop, gym : 32996
Saved path: dentist, cafe, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, salon, hardware_store, toy_store, tech_shop : 36791
Saved path: toy_store, noodle_house, tech_shop, burger_joint, gym, salon, bakery, gelateria, florist, bank, craft_shop, pizzeria, bookstore, dentist, clothing_store : 35904
Saved path: tech_shop, burger_joint, dentist, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, hardware_store, toy_store : 51215
Saved path: bakery, pet_store, pharmacy, gelateria, craft_shop, gym, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon : 49655
Saved path: burger_joint, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, music_store, florist, dentist, bookstore : 54089
Saved path: dentist, cafe, bookstore, pizzeria, bank, florist, music_store, party_store, salon, bakery, pet_store, hardware_store, toy_store, tech_shop, burger_joint : 44704
Saved path: noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, florist, bank, pizzeria, gym, burger_joint, cafe : 45817
Saved path: burger_joint, hardware_store, jewelry_store, bike_shop, gelateria, music_store, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop : 40988
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, gelateria, florist, craft_shop, gym, hardware_store, burger_joint : 37368
