Saved path: bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, bank, florist, gelateria, pharmacy, party_store : 38396
Saved path: music_store, gelateria, party_store, barber_shop, bakery, bike_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, bank, florist : 38687
Saved path: craft_shop, bank, florist, music_store, gelateria, party_store, salon, bakery, pet_store, burger_joint, cafe, clothing_store, toy_store, gym, pizzeria : 42222
Saved path: gym, hardware_store, pet_store, bakery, barber_shop, party_store, gelateria, music_store, florist, pizzeria, dentist, cafe, burger_joint, tech_shop, toy_store : 51955
Saved path: tech_shop, noodle_house, toy_store, barber_shop, party_store, bike_shop, bakery, gym, florist, bank, craft_shop, dentist, grocery_store, cafe, burger_joint : 40049
Saved path: florist, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, hardware_store, bakery, barber_shop, party_store, pharmacy, gelateria, music_store : 34389
Saved path: toy_store, tech_shop, bookstore, burger_joint, gym, hardware_store, pet_store, bakery, pharmacy, gelateria, music_store, bank, craft_shop, dentist, grocery_store : 48517
Saved path: cafe, bookstore, gym, craft_shop, bank, music_store, pharmacy, bakery, pet_store, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist : 51669
Saved path: grocery_store, cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria, party_store, salon, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store : 37315
Saved path: bookstore, burger_joint, cafe, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy, florist, bank, craft_shop : 35571
Saved path: jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, noodle_house, bookstore, gym, bakery, pet_store, bike_shop : 50499
Saved path: toy_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, bank, florist, gelateria, music_store, salon, bakery, pet_store, barber_shop : 47922
Saved path: bakery, gelateria, florist, bank, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store : 46437
Saved path: pharmacy, party_store, salon, bakery, barber_shop, hardware_store, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, gelateria : 36470
Saved path: clothing_store, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, party_store, music_store, bank, pizzeria, bookstore, dentist : 49116
Saved path: clothing_store, grocery_store, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, noodle_house : 43592
