Saved path: toy_store, gym, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, pharmacy, florist, bank, pizzeria, dentist, cafe, tech_shop : 49723
Saved path: grocery_store, tech_shop, noodle_house, gym, florist, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store : 46896
Saved path: noodle_house, tech_shop, clothing_store, dentist, craft_shop, music_store, gelateria, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store : 41503
Saved path: cafe, dentist, craft_shop, bank, florist, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint : 46737
Saved path: florist, music_store, gelateria, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, grocery_store, cafe, burger_joint, pizzeria, craft_shop, bank : 37117
Saved path: grocery_store, bookstore, pizzeria, bank, music_store, party_store, salon, pet_store, bakery, barber_shop, hardware_store, gym, burger_joint, noodle_house, toy_store : 48685
Saved path: toy_store, noodle_house, clothing_store, dentist, cafe, burger_joint, gym, hardware_store, pharmacy, gelateria, party_store, bike_shop, bakery, jewelry_store, barber_shop : 42160
Saved path: toy_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist, pharmacy, salon, bike_shop, bakery, jewelry_store, gym, burger_joint, tech_shop : 40562
Saved path: pharmacy, party_store, pet_store, bakery, salon, jewelry_store, gym, toy_store, clothing_store, grocery_store, tech_shop, bookstore, pizzeria, florist, music_store : 44040
Saved path: barber_shop, bakery, party_store, pharmacy, music_store, gelateria, bank, gym, burger_joint, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store : 41628
Saved path: noodle_house, toy_store, gym, jewelry_store, bike_shop, bakery, gelateria, florist, bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint : 40497
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, bank, music_store, gelateria, party_store, salon, bike_shop, pet_store, bakery : 44884
Saved path: bank, florist, gelateria, pharmacy, party_store, salon, bakery, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore : 28005
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, burger_joint, hardware_store, gym, bank, gelateria, music_store, pharmacy, bakery, pet_store : 46175
Saved path: party_store, gelateria, florist, dentist, grocery_store, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 47363
Saved path: pharmacy, gelateria, florist, bank, pizzeria, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bakery, barber_shop : 37329
Saved path: party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, jewelry_store : 31128
Saved path: noodle_house, tech_shop, grocery_store, cafe, burger_joint, gym, bank, florist, music_store, pharmacy, party_store, salon, bakery, barber_shop, toy_store : 34180
