Saved path: party_store, pharmacy, florist, craft_shop, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 47256
Saved path: gym, hardware_store, pet_store, bakery, salon, party_store, pharmacy, florist, bank, pizzeria, bookstore, burger_joint, dentist, clothing_store, toy_store : 45364
Saved path: pizzeria, florist, bank, craft_shop, hardware_store, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint : 42757
Saved path: hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, bank, music_store, pharmacy, party_store, barber_shop, salon, bakery, pet_store : 45243
Saved path: craft_shop, pizzeria, bank, florist, gelateria, bakery, salon, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist : 37218
Saved path: toy_store, pet_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house : 48711
Saved path: dentist, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, hardware_store, gym, bookstore, clothing_store, grocery_store : 50868
Saved path: gym, pet_store, bakery, salon, jewelry_store, music_store, florist, bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, toy_store : 50091
Saved path: bike_shop, salon, jewelry_store, party_store, gelateria, florist, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, toy_store, pet_store : 47332
Saved path: tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, florist, party_store, bakery, bike_shop, salon, hardware_store, burger_joint : 34651
Saved path: florist, bank, craft_shop, dentist, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym, jewelry_store, bakery, pet_store, bike_shop, pharmacy : 48011
Saved path: music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria : 32990
Saved path: gym, craft_shop, bank, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, bookstore, pizzeria : 37226
Saved path: jewelry_store, salon, bike_shop, bakery, pharmacy, music_store, florist, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store : 36593
Saved path: grocery_store, cafe, burger_joint, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store : 36181
Saved path: bank, florist, music_store, party_store, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist : 44513
Saved path: bakery, gym, toy_store, grocery_store, cafe, dentist, pizzeria, bank, music_store, gelateria, pharmacy, jewelry_store, salon, bike_shop, pet_store : 50061
Saved path: bakery, party_store, florist, bank, pizzeria, craft_shop, dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop : 37807
Saved path: toy_store, gym, bakery, pet_store, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house : 47974
Saved path: noodle_house, toy_store, gym, bakery, bike_shop, salon, jewelry_store, party_store, pharmacy, music_store, florist, bank, dentist, grocery_store, tech_shop : 39392
Saved path: pet_store, bike_shop, salon, pharmacy, gelateria, florist, gym, burger_joint, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery : 50003
Saved path: salon, bakery, pet_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, bank, gelateria, pharmacy : 38771
Saved path: toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, gym, pizzeria, craft_shop, bank, florist, music_store, gelateria, bakery, pet_store : 42549
Saved path: salon, party_store, pharmacy, gelateria, music_store, florist, gym, burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, pet_store, bike_shop : 43367
Saved path: bank, florist, music_store, gelateria, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, dentist : 38662
Saved path: grocery_store, dentist, craft_shop, florist, bank, pizzeria, gym, bike_shop, pet_store, bakery, party_store, barber_shop, toy_store, noodle_house, tech_shop : 48410
Saved path: toy_store, hardware_store, bike_shop, pet_store, bakery, barber_shop, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, burger_joint : 50870
Saved path: tech_shop, toy_store, barber_shop, pet_store, bakery, salon, party_store, hardware_store, gym, bank, pizzeria, bookstore, cafe, dentist, burger_joint : 46266
Saved path: toy_store, tech_shop, clothing_store, dentist, cafe, burger_joint, gym, craft_shop, bank, music_store, gelateria, party_store, salon, bakery, barber_shop : 41208
Saved path: bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, craft_shop, music_store, party_store, salon, pet_store : 48803
Saved path: craft_shop, music_store, party_store, salon, bike_shop, pet_store, bakery, jewelry_store, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, gym : 45816
Saved path: salon, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, dentist, craft_shop, bank, florist, party_store, barber_shop, bakery, pet_store, bike_shop : 48229
Saved path: bike_shop, bakery, pharmacy, gelateria, music_store, florist, craft_shop, bookstore, cafe, grocery_store, tech_shop, toy_store, hardware_store, jewelry_store, salon : 35436
Saved path: pharmacy, party_store, salon, bakery, pet_store, hardware_store, burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, craft_shop, bank : 39978
Saved path: bike_shop, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, craft_shop, florist, music_store, gelateria, party_store : 36679
Saved path: tech_shop, clothing_store, dentist, bookstore, pizzeria, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, bakery, gym, toy_store, noodle_house : 40162
Saved path: toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, bank, music_store, gelateria, party_store, bike_shop, bakery, barber_shop, hardware_store : 37403
