Saved path: pet_store, bakery, barber_shop, toy_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, gelateria, party_store, salon : 45178
Saved path: hardware_store, noodle_house, clothing_store, grocery_store, bookstore, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop : 37841
Saved path: burger_joint, cafe, grocery_store, clothing_store, dentist, craft_shop, bank, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, hardware_store, gym : 46199
Saved path: party_store, pharmacy, gelateria, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, salon : 39777
Saved path: toy_store, gym, bakery, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, bookstore, grocery_store, clothing_store, noodle_house : 39527
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, craft_shop, florist, bookstore, burger_joint, noodle_house, tech_shop : 42852
Saved path: craft_shop, music_store, pharmacy, salon, bike_shop, pet_store, jewelry_store, gym, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria : 51577
Saved path: cafe, dentist, craft_shop, bank, florist, pharmacy, party_store, bike_shop, bakery, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store : 33559
Saved path: pet_store, bakery, salon, jewelry_store, party_store, gelateria, music_store, pizzeria, dentist, cafe, grocery_store, toy_store, tech_shop, burger_joint, gym : 50503
Saved path: pharmacy, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop : 40807
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, bookstore, bank, music_store, gelateria, pharmacy, bike_shop, bakery, barber_shop, hardware_store, gym, toy_store : 41097
Saved path: burger_joint, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, music_store, florist, bank, craft_shop, dentist, grocery_store, toy_store : 43840
Saved path: burger_joint, bookstore, cafe, grocery_store, toy_store, hardware_store, jewelry_store, pet_store, salon, party_store, pharmacy, gelateria, florist, craft_shop, gym : 43764
Saved path: toy_store, grocery_store, cafe, dentist, bank, gelateria, music_store, party_store, jewelry_store, bakery, pet_store, hardware_store, gym, burger_joint, noodle_house : 49724
Saved path: bookstore, burger_joint, dentist, clothing_store, toy_store, hardware_store, jewelry_store, salon, bike_shop, bakery, pharmacy, music_store, florist, craft_shop, pizzeria : 40769
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bakery, music_store, gelateria, pharmacy, hardware_store, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop : 40447
Saved path: bakery, salon, jewelry_store, party_store, pharmacy, florist, bank, craft_shop, dentist, cafe, burger_joint, noodle_house, toy_store, gym, pet_store : 44152
Saved path: dentist, craft_shop, pizzeria, bank, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, bookstore, cafe : 46834
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, cafe, dentist, craft_shop, pizzeria, bank, florist, music_store, party_store, bakery : 37797
