Saved path: jewelry_store, bakery, salon, pharmacy, music_store, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, gym : 39374
Saved path: bakery, pet_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, gym, hardware_store, party_store, jewelry_store : 42700
Saved path: gelateria, music_store, bank, craft_shop, pizzeria, bookstore, dentist, clothing_store, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store : 52635
Saved path: party_store, bakery, jewelry_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop, bank, gelateria : 38127
Saved path: tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, bank, gelateria, pharmacy, party_store, salon, bakery, gym, burger_joint : 33615
Saved path: toy_store, noodle_house, clothing_store, dentist, bookstore, bank, music_store, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym : 51871
Saved path: bank, craft_shop, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gym : 44724
Saved path: grocery_store, clothing_store, toy_store, gym, craft_shop, florist, music_store, gelateria, party_store, salon, bike_shop, pet_store, bakery, noodle_house, tech_shop : 43354
Saved path: pharmacy, gelateria, music_store, bank, craft_shop, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon : 42308
Saved path: florist, bank, pizzeria, gym, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, jewelry_store, salon, pet_store, bakery, gelateria, music_store : 44993
Saved path: florist, bank, dentist, clothing_store, tech_shop, toy_store, gym, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store : 46855
Saved path: bank, florist, music_store, gelateria, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, cafe, bookstore, gym, craft_shop : 45954
Saved path: clothing_store, grocery_store, dentist, pizzeria, bank, gelateria, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house : 45081
Saved path: bakery, pet_store, bike_shop, music_store, florist, bank, craft_shop, bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store : 42402
Saved path: craft_shop, pizzeria, bookstore, clothing_store, toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, music_store, florist : 37229
Saved path: dentist, craft_shop, music_store, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store, bakery, burger_joint, bookstore, noodle_house, toy_store, clothing_store : 49161
Saved path: salon, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store : 44046
Saved path: tech_shop, burger_joint, hardware_store, pet_store, salon, jewelry_store, pharmacy, gelateria, music_store, florist, pizzeria, gym, toy_store, clothing_store, grocery_store : 45711
Saved path: grocery_store, dentist, bookstore, pizzeria, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, gym, toy_store, noodle_house, tech_shop : 38924
Saved path: burger_joint, dentist, craft_shop, florist, music_store, pharmacy, party_store, salon, bakery, pet_store, barber_shop, hardware_store, toy_store, noodle_house, tech_shop : 48376
Saved path: party_store, pharmacy, gelateria, florist, bank, gym, hardware_store, cafe, grocery_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 43796
Saved path: gelateria, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, salon, pet_store, bakery, barber_shop, pharmacy, music_store : 46800
Saved path: pet_store, bakery, salon, jewelry_store, barber_shop, party_store, pharmacy, florist, pizzeria, craft_shop, dentist, tech_shop, noodle_house, toy_store, hardware_store : 45897
Saved path: bike_shop, bakery, pharmacy, florist, bank, gym, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, barber_shop, jewelry_store, salon : 39940
Saved path: gelateria, pizzeria, craft_shop, gym, hardware_store, cafe, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store : 47568
Saved path: pharmacy, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore, burger_joint, gym, pizzeria, bank, music_store : 48767
Saved path: music_store, pharmacy, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, bank, florist : 43103
Saved path: grocery_store, cafe, burger_joint, pizzeria, craft_shop, florist, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, clothing_store : 34844
Saved path: salon, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, cafe, noodle_house, toy_store, jewelry_store, bakery, pet_store, bike_shop : 42094
Saved path: gelateria, music_store, florist, bank, pizzeria, bookstore, cafe, dentist, burger_joint, tech_shop, toy_store, hardware_store, salon, bakery, barber_shop : 40447
Saved path: bookstore, dentist, craft_shop, bank, music_store, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, gym, pizzeria : 52227
Saved path: hardware_store, gym, toy_store, noodle_house, burger_joint, dentist, pizzeria, bank, florist, party_store, bakery, pet_store, bike_shop, salon, jewelry_store : 47313
Saved path: music_store, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, salon, party_store, gelateria : 37146
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, gym, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store : 35659
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, bank, florist, gelateria, bakery, pet_store : 45561
Saved path: jewelry_store, bakery, party_store, pharmacy, florist, bank, pizzeria, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store : 35932
Saved path: bank, pizzeria, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, music_store : 42339
Saved path: craft_shop, florist, bank, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, hardware_store : 30657
Saved path: dentist, craft_shop, pizzeria, florist, pharmacy, bike_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe : 37591
Saved path: bank, florist, music_store, gelateria, pharmacy, jewelry_store, bike_shop, bakery, toy_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, craft_shop : 35122
Saved path: burger_joint, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, jewelry_store, pharmacy, gelateria, music_store, florist, dentist, cafe, bookstore : 47100
Saved path: toy_store, clothing_store, grocery_store, tech_shop, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, bakery, bike_shop, jewelry_store, gym : 37438
Saved path: gym, craft_shop, bank, music_store, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, clothing_store, tech_shop, bookstore, burger_joint, hardware_store : 48073
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, bookstore, craft_shop, music_store, gelateria, pharmacy, party_store, bakery, pet_store : 43379
Saved path: bakery, barber_shop, toy_store, grocery_store, dentist, bookstore, burger_joint, gym, pizzeria, craft_shop, music_store, gelateria, pharmacy, bike_shop, pet_store : 54767
Saved path: toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, bank, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon, hardware_store : 45506
Saved path: bank, florist, music_store, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, cafe, hardware_store, gym, pizzeria : 39682
Saved path: pharmacy, music_store, bank, pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bakery, barber_shop : 42129
Saved path: craft_shop, florist, gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, gym : 51905
Saved path: barber_shop, jewelry_store, pet_store, bakery, salon, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, cafe, tech_shop, toy_store : 41638
Saved path: burger_joint, dentist, grocery_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store, florist, pizzeria, bookstore : 52516
Saved path: tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, gelateria, music_store, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint : 43650
Saved path: pet_store, bike_shop, salon, jewelry_store, party_store, florist, bank, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery : 46969
Saved path: jewelry_store, barber_shop, toy_store, grocery_store, dentist, bookstore, pizzeria, gym, craft_shop, bank, florist, gelateria, bakery, bike_shop, salon : 42063
Saved path: bike_shop, salon, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, gelateria, party_store, bakery, pet_store : 42429
Saved path: bookstore, burger_joint, noodle_house, toy_store, gym, bakery, bike_shop, salon, jewelry_store, party_store, music_store, florist, dentist, grocery_store, cafe : 42386
Saved path: music_store, gelateria, pharmacy, bakery, bike_shop, gym, toy_store, noodle_house, burger_joint, bookstore, grocery_store, dentist, craft_shop, bank, florist : 40383
Saved path: bakery, pet_store, salon, party_store, pharmacy, gym, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, noodle_house, burger_joint : 45347
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, cafe, dentist, craft_shop, music_store, pharmacy, salon, bike_shop, pet_store, bakery : 51645
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, pizzeria, florist, music_store, gelateria, party_store, bakery, jewelry_store : 37613
