Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, music_store, bank, craft_shop, pizzeria : 35164
Saved path: florist, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store : 47045
Saved path: jewelry_store, hardware_store, gym, noodle_house, clothing_store, cafe, dentist, bank, gelateria, music_store, pharmacy, party_store, bakery, pet_store, barber_shop : 51121
Saved path: bank, florist, pharmacy, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, burger_joint, cafe, bookstore, pizzeria : 36272
Saved path: party_store, bike_shop, bakery, barber_shop, toy_store, grocery_store, tech_shop, burger_joint, hardware_store, gym, pizzeria, craft_shop, bank, gelateria, pharmacy : 37823
Saved path: salon, florist, bank, craft_shop, dentist, cafe, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 45063
Saved path: dentist, burger_joint, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, bank, gym, pizzeria, bookstore : 53055
Saved path: cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, pizzeria, bookstore : 32871
Saved path: florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist : 45222
Saved path: salon, bakery, pet_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop, bank, gym, hardware_store, party_store : 44033
Saved path: noodle_house, toy_store, grocery_store, dentist, craft_shop, pizzeria, bank, gelateria, music_store, party_store, salon, bike_shop, pet_store, bakery, burger_joint : 45778
Saved path: craft_shop, pizzeria, florist, gelateria, pharmacy, bakery, bike_shop, salon, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, cafe, dentist : 35236
Saved path: florist, bank, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, gelateria : 42526
Saved path: gym, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, pharmacy, florist, bank, bookstore, cafe, grocery_store, clothing_store, toy_store : 45768
Saved path: florist, pizzeria, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, gym, hardware_store, jewelry_store, salon, party_store, gelateria, music_store : 35118
Saved path: toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, florist, craft_shop, pizzeria, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store : 43484
Saved path: toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, pizzeria, music_store, gelateria, pharmacy, bakery, bike_shop, salon, hardware_store, gym : 39713
Saved path: noodle_house, toy_store, jewelry_store, pet_store, bakery, salon, party_store, gelateria, music_store, florist, bank, craft_shop, dentist, grocery_store, tech_shop : 45415
Saved path: dentist, craft_shop, florist, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, bookstore, cafe, grocery_store : 50616
Saved path: gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, florist, bookstore, tech_shop, grocery_store, clothing_store, toy_store : 47389
Saved path: cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, pizzeria, bank, florist, gelateria, pharmacy, bakery, jewelry_store, hardware_store, burger_joint : 32560
Saved path: clothing_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, bakery, pet_store, salon, party_store, gelateria, music_store, florist, bank, cafe : 43323
Saved path: cafe, dentist, grocery_store, noodle_house, toy_store, hardware_store, pharmacy, party_store, bakery, pet_store, bike_shop, gym, craft_shop, pizzeria, bookstore : 46781
Saved path: hardware_store, barber_shop, bakery, salon, pharmacy, gelateria, bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint : 38133
Saved path: bank, pizzeria, gym, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, music_store : 44226
Saved path: tech_shop, toy_store, grocery_store, dentist, craft_shop, florist, pharmacy, party_store, bakery, pet_store, barber_shop, jewelry_store, hardware_store, gym, burger_joint : 48944
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, pharmacy, florist, craft_shop, pizzeria, bookstore, burger_joint : 36525
Saved path: noodle_house, burger_joint, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, florist, bookstore, cafe, grocery_store : 45884
Saved path: gelateria, florist, pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, pharmacy : 36870
Saved path: toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, florist, craft_shop, pizzeria, bookstore, burger_joint, noodle_house, clothing_store : 34060
Saved path: dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, bike_shop, jewelry_store, party_store, pharmacy, florist, bank, craft_shop : 37925
Saved path: burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, hardware_store, craft_shop, bank : 43157
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, burger_joint, craft_shop, bank, gelateria, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 46008
Saved path: music_store, gelateria, bakery, pet_store, hardware_store, gym, toy_store, clothing_store, tech_shop, cafe, dentist, craft_shop, pizzeria, bank, florist : 47209
Saved path: pet_store, bakery, gelateria, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store : 43814
Saved path: bike_shop, bakery, gym, toy_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, jewelry_store, salon : 42561
Saved path: pharmacy, gelateria, music_store, florist, bank, gym, burger_joint, grocery_store, clothing_store, noodle_house, barber_shop, bakery, pet_store, bike_shop, party_store : 46453
Saved path: florist, music_store, salon, pet_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop : 47927
Saved path: pharmacy, gelateria, music_store, florist, gym, pizzeria, bookstore, cafe, dentist, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 44120
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, florist, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house : 47035
Saved path: pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria, gym, craft_shop, bank, music_store : 54112
Saved path: tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, jewelry_store, bike_shop, pet_store, burger_joint, bookstore : 49914
Saved path: bakery, pet_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, florist, music_store, pharmacy, party_store, barber_shop : 45513
Saved path: florist, bank, pizzeria, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, music_store : 32279
Saved path: tech_shop, clothing_store, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, gym, dentist, cafe : 51307
Saved path: tech_shop, burger_joint, gym, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, pharmacy, music_store, craft_shop, dentist, grocery_store, toy_store : 53511
Saved path: bank, craft_shop, dentist, grocery_store, toy_store, burger_joint, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, music_store, florist : 53140
Saved path: cafe, dentist, craft_shop, pizzeria, bank, gelateria, pharmacy, party_store, bike_shop, bakery, hardware_store, toy_store, clothing_store, tech_shop, burger_joint : 35314
Saved path: burger_joint, gym, hardware_store, bakery, party_store, pharmacy, gelateria, florist, bank, craft_shop, bookstore, cafe, grocery_store, toy_store, noodle_house : 30292
Saved path: pharmacy, gelateria, florist, bank, pizzeria, craft_shop, dentist, cafe, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 47478
Saved path: salon, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, pizzeria, craft_shop, florist, gelateria, bakery, pet_store, bike_shop : 44345
Saved path: bank, florist, music_store, gelateria, pharmacy, bakery, salon, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, craft_shop : 30394
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, burger_joint, gym, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy : 46842
