Saved path: pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, clothing_store, bookstore, burger_joint, gym, pizzeria, bank, florist, music_store : 35560
Saved path: gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, burger_joint, bookstore, pizzeria, craft_shop, bank : 43977
Saved path: toy_store, noodle_house, tech_shop, burger_joint, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop : 34223
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, craft_shop, gym, bank, music_store, pharmacy, party_store, bakery, pet_store, bike_shop : 51273
Saved path: pet_store, bakery, salon, party_store, gelateria, music_store, florist, bank, craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, gym : 44404
Saved path: burger_joint, hardware_store, gym, pizzeria, bank, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 37738
Saved path: salon, party_store, music_store, craft_shop, dentist, grocery_store, cafe, bookstore, tech_shop, toy_store, gym, hardware_store, bakery, pet_store, bike_shop : 49184
Saved path: burger_joint, bookstore, pizzeria, bank, florist, music_store, party_store, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store, noodle_house : 37544
Saved path: bakery, salon, party_store, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, pet_store : 44552
Saved path: bakery, party_store, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, gym, bike_shop : 38391
Saved path: bookstore, cafe, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, party_store, pharmacy, music_store, bank, craft_shop, gym, hardware_store, burger_joint : 36684
Saved path: gym, hardware_store, party_store, bike_shop, bakery, barber_shop, toy_store, clothing_store, tech_shop, bookstore, cafe, dentist, craft_shop, florist, bank : 41212
Saved path: dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, party_store, pharmacy, gelateria, pizzeria, bookstore : 48383
Saved path: grocery_store, cafe, bookstore, craft_shop, bank, florist, gelateria, pharmacy, bike_shop, pet_store, bakery, hardware_store, toy_store, noodle_house, tech_shop : 39540
Saved path: music_store, gelateria, pharmacy, party_store, bakery, jewelry_store, toy_store, clothing_store, tech_shop, noodle_house, gym, pizzeria, craft_shop, bank, florist : 33788
Saved path: florist, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, burger_joint, hardware_store, bike_shop, bakery, party_store, pharmacy, gelateria, music_store : 37677
Saved path: gym, burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, music_store, gelateria, florist, bank : 38163
Saved path: pizzeria, bookstore, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, party_store, salon, bike_shop, pet_store, bakery, gym, florist, bank : 43670
