Saved path: bike_shop, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, florist, bank, bakery, pet_store : 41749
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, bakery, pet_store : 47118
Saved path: bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria : 32205
Saved path: cafe, bookstore, pizzeria, gym, craft_shop, bank, florist, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, tech_shop, burger_joint : 43633
Saved path: music_store, gelateria, pharmacy, salon, bike_shop, pet_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop : 43155
Saved path: gelateria, florist, bank, pizzeria, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store, bakery : 45068
Saved path: bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop, bank, music_store, party_store, pet_store : 47441
Saved path: noodle_house, clothing_store, grocery_store, dentist, bookstore, pizzeria, gym, craft_shop, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store : 42969
Saved path: party_store, pharmacy, toy_store, tech_shop, bookstore, cafe, grocery_store, dentist, craft_shop, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 49099
Saved path: bookstore, cafe, burger_joint, hardware_store, gym, craft_shop, florist, music_store, pharmacy, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store : 48365
Saved path: hardware_store, jewelry_store, bakery, party_store, gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 37734
