Saved path: cafe, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, grocery_store : 32629
Saved path: bookstore, pizzeria, bank, florist, pharmacy, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, burger_joint : 41810
Saved path: florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, bank : 36432
Saved path: hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, florist, music_store, gelateria, pharmacy, party_store, bakery, jewelry_store : 32668
Saved path: cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, party_store, pharmacy, music_store, craft_shop, bookstore : 35424
Saved path: toy_store, clothing_store, dentist, bookstore, burger_joint, gym, pizzeria, craft_shop, music_store, pharmacy, party_store, salon, pet_store, bakery, barber_shop : 52623
Saved path: barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, bank, dentist, grocery_store, cafe, burger_joint, tech_shop, noodle_house, toy_store : 40707
Saved path: dentist, craft_shop, bank, music_store, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe : 48773
Saved path: grocery_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bike_shop, party_store, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist : 46983
Saved path: party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, pizzeria, gelateria, pharmacy : 39786
Saved path: cafe, bookstore, craft_shop, bank, gym, hardware_store, jewelry_store, salon, bike_shop, bakery, burger_joint, noodle_house, toy_store, clothing_store, grocery_store : 28939
Saved path: jewelry_store, bakery, party_store, music_store, bank, craft_shop, pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 34156
Saved path: hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, jewelry_store, barber_shop, bakery, pet_store : 44284
Saved path: pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, jewelry_store, pet_store, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 44853
Saved path: toy_store, gym, pizzeria, craft_shop, bank, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, hardware_store, burger_joint, tech_shop, clothing_store : 41699
Saved path: bank, florist, music_store, gelateria, barber_shop, bakery, pet_store, hardware_store, toy_store, clothing_store, tech_shop, cafe, bookstore, pizzeria, craft_shop : 46136
Saved path: music_store, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, gym, toy_store, tech_shop, burger_joint, bookstore, cafe, dentist, bank : 49859
Saved path: music_store, pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, pizzeria, craft_shop, florist : 41757
Saved path: hardware_store, barber_shop, pet_store, bakery, salon, pharmacy, music_store, bank, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store : 45841
Saved path: cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, pet_store, bakery, party_store, pharmacy, gelateria, florist, bank, bookstore : 40149
Saved path: burger_joint, gym, hardware_store, pharmacy, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, noodle_house : 38586
Saved path: grocery_store, noodle_house, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, florist, pizzeria, cafe : 44744
Saved path: pizzeria, music_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop : 48421
Saved path: salon, party_store, pharmacy, florist, bank, craft_shop, pizzeria, gym, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store : 42900
Saved path: pharmacy, gelateria, music_store, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, bakery, salon, jewelry_store, party_store : 38013
Saved path: clothing_store, grocery_store, dentist, florist, gelateria, pharmacy, jewelry_store, bike_shop, pet_store, gym, burger_joint, bookstore, tech_shop, noodle_house, toy_store : 49911
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, pizzeria, bank, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 44360
Saved path: gelateria, florist, craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, jewelry_store, salon, bike_shop, pet_store, bakery : 41777
Saved path: gelateria, florist, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, pet_store, bakery, party_store, pharmacy : 41382
Saved path: music_store, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, burger_joint, gym, craft_shop, bank : 37650
Saved path: tech_shop, grocery_store, cafe, pizzeria, bank, florist, music_store, gelateria, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 47183
Saved path: grocery_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria : 39445
Saved path: dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, salon, pet_store, gelateria, music_store, florist, craft_shop, pizzeria, bookstore : 50881
Saved path: florist, bank, gym, pizzeria, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, music_store : 40056
Saved path: dentist, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, pharmacy, florist, gym, pizzeria, craft_shop : 48206
Saved path: pet_store, bakery, salon, pharmacy, gelateria, music_store, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, clothing_store, toy_store, jewelry_store : 48714
Saved path: pet_store, bakery, salon, pharmacy, gelateria, florist, bank, gym, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 43104
Saved path: dentist, craft_shop, gym, hardware_store, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, bookstore, cafe, grocery_store : 34517
Saved path: pharmacy, florist, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, party_store : 34848
Saved path: barber_shop, toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, gym, craft_shop, music_store, pharmacy, bike_shop, pet_store, bakery : 47870
Saved path: dentist, cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, gelateria, pizzeria : 52125
Saved path: dentist, grocery_store, toy_store, tech_shop, burger_joint, bakery, pet_store, hardware_store, gym, florist, bank, craft_shop, pizzeria, bookstore, cafe : 41910
Saved path: pizzeria, bank, florist, music_store, pharmacy, party_store, pet_store, bakery, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, burger_joint, bookstore : 42039
Saved path: jewelry_store, barber_shop, bakery, bike_shop, salon, music_store, bank, pizzeria, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store : 37334
Saved path: salon, bakery, party_store, pharmacy, music_store, bank, pizzeria, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store : 37080
Saved path: toy_store, noodle_house, grocery_store, cafe, dentist, craft_shop, gym, florist, music_store, pharmacy, party_store, bakery, salon, jewelry_store, barber_shop : 39666
Saved path: craft_shop, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, salon, bike_shop, party_store, gelateria, music_store : 39063
Saved path: florist, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria : 42015
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, pizzeria, bank, florist, gelateria, pharmacy, barber_shop, jewelry_store, bakery, pet_store, hardware_store : 42866
Saved path: florist, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, bookstore, burger_joint, gym, bank : 42880
Saved path: music_store, gelateria, pharmacy, party_store, pet_store, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, gym, craft_shop, florist : 45230
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, florist, pizzeria, bookstore, burger_joint, pet_store, bakery, salon, jewelry_store, toy_store : 43137
Saved path: burger_joint, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, bank, dentist, bookstore : 51648
Saved path: bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, gelateria, party_store, salon, bike_shop : 38369
Saved path: toy_store, hardware_store, jewelry_store, barber_shop, bakery, salon, pharmacy, gelateria, music_store, florist, dentist, cafe, burger_joint, tech_shop, clothing_store : 39928
Saved path: florist, music_store, gelateria, pet_store, bakery, salon, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, craft_shop : 47234
Saved path: dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, pharmacy, florist, craft_shop, gym, burger_joint, cafe : 48248
Saved path: burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, salon, party_store, pharmacy, gelateria, dentist, bookstore : 47629
Saved path: music_store, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, pizzeria, gym : 52564
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, burger_joint, gym, florist, gelateria, pharmacy, bakery, pet_store : 50050
Saved path: pet_store, bike_shop, gelateria, music_store, florist, craft_shop, gym, burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery : 48013
Saved path: toy_store, noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, bank, music_store, pharmacy, party_store, salon, bakery, barber_shop : 36238
