Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, florist, dentist, cafe, clothing_store : 48314
Saved path: craft_shop, florist, pharmacy, party_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, pizzeria : 34863
Saved path: bike_shop, salon, party_store, pharmacy, gelateria, music_store, craft_shop, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store, gym, bakery : 40257
Saved path: dentist, cafe, bookstore, pizzeria, florist, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 38537
Saved path: tech_shop, noodle_house, toy_store, pet_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, gym, burger_joint, bookstore, cafe, grocery_store : 46505
Saved path: jewelry_store, toy_store, clothing_store, tech_shop, cafe, craft_shop, bank, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 44213
Saved path: hardware_store, toy_store, clothing_store, tech_shop, cafe, bookstore, bank, florist, music_store, gelateria, party_store, salon, bakery, barber_shop, jewelry_store : 35349
Saved path: party_store, pharmacy, gelateria, florist, bank, craft_shop, gym, pizzeria, bookstore, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 44551
Saved path: dentist, cafe, bookstore, pizzeria, florist, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store : 47990
Saved path: pizzeria, cafe, burger_joint, noodle_house, toy_store, hardware_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, florist, bank, craft_shop : 31073
Saved path: cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, music_store, bakery, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, dentist : 40653
Saved path: cafe, dentist, grocery_store, toy_store, gym, hardware_store, pet_store, bakery, jewelry_store, party_store, pharmacy, gelateria, craft_shop, pizzeria, bookstore : 47706
Saved path: cafe, bookstore, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist : 38802
Saved path: toy_store, barber_shop, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, pizzeria, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store : 33973
Saved path: bookstore, pizzeria, craft_shop, music_store, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, dentist, burger_joint : 50560
Saved path: party_store, music_store, gelateria, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, jewelry_store, salon, bike_shop, pet_store : 46548
Saved path: party_store, pharmacy, gelateria, florist, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, jewelry_store : 32020
Saved path: pizzeria, florist, music_store, pharmacy, party_store, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, tech_shop, cafe, dentist, bookstore : 48092
Saved path: music_store, gelateria, pharmacy, jewelry_store, salon, bike_shop, bakery, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, florist : 38124
Saved path: tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, party_store, pharmacy, music_store, craft_shop, dentist, clothing_store : 48879
Saved path: florist, pizzeria, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, jewelry_store, party_store, pharmacy, music_store : 43156
Saved path: pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, noodle_house, toy_store, hardware_store, pet_store, bakery, salon : 43704
Saved path: grocery_store, bookstore, pizzeria, gym, craft_shop, bank, florist, music_store, pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop : 48353
Saved path: craft_shop, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, bookstore, cafe, dentist : 48419
Saved path: burger_joint, gym, pizzeria, florist, gelateria, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, dentist, cafe : 46819
Saved path: bakery, pharmacy, music_store, florist, craft_shop, dentist, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, pet_store : 47781
Saved path: gym, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, salon, bakery, jewelry_store : 39170
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, dentist, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon : 50481
Saved path: pet_store, bike_shop, party_store, pharmacy, gelateria, craft_shop, gym, hardware_store, burger_joint, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 46622
Saved path: bakery, gym, toy_store, noodle_house, bookstore, cafe, dentist, craft_shop, bank, florist, gelateria, jewelry_store, salon, bike_shop, pet_store : 47412
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, gelateria, music_store, florist, bank, craft_shop, pizzeria, gym, cafe : 35527
Saved path: hardware_store, pet_store, bakery, barber_shop, jewelry_store, pharmacy, music_store, gelateria, bank, pizzeria, bookstore, burger_joint, dentist, grocery_store, toy_store : 51347
