Saved path: bike_shop, party_store, pharmacy, gelateria, florist, pet_store, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop : 56079
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, florist, pet_store, craft_shop, gym, hardware_store, cafe : 54481
Saved path: craft_shop, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, barber_shop, bike_shop, party_store, bakery, gelateria, music_store, florist, pet_store : 56464
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, music_store, craft_shop, pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 65621
Saved path: craft_shop, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, music_store, bank, gelateria, pet_store : 54899
Saved path: salon, toy_store, noodle_house, grocery_store, cafe, tech_shop, pizzeria, pet_store, florist, music_store, gelateria, bike_shop, party_store, jewelry_store, barber_shop : 63060
Saved path: jewelry_store, party_store, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop, florist, gelateria, pharmacy, bakery, bike_shop : 48912
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, florist, gelateria, music_store, jewelry_store, hardware_store, gym, toy_store : 55959
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, gym, pizzeria, dentist, cafe, tech_shop, noodle_house : 63802
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, salon, hardware_store, party_store, bike_shop, bakery, pharmacy, bank, gelateria, florist : 63468
Saved path: grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, bank, gelateria, florist, gym, burger_joint, cafe, dentist, tech_shop : 64702
Saved path: bookstore, cafe, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, burger_joint : 57443
Saved path: craft_shop, pet_store, gelateria, music_store, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria : 60568
