Saved path: bookstore, burger_joint, gym, craft_shop, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist : 57325
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, cafe, pizzeria, pet_store, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store : 59976
Saved path: bike_shop, bakery, pharmacy, bank, florist, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store : 62515
Saved path: toy_store, hardware_store, burger_joint, cafe, pizzeria, craft_shop, music_store, bank, gelateria, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store : 64923
Saved path: party_store, jewelry_store, bike_shop, pharmacy, gelateria, music_store, florist, pet_store, gym, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, hardware_store : 56038
Saved path: burger_joint, gym, bike_shop, party_store, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, noodle_house, toy_store : 56639
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, cafe, bookstore : 60763
Saved path: bakery, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, toy_store, salon, barber_shop, jewelry_store : 65414
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 54369
Saved path: music_store, florist, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, noodle_house, toy_store, hardware_store, bakery, party_store, jewelry_store, bike_shop : 53842
Saved path: hardware_store, bike_shop, jewelry_store, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, toy_store, gym : 58117
Saved path: pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, hardware_store, gym, bookstore, dentist, pizzeria, craft_shop, florist, music_store, bank : 69304
Saved path: bike_shop, party_store, bakery, gym, pet_store, craft_shop, pizzeria, dentist, grocery_store, tech_shop, cafe, bookstore, burger_joint, toy_store, barber_shop : 54607
Saved path: party_store, barber_shop, toy_store, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, pizzeria, craft_shop, florist, gelateria, bank, pharmacy, bakery : 63128
Saved path: hardware_store, gym, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store : 57094
Saved path: toy_store, salon, noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop, florist, bank, bakery, party_store, bike_shop, gym, burger_joint : 63796
Saved path: gym, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, pizzeria, dentist, cafe, burger_joint : 69572
Saved path: gelateria, florist, gym, party_store, barber_shop, noodle_house, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank : 66682
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, gym, florist, gelateria, bank, pet_store, craft_shop, bookstore, cafe : 66036
Saved path: bank, music_store, pharmacy, party_store, bike_shop, gym, hardware_store, salon, toy_store, tech_shop, cafe, dentist, pizzeria, florist, gelateria : 64958
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, toy_store, salon, barber_shop, pharmacy, gelateria, music_store, florist, pet_store : 46949
Saved path: barber_shop, salon, toy_store, clothing_store, tech_shop, craft_shop, florist, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop : 61711
Saved path: bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria : 60443
Saved path: noodle_house, toy_store, hardware_store, burger_joint, cafe, grocery_store, tech_shop, pizzeria, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, barber_shop : 61150
Saved path: music_store, gelateria, pet_store, gym, hardware_store, bookstore, dentist, tech_shop, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy : 63193
Saved path: toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, florist, pet_store, gym, pizzeria, cafe, grocery_store, clothing_store, noodle_house : 61958
Saved path: burger_joint, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store : 69074
Saved path: cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, hardware_store, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store : 57128
Saved path: craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, jewelry_store, party_store, bakery, pharmacy, bank, florist : 61016
Saved path: party_store, bike_shop, hardware_store, salon, noodle_house, tech_shop, dentist, cafe, burger_joint, gym, pet_store, florist, gelateria, bank, pharmacy : 65752
Saved path: noodle_house, hardware_store, burger_joint, bookstore, tech_shop, dentist, pizzeria, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon : 61892
Saved path: bakery, party_store, barber_shop, salon, noodle_house, toy_store, hardware_store, gym, bookstore, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy : 61015
Saved path: gelateria, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, toy_store, burger_joint, cafe, bookstore, craft_shop : 53136
Saved path: bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, toy_store, clothing_store, salon, barber_shop, jewelry_store, party_store : 68729
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, florist, bank, music_store, jewelry_store, burger_joint, toy_store : 65387
Saved path: salon, barber_shop, party_store, pharmacy, music_store, gelateria, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, toy_store, clothing_store, noodle_house : 60902
Saved path: barber_shop, salon, hardware_store, gym, burger_joint, bookstore, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, bike_shop : 68744
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gym, pet_store, bank, music_store : 71711
Saved path: clothing_store, salon, jewelry_store, party_store, bike_shop, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store : 66609
Saved path: toy_store, noodle_house, salon, barber_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, dentist, grocery_store, bookstore, burger_joint, hardware_store : 56049
Saved path: bookstore, dentist, craft_shop, florist, bank, gelateria, bike_shop, party_store, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 58461
Saved path: tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, jewelry_store, bakery, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store : 58755
Saved path: gelateria, pet_store, gym, burger_joint, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, jewelry_store, music_store, bank : 65905
Saved path: dentist, clothing_store, toy_store, salon, barber_shop, party_store, bakery, pharmacy, gelateria, florist, pet_store, gym, hardware_store, burger_joint, cafe : 56083
Saved path: bookstore, burger_joint, gym, craft_shop, music_store, bank, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist : 67381
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, gym, burger_joint, cafe, tech_shop : 53945
Saved path: clothing_store, grocery_store, dentist, hardware_store, gym, gelateria, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house : 64771
Saved path: burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, pet_store, dentist, grocery_store, noodle_house, toy_store : 71017
Saved path: barber_shop, salon, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop, florist, gelateria, bank, party_store, jewelry_store : 66759
Saved path: bakery, bike_shop, jewelry_store, salon, noodle_house, grocery_store, tech_shop, dentist, bookstore, gym, craft_shop, pet_store, gelateria, music_store, pharmacy : 60491
Saved path: bookstore, burger_joint, cafe, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bike_shop, toy_store, salon, noodle_house, clothing_store, grocery_store : 57950
Saved path: grocery_store, bookstore, dentist, pizzeria, craft_shop, gym, pet_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store : 59399
Saved path: bank, music_store, pharmacy, party_store, bakery, barber_shop, salon, noodle_house, toy_store, hardware_store, gym, burger_joint, cafe, dentist, florist : 62701
Saved path: craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, clothing_store, tech_shop, dentist, burger_joint, hardware_store, gym : 60255
Saved path: burger_joint, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank, pharmacy, bike_shop, jewelry_store : 63232
Saved path: tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop, bank, pharmacy, bike_shop, jewelry_store, hardware_store, salon, toy_store, grocery_store : 67187
Saved path: tech_shop, dentist, hardware_store, gym, pet_store, florist, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store : 62480
Saved path: jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store, salon, hardware_store : 64052
Saved path: bookstore, hardware_store, toy_store, barber_shop, bakery, party_store, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store : 66008
Saved path: pizzeria, tech_shop, grocery_store, noodle_house, toy_store, gym, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, gelateria, pet_store : 62065
Saved path: bank, music_store, pharmacy, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria : 63397
Saved path: dentist, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, party_store, gym, burger_joint, toy_store, noodle_house, clothing_store, grocery_store : 57327
Saved path: pizzeria, cafe, bookstore, burger_joint, gym, pet_store, florist, gelateria, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop : 53811
Saved path: grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, bank, music_store, craft_shop, gym, hardware_store, burger_joint, cafe : 61718
Saved path: bookstore, dentist, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, hardware_store : 67031
Saved path: gym, hardware_store, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, cafe, tech_shop, pizzeria, florist, gelateria, music_store : 61585
Saved path: florist, music_store, bank, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store : 67393
Saved path: music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, tech_shop, dentist, cafe, burger_joint, gym, craft_shop, florist, bank : 67565
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, florist, music_store, gelateria, pharmacy, party_store, hardware_store, toy_store, noodle_house : 45308
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym, hardware_store, bakery, jewelry_store, salon, burger_joint, bookstore : 68448
Saved path: dentist, pizzeria, gym, florist, music_store, gelateria, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 59388
Saved path: tech_shop, pizzeria, pet_store, florist, bank, gelateria, bakery, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, grocery_store : 58841
Saved path: barber_shop, salon, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bike_shop : 54718
Saved path: noodle_house, toy_store, gym, bakery, party_store, gelateria, bank, music_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store : 59755
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, bike_shop, pharmacy, bank, music_store, craft_shop, gym, toy_store : 53144
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, party_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 65729
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, cafe, dentist, pizzeria, gym, pet_store, florist, music_store : 62383
Saved path: party_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria, florist, music_store, pharmacy : 59680
Saved path: jewelry_store, hardware_store, salon, toy_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, florist, music_store, bank, gelateria : 68234
