Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store : 64216
Saved path: grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, bakery, party_store, salon, toy_store, burger_joint, bookstore, cafe : 57535
Saved path: bookstore, burger_joint, tech_shop, grocery_store, salon, barber_shop, party_store, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop, dentist : 63988
Saved path: cafe, burger_joint, gym, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, pizzeria, dentist : 60373
Saved path: party_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, barber_shop : 59876
Saved path: cafe, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, gym, hardware_store : 70386
Saved path: cafe, dentist, tech_shop, noodle_house, toy_store, barber_shop, bike_shop, pharmacy, music_store, bank, pet_store, craft_shop, gym, hardware_store, bookstore : 62335
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, hardware_store, craft_shop, florist, bank, pharmacy, bakery : 60582
Saved path: jewelry_store, bike_shop, bakery, bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, grocery_store, noodle_house, toy_store, barber_shop : 69621
Saved path: craft_shop, florist, bank, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym : 66939
Saved path: music_store, bank, gelateria, florist, pet_store, burger_joint, tech_shop, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, pharmacy : 65024
Saved path: pharmacy, bakery, bike_shop, jewelry_store, party_store, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, craft_shop, pet_store, bank : 58049
Saved path: toy_store, salon, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, pizzeria, tech_shop, clothing_store, bookstore, burger_joint : 67011
Saved path: florist, music_store, jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, gym : 57568
Saved path: hardware_store, salon, toy_store, clothing_store, tech_shop, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, gelateria, music_store, bike_shop : 51423
Saved path: bakery, bike_shop, jewelry_store, barber_shop, hardware_store, burger_joint, cafe, tech_shop, clothing_store, dentist, pet_store, florist, gelateria, music_store, pharmacy : 61320
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pet_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, toy_store : 57075
Saved path: dentist, pizzeria, pet_store, florist, bank, gelateria, bike_shop, party_store, bakery, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 61752
Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, music_store, craft_shop, gym, hardware_store, burger_joint : 54137
Saved path: gelateria, music_store, florist, hardware_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, pet_store : 63247
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, gym, pet_store, florist, bank, music_store, jewelry_store, bike_shop, hardware_store : 64939
Saved path: pet_store, florist, gelateria, music_store, pharmacy, party_store, barber_shop, salon, clothing_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop : 53934
Saved path: clothing_store, grocery_store, tech_shop, cafe, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bakery, bike_shop, jewelry_store, barber_shop : 59878
Saved path: bank, music_store, jewelry_store, bike_shop, bakery, barber_shop, clothing_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria : 63546
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, gym, craft_shop, pet_store, bank, music_store : 63280
Saved path: tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, bank, gelateria, gym, burger_joint, bookstore, dentist : 65471
Saved path: cafe, clothing_store, tech_shop, pizzeria, craft_shop, florist, pet_store, gym, hardware_store, jewelry_store, barber_shop, salon, toy_store, burger_joint, bookstore : 59796
Saved path: pet_store, florist, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, burger_joint, cafe, dentist, pizzeria, craft_shop : 60045
Saved path: florist, pet_store, pizzeria, tech_shop, grocery_store, noodle_house, salon, gym, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store : 65488
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, bike_shop, toy_store : 56249
Saved path: clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, florist, bank, gelateria, pharmacy, bakery, bike_shop, gym, burger_joint, noodle_house : 50831
Saved path: bakery, bike_shop, party_store, hardware_store, toy_store, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy : 59416
Saved path: pharmacy, bakery, bike_shop, barber_shop, toy_store, hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store : 53090
Saved path: cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, florist, pet_store, dentist : 56694
Saved path: toy_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, party_store, bike_shop, barber_shop : 57794
Saved path: salon, barber_shop, jewelry_store, pharmacy, gelateria, bank, florist, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, toy_store : 68501
Saved path: salon, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, bank, music_store, jewelry_store, bike_shop, bakery, gym, hardware_store : 65825
Saved path: bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, gelateria : 65179
Saved path: craft_shop, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, dentist, pizzeria : 67889
Saved path: bank, pharmacy, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, craft_shop : 65344
Saved path: florist, gym, hardware_store, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, pharmacy, music_store, bank : 59546
Saved path: jewelry_store, bike_shop, music_store, bank, gelateria, pet_store, gym, craft_shop, dentist, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery : 67468
Saved path: cafe, dentist, pizzeria, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, bank, gym, hardware_store, burger_joint, bookstore : 71728
Saved path: clothing_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank, bike_shop, jewelry_store, party_store, hardware_store, toy_store : 68572
Saved path: noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, toy_store : 57681
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, gelateria, bank, pet_store : 61944
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, jewelry_store, party_store, bakery, hardware_store, gym, toy_store, bookstore, cafe : 58548
Saved path: pharmacy, music_store, bank, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store : 63099
Saved path: dentist, pizzeria, gym, hardware_store, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, cafe : 70176
Saved path: toy_store, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, hardware_store : 65361
Saved path: bookstore, noodle_house, grocery_store, tech_shop, dentist, craft_shop, music_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym : 63487
Saved path: burger_joint, cafe, tech_shop, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, hardware_store : 57251
Saved path: tech_shop, pizzeria, pet_store, gelateria, music_store, pharmacy, party_store, bike_shop, barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, bookstore : 62701
Saved path: craft_shop, dentist, cafe, burger_joint, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store, music_store, bank, pet_store : 64948
Saved path: bookstore, noodle_house, toy_store, hardware_store, bike_shop, party_store, bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop, dentist, cafe : 59320
Saved path: burger_joint, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, florist, gym : 58056
Saved path: cafe, burger_joint, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, dentist : 68115
Saved path: jewelry_store, pharmacy, gelateria, bank, florist, pet_store, craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, gym : 67629
Saved path: bookstore, clothing_store, tech_shop, dentist, pet_store, bank, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint : 70167
Saved path: cafe, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, dentist : 66948
Saved path: gelateria, pharmacy, party_store, bakery, barber_shop, salon, hardware_store, gym, bookstore, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, bank : 66710
Saved path: dentist, cafe, burger_joint, gym, craft_shop, pet_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, salon, noodle_house, tech_shop, pizzeria : 51806
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, pet_store, bank, florist, hardware_store, party_store, bakery : 62681
Saved path: salon, noodle_house, clothing_store, tech_shop, cafe, dentist, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, toy_store : 56205
Saved path: bike_shop, jewelry_store, party_store, pharmacy, florist, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop : 55841
Saved path: tech_shop, pizzeria, craft_shop, music_store, bank, pharmacy, bakery, party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, bookstore : 63595
