Saved path: tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, pet_store, craft_shop, hardware_store, burger_joint, bookstore, cafe : 57948
Saved path: jewelry_store, party_store, pharmacy, gelateria, music_store, florist, craft_shop, gym, hardware_store, bookstore, dentist, clothing_store, toy_store, barber_shop, bike_shop : 61540
Saved path: gym, bike_shop, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, bank, florist : 59604
Saved path: clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, gelateria, bank, pharmacy, jewelry_store, barber_shop, salon, noodle_house : 68100
Saved path: bike_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, noodle_house, salon, toy_store, gym : 63072
Saved path: music_store, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank : 70839
Saved path: clothing_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, bank, music_store, florist, pizzeria, tech_shop, cafe, bookstore, hardware_store, toy_store : 66095
Saved path: craft_shop, florist, music_store, bank, gelateria, pharmacy, party_store, barber_shop, noodle_house, clothing_store, pizzeria, dentist, burger_joint, hardware_store, gym : 64554
Saved path: pharmacy, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop, bookstore, burger_joint, cafe, dentist, craft_shop, florist, music_store, bank : 63737
Saved path: barber_shop, toy_store, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 67561
Saved path: cafe, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, salon, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, craft_shop, dentist : 55338
Saved path: party_store, jewelry_store, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, cafe, tech_shop, pizzeria, pet_store, florist, bank, pharmacy : 66377
Saved path: jewelry_store, party_store, bakery, gelateria, bank, florist, pet_store, craft_shop, dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house, salon : 65270
Saved path: pharmacy, gelateria, bank, gym, hardware_store, burger_joint, dentist, pizzeria, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store : 70031
Saved path: bookstore, cafe, pizzeria, florist, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, burger_joint : 62900
Saved path: cafe, bookstore, gym, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store : 54787
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, salon, burger_joint, cafe, tech_shop : 65919
Saved path: pharmacy, gelateria, florist, craft_shop, gym, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, bakery : 56534
Saved path: burger_joint, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, music_store, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym : 59634
Saved path: dentist, craft_shop, pet_store, pharmacy, bakery, jewelry_store, party_store, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe : 54525
Saved path: craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist : 58528
Saved path: grocery_store, tech_shop, cafe, craft_shop, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store : 60501
Saved path: bakery, bike_shop, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy : 55590
Saved path: craft_shop, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, gelateria, bank, music_store, florist, pet_store : 58802
Saved path: pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, gelateria : 54842
Saved path: hardware_store, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, gym : 49658
Saved path: gym, craft_shop, florist, music_store, bank, gelateria, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, dentist, cafe, burger_joint, hardware_store : 66275
Saved path: party_store, jewelry_store, bike_shop, hardware_store, toy_store, clothing_store, grocery_store, cafe, pizzeria, pet_store, florist, gelateria, bank, music_store, pharmacy : 63360
Saved path: music_store, gelateria, florist, craft_shop, pizzeria, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, hardware_store, party_store, pharmacy : 55772
Saved path: grocery_store, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bike_shop, party_store, jewelry_store, salon, toy_store, burger_joint, bookstore : 66518
Saved path: hardware_store, gym, craft_shop, bank, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, bookstore : 61511
Saved path: salon, barber_shop, bakery, party_store, bike_shop, music_store, bank, pet_store, craft_shop, dentist, bookstore, tech_shop, clothing_store, toy_store, hardware_store : 67216
Saved path: gym, craft_shop, florist, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint : 49566
Saved path: bookstore, dentist, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon, toy_store, clothing_store, tech_shop, cafe : 66559
Saved path: florist, gelateria, bakery, barber_shop, toy_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop : 49297
Saved path: noodle_house, tech_shop, cafe, burger_joint, hardware_store, craft_shop, pet_store, florist, gelateria, bank, music_store, party_store, bakery, barber_shop, toy_store : 62181
Saved path: pet_store, florist, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, bookstore, burger_joint, gym : 64128
Saved path: bank, pet_store, craft_shop, hardware_store, bike_shop, party_store, bakery, barber_shop, salon, toy_store, clothing_store, tech_shop, bookstore, florist, gelateria : 64237
Saved path: grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, gelateria, bank, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house : 66759
Saved path: jewelry_store, party_store, hardware_store, gym, pet_store, pizzeria, dentist, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, bike_shop : 57753
Saved path: music_store, gelateria, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, party_store, pharmacy : 59591
