Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, craft_shop, pet_store, gelateria, music_store, bike_shop, party_store, barber_shop, salon, hardware_store : 57328
Saved path: craft_shop, gym, florist, bank, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, burger_joint, cafe, pizzeria : 66002
Saved path: cafe, bookstore, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, gelateria, music_store, craft_shop, pizzeria, dentist : 60784
Saved path: burger_joint, noodle_house, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, hardware_store : 66119
Saved path: bakery, bike_shop, hardware_store, gym, burger_joint, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 54489
Saved path: bank, music_store, jewelry_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore, craft_shop, gelateria : 58529
Saved path: bookstore, burger_joint, hardware_store, florist, music_store, gelateria, pharmacy, bakery, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 45473
Saved path: pizzeria, craft_shop, pet_store, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, cafe : 61758
Saved path: jewelry_store, bakery, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, florist, music_store, bank, barber_shop : 67659
Saved path: gelateria, florist, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, salon, jewelry_store, bike_shop, pharmacy, music_store : 56477
Saved path: music_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, bakery, bike_shop, jewelry_store : 59726
Saved path: florist, music_store, pharmacy, party_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym, craft_shop : 54847
