Saved path: noodle_house, grocery_store, cafe, dentist, pizzeria, florist, music_store, bank, pet_store, gym, hardware_store, bakery, bike_shop, jewelry_store, bookstore : 68024
Saved path: pharmacy, music_store, florist, pet_store, gym, hardware_store, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop : 58297
Saved path: pet_store, bank, florist, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, burger_joint, grocery_store, tech_shop, pizzeria, craft_shop : 71302
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, pharmacy, jewelry_store, bike_shop, hardware_store, gym : 58615
Saved path: cafe, bookstore, burger_joint, toy_store, salon, barber_shop, bakery, party_store, hardware_store, gym, pet_store, craft_shop, dentist, grocery_store, tech_shop : 51805
Saved path: party_store, bakery, barber_shop, salon, noodle_house, grocery_store, bookstore, cafe, pizzeria, craft_shop, florist, music_store, gelateria, gym, hardware_store : 57713
Saved path: dentist, craft_shop, pet_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, toy_store, salon, noodle_house, clothing_store, tech_shop, burger_joint, bookstore : 49413
Saved path: pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, toy_store, hardware_store, gym : 55163
Saved path: toy_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, hardware_store : 61712
Saved path: grocery_store, bookstore, cafe, dentist, craft_shop, pet_store, florist, bank, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, noodle_house : 67245
Saved path: bank, music_store, pharmacy, bakery, bike_shop, party_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, dentist, florist, gelateria : 54303
Saved path: clothing_store, noodle_house, salon, barber_shop, bakery, jewelry_store, party_store, hardware_store, gym, florist, gelateria, bank, pizzeria, cafe, bookstore : 69126
Saved path: gelateria, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, gym, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank : 67534
Saved path: clothing_store, cafe, pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, noodle_house : 69534
Saved path: party_store, bakery, pharmacy, music_store, gelateria, pet_store, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon : 50629
Saved path: bike_shop, gym, hardware_store, salon, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, party_store : 62956
Saved path: pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, hardware_store, toy_store, salon, barber_shop, party_store : 59290
Saved path: pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, gym, burger_joint, bookstore, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store : 63400
Saved path: pet_store, florist, gelateria, pharmacy, bike_shop, jewelry_store, hardware_store, gym, toy_store, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria : 58646
Saved path: gelateria, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, pizzeria, pet_store : 60032
Saved path: toy_store, noodle_house, salon, barber_shop, bakery, pharmacy, gelateria, music_store, florist, pet_store, pizzeria, tech_shop, cafe, bookstore, burger_joint : 50642
Saved path: florist, gym, bakery, party_store, jewelry_store, toy_store, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank : 67737
Saved path: pet_store, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, clothing_store, barber_shop, jewelry_store, bike_shop, pharmacy, gelateria, bank, florist : 68681
Saved path: florist, pet_store, craft_shop, dentist, grocery_store, cafe, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, pharmacy, music_store, bank : 68333
Saved path: music_store, gelateria, florist, pet_store, gym, burger_joint, bookstore, cafe, tech_shop, toy_store, salon, barber_shop, bakery, party_store, pharmacy : 54220
Saved path: hardware_store, gym, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, cafe : 50691
Saved path: gelateria, bank, pharmacy, jewelry_store, salon, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, gym, craft_shop, pet_store, florist : 67035
Saved path: bookstore, gym, craft_shop, florist, bank, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, dentist, cafe : 67442
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, party_store, bike_shop, hardware_store, gym, toy_store, noodle_house, grocery_store, pizzeria, craft_shop : 61739
Saved path: clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, gelateria, pet_store, dentist, burger_joint, bookstore, tech_shop, grocery_store : 56949
Saved path: bike_shop, party_store, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria, cafe, bookstore, gym, toy_store, salon, barber_shop : 64921
Saved path: pet_store, music_store, pharmacy, bakery, party_store, bike_shop, gym, hardware_store, salon, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop : 59967
Saved path: pizzeria, dentist, bookstore, gym, craft_shop, pet_store, gelateria, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop : 62604
Saved path: music_store, pharmacy, bakery, party_store, barber_shop, salon, toy_store, noodle_house, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, bank : 65101
Saved path: gelateria, pharmacy, bakery, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore, pizzeria, pet_store, florist, music_store, bank : 65599
Saved path: pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, bike_shop, party_store, hardware_store, gym, toy_store, burger_joint, cafe, tech_shop : 59172
Saved path: gym, hardware_store, bike_shop, party_store, bakery, barber_shop, toy_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, gelateria, bank, music_store : 67903
Saved path: florist, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, bakery, jewelry_store, pharmacy, music_store, bank : 63143
Saved path: hardware_store, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, gym : 61595
Saved path: dentist, pizzeria, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, gym, burger_joint, bookstore, cafe : 67487
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, bakery, bike_shop, gym, pet_store, florist, craft_shop, pizzeria, dentist, cafe : 47233
Saved path: burger_joint, dentist, pizzeria, tech_shop, noodle_house, barber_shop, bike_shop, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, gym : 63231
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, pizzeria, gym, pet_store, gelateria, bank, music_store, pharmacy, bakery : 68354
Saved path: jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, florist, bank, gelateria, hardware_store, party_store : 67820
Saved path: florist, gelateria, party_store, bakery, barber_shop, noodle_house, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop : 52973
Saved path: bank, gelateria, pet_store, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, party_store, bakery, music_store : 60460
Saved path: gym, florist, bank, gelateria, bakery, party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint : 65955
Saved path: pharmacy, bank, gelateria, craft_shop, gym, burger_joint, cafe, pizzeria, tech_shop, clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop : 67923
Saved path: pet_store, bank, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, craft_shop : 68679
Saved path: burger_joint, hardware_store, gym, florist, pharmacy, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe : 57837
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, party_store, jewelry_store, bike_shop, music_store, bank, gelateria, dentist, cafe : 64587
Saved path: music_store, florist, gym, hardware_store, bookstore, tech_shop, grocery_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank : 63325
Saved path: bank, music_store, bike_shop, party_store, bakery, salon, toy_store, clothing_store, tech_shop, cafe, bookstore, dentist, craft_shop, florist, gelateria : 60535
Saved path: music_store, bank, gelateria, craft_shop, dentist, tech_shop, grocery_store, gym, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 67781
Saved path: bank, music_store, bakery, party_store, jewelry_store, salon, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, gym, craft_shop, florist, gelateria : 59587
Saved path: bike_shop, party_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, grocery_store, noodle_house, salon, burger_joint, gym : 53533
Saved path: florist, music_store, pharmacy, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, pet_store : 50807
Saved path: pizzeria, dentist, tech_shop, grocery_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, florist, pet_store, gym : 69128
