Saved path: salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint, gym, pet_store, florist, gelateria, bike_shop, party_store, bakery, hardware_store, toy_store : 52085
Saved path: gelateria, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, hardware_store, pharmacy, music_store, bank : 60850
Saved path: gelateria, music_store, pharmacy, bakery, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, bookstore, cafe, pizzeria, craft_shop, pet_store : 53269
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, florist, craft_shop, hardware_store, burger_joint, cafe, tech_shop, clothing_store : 54956
Saved path: pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, toy_store, noodle_house, barber_shop, bakery : 52001
Saved path: bike_shop, bakery, bank, music_store, gym, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 58289
Saved path: gym, toy_store, barber_shop, bakery, party_store, gelateria, bank, music_store, craft_shop, pizzeria, dentist, tech_shop, bookstore, burger_joint, hardware_store : 66750
Saved path: salon, noodle_house, tech_shop, cafe, bookstore, dentist, pizzeria, pet_store, bank, music_store, pharmacy, jewelry_store, party_store, gym, toy_store : 70481
Saved path: hardware_store, bookstore, cafe, grocery_store, clothing_store, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, pet_store, craft_shop, pizzeria, gym : 69556
Saved path: gym, toy_store, salon, noodle_house, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, florist, bank, music_store, pharmacy, jewelry_store : 66115
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist : 55624
Saved path: noodle_house, toy_store, party_store, bike_shop, music_store, gelateria, florist, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store : 52735
Saved path: florist, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, salon, burger_joint, gym, hardware_store, jewelry_store, bike_shop, gelateria, bank, music_store : 65914
Saved path: tech_shop, clothing_store, toy_store, salon, hardware_store, gym, bakery, bike_shop, gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore : 50778
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, florist, pet_store, gym, hardware_store, dentist, pizzeria, tech_shop : 59276
Saved path: dentist, tech_shop, clothing_store, noodle_house, salon, barber_shop, party_store, pharmacy, florist, pet_store, gym, hardware_store, burger_joint, bookstore, cafe : 55931
Saved path: pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, salon, bike_shop, party_store, bakery, pharmacy, music_store, pet_store, craft_shop : 58587
Saved path: hardware_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, burger_joint, clothing_store, noodle_house, salon : 68415
Saved path: craft_shop, florist, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, dentist, pizzeria : 66476
Saved path: toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, bank, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, salon : 67840
Saved path: bank, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, party_store, bike_shop, bakery : 62848
Saved path: gelateria, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, bookstore, gym, pet_store, florist, music_store, bank : 73713
Saved path: pharmacy, bakery, party_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, bank : 57482
Saved path: grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, bank, florist, craft_shop, pizzeria, dentist : 60943
Saved path: jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, gym, florist, music_store, gelateria, pharmacy : 53429
Saved path: dentist, craft_shop, florist, music_store, bank, gelateria, pharmacy, hardware_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 54346
Saved path: jewelry_store, party_store, bakery, hardware_store, gym, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gelateria, bank, music_store, bike_shop : 64273
Saved path: hardware_store, gym, bank, gelateria, bike_shop, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, bookstore, burger_joint : 61535
Saved path: burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, florist, gelateria, pharmacy, jewelry_store, bike_shop, gym, bookstore : 57603
Saved path: dentist, pizzeria, pet_store, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint : 69034
Saved path: cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, pharmacy, music_store, florist, pet_store, craft_shop, gym : 55458
