Saved path: bank, music_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, craft_shop, pet_store, florist, gelateria : 55633
Saved path: grocery_store, clothing_store, barber_shop, bike_shop, bakery, pharmacy, gelateria, florist, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop : 51315
Saved path: bike_shop, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, bookstore, clothing_store, toy_store, hardware_store, barber_shop : 68877
Saved path: grocery_store, tech_shop, dentist, pizzeria, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe : 60445
Saved path: craft_shop, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, music_store, bank, pet_store : 57682
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, pet_store, pizzeria, gym, hardware_store, bookstore, cafe : 63893
Saved path: cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, hardware_store, gym, burger_joint, bookstore : 46600
Saved path: pharmacy, music_store, bank, gelateria, pet_store, pizzeria, burger_joint, bookstore, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, jewelry_store : 68229
Saved path: bike_shop, hardware_store, salon, clothing_store, tech_shop, cafe, burger_joint, dentist, pizzeria, florist, music_store, bank, gelateria, pharmacy, jewelry_store : 65438
Saved path: craft_shop, dentist, bookstore, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, pet_store : 62831
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bank, music_store, florist : 69674
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, florist, pet_store, dentist, tech_shop, noodle_house, toy_store, hardware_store : 71086
Saved path: dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, grocery_store : 61519
Saved path: toy_store, salon, hardware_store, party_store, bakery, gelateria, florist, pet_store, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store, clothing_store : 49909
Saved path: tech_shop, pizzeria, craft_shop, pet_store, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, burger_joint, toy_store, noodle_house, clothing_store, grocery_store : 51045
Saved path: pharmacy, gelateria, music_store, florist, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, party_store, bike_shop, bakery : 49586
Saved path: tech_shop, pizzeria, craft_shop, florist, gym, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore : 56590
Saved path: bike_shop, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, jewelry_store : 53210
Saved path: florist, craft_shop, pizzeria, dentist, grocery_store, clothing_store, cafe, bookstore, hardware_store, salon, barber_shop, bike_shop, bakery, bank, gelateria : 59858
Saved path: salon, barber_shop, party_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, hardware_store, toy_store : 57230
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, craft_shop, pet_store, florist, bank, gelateria, bike_shop, party_store, barber_shop : 63753
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, pet_store, gym, burger_joint, bookstore : 55348
Saved path: gym, hardware_store, bike_shop, jewelry_store, salon, noodle_house, grocery_store, bookstore, tech_shop, pizzeria, florist, music_store, bank, gelateria, pet_store : 71464
Saved path: music_store, bank, gelateria, craft_shop, dentist, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, bakery, party_store, jewelry_store : 61701
Saved path: dentist, pizzeria, craft_shop, florist, bank, gelateria, bike_shop, jewelry_store, party_store, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, cafe : 61492
Saved path: gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, grocery_store, cafe, hardware_store : 62876
