Saved path: florist, gym, hardware_store, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, bank : 67021
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, florist, pizzeria, cafe, grocery_store, clothing_store, noodle_house, gym, hardware_store : 62239
Saved path: toy_store, noodle_house, clothing_store, tech_shop, bookstore, cafe, dentist, pet_store, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon : 57541
Saved path: gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, bank, gelateria, pharmacy, bakery, bike_shop, hardware_store : 56198
Saved path: grocery_store, cafe, tech_shop, pizzeria, pet_store, florist, music_store, bank, gelateria, bike_shop, party_store, burger_joint, toy_store, salon, noodle_house : 65859
Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house, toy_store, bike_shop, jewelry_store, music_store, bank, gelateria, pet_store, craft_shop : 64593
Saved path: gym, burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store : 60850
Saved path: dentist, cafe, bookstore, grocery_store, clothing_store, salon, hardware_store, gym, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop : 55763
Saved path: salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, florist, music_store, gelateria, bakery, jewelry_store : 56882
Saved path: gelateria, bank, music_store, pharmacy, bakery, jewelry_store, hardware_store, salon, toy_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store : 63671
Saved path: noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, hardware_store, toy_store, salon : 63758
Saved path: pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, gelateria, pet_store : 55752
Saved path: tech_shop, grocery_store, salon, noodle_house, bookstore, burger_joint, gym, hardware_store, bike_shop, jewelry_store, bakery, bank, florist, craft_shop, pizzeria : 68060
Saved path: barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint, hardware_store, craft_shop, pet_store, bank, music_store, pharmacy, party_store, jewelry_store : 63301
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, noodle_house, dentist, pizzeria, florist, music_store, bank, gelateria : 66861
Saved path: cafe, dentist, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, barber_shop, salon, noodle_house, clothing_store, tech_shop : 56664
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, gym, pet_store, bank, gelateria, florist, craft_shop, dentist, burger_joint, cafe, grocery_store : 68929
Saved path: pharmacy, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, bookstore, cafe, dentist, pizzeria, pet_store, florist, music_store, bank : 73193
Saved path: pizzeria, dentist, grocery_store, cafe, gym, hardware_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store : 69412
Saved path: barber_shop, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 61270
Saved path: pharmacy, gelateria, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery : 56220
Saved path: pharmacy, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, toy_store, bookstore, cafe, dentist, craft_shop, florist, music_store, bank : 66335
Saved path: noodle_house, bookstore, cafe, dentist, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, hardware_store, barber_shop, salon : 61198
Saved path: pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, craft_shop, pet_store, florist, gelateria, bank, music_store : 63259
Saved path: gym, burger_joint, cafe, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, pharmacy, music_store, bank, florist, pet_store : 62782
Saved path: toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, music_store, gelateria, jewelry_store, bike_shop, bakery, gym : 58267
Saved path: craft_shop, pizzeria, dentist, clothing_store, cafe, burger_joint, hardware_store, salon, barber_shop, jewelry_store, party_store, bakery, music_store, gelateria, pet_store : 62522
Saved path: burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, music_store, pet_store, hardware_store : 59695
Saved path: gym, hardware_store, salon, clothing_store, burger_joint, bookstore, cafe, dentist, pizzeria, gelateria, music_store, bakery, party_store, jewelry_store, bike_shop : 63076
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, gym, burger_joint, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, barber_shop : 61996
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, dentist, pizzeria, florist, gelateria, bank, gym, hardware_store, bakery, party_store, jewelry_store : 68483
Saved path: pet_store, dentist, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist : 63600
Saved path: gelateria, florist, gym, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, burger_joint, bookstore, pizzeria, craft_shop, pet_store, bank : 70633
Saved path: pizzeria, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, barber_shop, noodle_house, tech_shop : 66093
Saved path: clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, hardware_store, burger_joint : 63534
Saved path: pizzeria, tech_shop, grocery_store, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, craft_shop, gym, burger_joint, bookstore, dentist : 70143
