Saved path: noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, bike_shop, barber_shop : 60840
Saved path: party_store, bike_shop, music_store, florist, pet_store, craft_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, bakery : 48648
Saved path: burger_joint, hardware_store, bakery, bike_shop, barber_shop, bank, music_store, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, cafe : 58184
Saved path: bike_shop, bakery, pharmacy, music_store, florist, pet_store, pizzeria, dentist, cafe, clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop : 56056
Saved path: craft_shop, gelateria, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store, salon, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria : 65029
Saved path: pet_store, bank, music_store, jewelry_store, barber_shop, salon, toy_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop : 66470
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, grocery_store, noodle_house, salon, barber_shop, bakery, party_store : 50060
Saved path: toy_store, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, party_store, barber_shop, hardware_store, gym : 67415
Saved path: jewelry_store, barber_shop, clothing_store, dentist, bookstore, hardware_store, gym, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop : 66623
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, noodle_house, toy_store : 57691
Saved path: gelateria, bank, pet_store, craft_shop, pizzeria, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop, bakery : 58645
Saved path: burger_joint, gym, pet_store, bank, music_store, florist, pizzeria, tech_shop, clothing_store, salon, barber_shop, jewelry_store, bike_shop, bakery, hardware_store : 71435
Saved path: clothing_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, jewelry_store, hardware_store, salon, toy_store : 67762
Saved path: grocery_store, cafe, dentist, florist, pet_store, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house : 58621
Saved path: clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, bank, music_store, florist, gym, burger_joint, bookstore, dentist, pizzeria, grocery_store : 65829
Saved path: dentist, hardware_store, gym, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store : 61287
Saved path: party_store, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, pet_store, florist, bank, pharmacy : 62685
Saved path: party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, gym, craft_shop, pet_store, florist, pharmacy : 56651
Saved path: craft_shop, florist, bank, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, cafe, bookstore, hardware_store, gym : 62480
Saved path: party_store, bakery, gym, pet_store, bank, florist, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, toy_store, noodle_house, salon : 67375
Saved path: cafe, bookstore, burger_joint, toy_store, salon, hardware_store, bike_shop, party_store, bakery, gelateria, bank, pet_store, craft_shop, pizzeria, grocery_store : 63484
Saved path: barber_shop, salon, noodle_house, clothing_store, bookstore, burger_joint, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, bakery, party_store, bike_shop : 53686
Saved path: bakery, party_store, bike_shop, music_store, gelateria, pet_store, craft_shop, dentist, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 56458
Saved path: pet_store, music_store, jewelry_store, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym : 62838
Saved path: bank, music_store, florist, dentist, tech_shop, cafe, bookstore, burger_joint, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria : 61010
Saved path: grocery_store, tech_shop, cafe, burger_joint, gym, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, barber_shop, toy_store, noodle_house : 51452
Saved path: burger_joint, hardware_store, gym, florist, music_store, bank, gelateria, bike_shop, party_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, dentist : 62693
Saved path: noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, dentist, pizzeria, florist, gelateria, jewelry_store, party_store, bike_shop, barber_shop, toy_store : 59760
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, pet_store, gelateria, music_store, pharmacy, bakery, party_store, bike_shop : 55538
Saved path: craft_shop, gym, hardware_store, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, bank, gelateria, florist, pet_store : 55972
Saved path: grocery_store, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, pharmacy, bakery, bike_shop, barber_shop, noodle_house, clothing_store : 53700
Saved path: florist, gelateria, bank, music_store, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, grocery_store, cafe, dentist, craft_shop, pet_store : 67071
Saved path: tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, jewelry_store, pharmacy, bank, florist, pet_store, gym, craft_shop, pizzeria : 68958
Saved path: gym, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, bookstore, burger_joint : 61989
Saved path: pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, bike_shop, pharmacy, gelateria, florist, pet_store, craft_shop : 47389
Saved path: florist, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, bakery, pharmacy, bank : 52697
Saved path: clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop, florist, music_store, jewelry_store, party_store, bike_shop, gym, toy_store, salon, noodle_house : 59964
Saved path: music_store, pharmacy, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, gelateria : 43235
Saved path: pharmacy, party_store, jewelry_store, barber_shop, salon, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, music_store : 61233
Saved path: bookstore, burger_joint, toy_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, bank, gelateria, florist, pet_store, dentist : 68306
Saved path: pet_store, gelateria, music_store, bakery, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, pizzeria, dentist, cafe, burger_joint, gym, craft_shop : 62899
Saved path: clothing_store, tech_shop, pizzeria, florist, music_store, gelateria, pet_store, bookstore, burger_joint, hardware_store, bakery, party_store, jewelry_store, barber_shop, noodle_house : 63509
Saved path: burger_joint, gym, pet_store, florist, music_store, pharmacy, bakery, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 47987
Saved path: salon, noodle_house, clothing_store, tech_shop, bookstore, cafe, dentist, craft_shop, pet_store, gelateria, bike_shop, party_store, bakery, gym, toy_store : 55992
Saved path: florist, bank, gelateria, jewelry_store, party_store, bakery, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria : 65871
Saved path: craft_shop, pizzeria, grocery_store, cafe, burger_joint, toy_store, noodle_house, salon, barber_shop, party_store, bakery, pharmacy, gelateria, music_store, florist : 53309
Saved path: bookstore, burger_joint, hardware_store, gym, pet_store, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, toy_store, noodle_house, tech_shop, dentist : 61937
Saved path: gym, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, bakery, music_store, gelateria, florist, craft_shop : 46324
Saved path: pet_store, florist, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, dentist, bookstore, burger_joint, hardware_store, gym : 61170
Saved path: bike_shop, bakery, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, grocery_store, clothing_store, toy_store, gym : 50434
