Saved path: bike_shop, barber_shop, hardware_store, burger_joint, bookstore, clothing_store, tech_shop, dentist, pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store : 62560
Saved path: pizzeria, craft_shop, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, dentist : 65780
Saved path: cafe, bookstore, burger_joint, gym, toy_store, clothing_store, noodle_house, barber_shop, party_store, jewelry_store, gelateria, bank, pet_store, pizzeria, dentist : 71338
Saved path: party_store, jewelry_store, bike_shop, gym, pet_store, bank, gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, toy_store, bakery : 65982
Saved path: music_store, florist, gym, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, bakery, pharmacy, bank : 57894
Saved path: gym, hardware_store, salon, toy_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, jewelry_store, party_store, bike_shop : 70366
Saved path: cafe, bookstore, gym, craft_shop, music_store, bakery, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist : 59262
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, florist, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store : 57627
Saved path: burger_joint, hardware_store, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, bookstore : 55030
Saved path: hardware_store, burger_joint, tech_shop, dentist, pizzeria, pet_store, gelateria, bank, music_store, bike_shop, party_store, barber_shop, salon, noodle_house, toy_store : 69639
Saved path: burger_joint, hardware_store, gym, gelateria, bank, music_store, jewelry_store, party_store, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe : 68459
Saved path: pet_store, florist, music_store, pharmacy, bakery, bike_shop, barber_shop, noodle_house, clothing_store, dentist, cafe, bookstore, hardware_store, gym, craft_shop : 52614
Saved path: cafe, burger_joint, hardware_store, party_store, bike_shop, barber_shop, music_store, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house : 56648
Saved path: gelateria, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, hardware_store, pet_store, florist : 60087
Saved path: clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, pet_store, florist, music_store, bike_shop, party_store, bakery, barber_shop, salon, noodle_house : 54962
Saved path: burger_joint, gym, florist, gelateria, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe : 53114
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, florist, pet_store, craft_shop, gym, burger_joint, bookstore, pizzeria, tech_shop, clothing_store, noodle_house : 60036
Saved path: hardware_store, burger_joint, tech_shop, cafe, bookstore, craft_shop, florist, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 54958
Saved path: cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, gelateria, bank, music_store, craft_shop, gym, hardware_store, burger_joint : 54034
Saved path: florist, gym, bookstore, dentist, pizzeria, tech_shop, grocery_store, toy_store, salon, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, bank : 69409
Saved path: cafe, clothing_store, grocery_store, tech_shop, dentist, pizzeria, florist, music_store, jewelry_store, bike_shop, bakery, hardware_store, gym, burger_joint, bookstore : 54033
