Saved path: pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, jewelry_store, bakery, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store : 62658
Saved path: florist, gelateria, bank, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, clothing_store, grocery_store, burger_joint, gym, pizzeria : 68875
Saved path: gym, craft_shop, pet_store, bank, music_store, pharmacy, party_store, bike_shop, burger_joint, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store : 59231
Saved path: bookstore, tech_shop, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, gym, hardware_store, salon, toy_store, clothing_store, grocery_store : 56209
Saved path: bank, music_store, pharmacy, barber_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, cafe, grocery_store, clothing_store, pizzeria, craft_shop, gelateria : 67248
Saved path: music_store, florist, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, gelateria, bank : 66749
Saved path: gym, pizzeria, dentist, cafe, bookstore, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store : 70314
Saved path: gym, burger_joint, tech_shop, noodle_house, salon, toy_store, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, craft_shop : 53821
Saved path: pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, gym, toy_store, clothing_store, bookstore, cafe : 61218
Saved path: music_store, bakery, bike_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, florist : 51827
Saved path: gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, gym, craft_shop, pet_store, florist, music_store, bank : 59284
Saved path: bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank, pet_store, gym, bakery, party_store, jewelry_store : 70352
Saved path: dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, music_store, gelateria, hardware_store, burger_joint, cafe : 60833
Saved path: pet_store, florist, bank, gelateria, jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, dentist : 70339
