Saved path: tech_shop, grocery_store, noodle_house, toy_store, burger_joint, hardware_store, party_store, jewelry_store, barber_shop, pharmacy, bank, gelateria, florist, craft_shop, pizzeria : 66367
Saved path: bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, barber_shop, bike_shop, party_store, hardware_store, burger_joint : 67983
Saved path: barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, dentist, pizzeria, pet_store, florist, bank, music_store, jewelry_store, bike_shop, bakery : 72052
Saved path: burger_joint, dentist, craft_shop, pet_store, gelateria, pharmacy, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 57969
Saved path: bank, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bike_shop, jewelry_store, bakery : 60935
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria, bank, bakery, jewelry_store, barber_shop, noodle_house, toy_store, gym, hardware_store : 68412
Saved path: pet_store, craft_shop, pizzeria, dentist, tech_shop, clothing_store, noodle_house, burger_joint, gym, hardware_store, bike_shop, pharmacy, music_store, bank, florist : 58692
Saved path: jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, grocery_store, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery : 58573
Saved path: hardware_store, burger_joint, bookstore, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, bakery, party_store, pharmacy, bank, florist, craft_shop : 60145
Saved path: bookstore, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, florist, hardware_store, burger_joint : 65992
Saved path: gym, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, bank, florist, pet_store, craft_shop, pizzeria : 69718
Saved path: burger_joint, bookstore, clothing_store, grocery_store, dentist, craft_shop, pet_store, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, hardware_store : 53838
Saved path: gym, hardware_store, salon, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, pet_store, bank, music_store, pharmacy, bakery, jewelry_store : 64806
Saved path: gym, pizzeria, craft_shop, florist, gelateria, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, cafe, bookstore, burger_joint, hardware_store : 61091
Saved path: gym, craft_shop, florist, music_store, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, dentist, burger_joint, hardware_store : 58370
Saved path: burger_joint, bookstore, cafe, pizzeria, tech_shop, noodle_house, salon, barber_shop, bike_shop, pharmacy, gelateria, bank, pet_store, gym, hardware_store : 62821
Saved path: party_store, bike_shop, music_store, bank, florist, pet_store, craft_shop, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, bakery : 59656
Saved path: craft_shop, pet_store, gelateria, bank, music_store, party_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore, burger_joint, hardware_store : 62021
Saved path: hardware_store, gym, bookstore, cafe, tech_shop, dentist, pizzeria, florist, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, salon : 68902
Saved path: gelateria, pharmacy, jewelry_store, party_store, gym, toy_store, salon, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank : 68060
Saved path: toy_store, noodle_house, tech_shop, cafe, craft_shop, pet_store, florist, bank, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon : 64626
Saved path: dentist, pizzeria, craft_shop, gelateria, bank, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym, burger_joint, bookstore, cafe : 68649
