Saved path: craft_shop, dentist, burger_joint, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, bakery, bike_shop, jewelry_store, music_store, florist : 51605
Saved path: bank, music_store, pharmacy, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, gelateria : 69422
Saved path: salon, barber_shop, bakery, jewelry_store, music_store, bank, pet_store, craft_shop, gym, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house : 67523
Saved path: music_store, bank, gelateria, craft_shop, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, bakery : 56591
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, tech_shop, pizzeria, pet_store, bank, music_store, pharmacy, party_store, bike_shop : 64981
Saved path: tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bakery, hardware_store, burger_joint, bookstore, pet_store, bank, gelateria, florist, pizzeria : 70442
Saved path: cafe, dentist, pizzeria, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, gym, hardware_store, bookstore : 57976
Saved path: clothing_store, noodle_house, salon, barber_shop, bike_shop, gelateria, bank, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, burger_joint, toy_store : 61031
Saved path: florist, gelateria, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, bookstore, dentist, pizzeria : 56852
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, pharmacy, music_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop : 54023
Saved path: music_store, bank, gelateria, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, toy_store, bakery, party_store, jewelry_store, bike_shop : 62412
Saved path: cafe, dentist, craft_shop, pet_store, gelateria, music_store, bakery, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, burger_joint, bookstore : 52439
Saved path: toy_store, clothing_store, tech_shop, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, bike_shop, gym, hardware_store, salon : 62759
Saved path: florist, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, party_store, hardware_store, cafe, bookstore : 68102
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, florist, music_store, pharmacy, barber_shop, noodle_house : 46172
Saved path: pizzeria, cafe, bookstore, grocery_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, gym : 68178
Saved path: pizzeria, craft_shop, music_store, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint : 65325
Saved path: bank, music_store, florist, pet_store, craft_shop, pizzeria, grocery_store, cafe, bookstore, burger_joint, gym, bike_shop, jewelry_store, party_store, pharmacy : 65261
Saved path: pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, hardware_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank : 64374
Saved path: gym, hardware_store, toy_store, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, music_store, gelateria, florist : 55329
Saved path: party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym, hardware_store : 66579
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, cafe, burger_joint, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store : 54908
Saved path: pharmacy, gelateria, music_store, florist, gym, bookstore, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery : 52289
Saved path: pharmacy, gelateria, pet_store, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, bakery, party_store : 55467
Saved path: bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria : 58520
Saved path: jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, dentist, bookstore, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bike_shop : 67993
Saved path: party_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, pet_store, gelateria, hardware_store : 58326
Saved path: florist, gym, bakery, party_store, jewelry_store, salon, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, bank, gelateria : 65270
