Saved path: barber_shop, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, dentist, bookstore, hardware_store, gym, pet_store, gelateria, pharmacy, party_store, bike_shop : 61584
Saved path: jewelry_store, party_store, bike_shop, bakery, pharmacy, gelateria, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, toy_store, salon : 58721
Saved path: gelateria, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank : 57534
Saved path: burger_joint, toy_store, salon, noodle_house, grocery_store, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, bike_shop, gym : 61028
Saved path: hardware_store, gym, gelateria, florist, craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store : 56504
Saved path: bakery, party_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, noodle_house, grocery_store, dentist, pizzeria, florist, bank, gelateria, pharmacy : 65673
Saved path: cafe, dentist, pizzeria, florist, music_store, bank, pharmacy, jewelry_store, bike_shop, hardware_store, toy_store, salon, noodle_house, grocery_store, bookstore : 66265
Saved path: clothing_store, grocery_store, tech_shop, dentist, pizzeria, florist, music_store, bank, gym, hardware_store, jewelry_store, bike_shop, bakery, barber_shop, noodle_house : 68366
Saved path: pizzeria, clothing_store, salon, burger_joint, gym, hardware_store, bike_shop, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop : 67005
Saved path: clothing_store, tech_shop, cafe, hardware_store, gym, craft_shop, florist, bank, gelateria, pharmacy, bakery, barber_shop, salon, toy_store, noodle_house : 51174
Saved path: burger_joint, toy_store, clothing_store, tech_shop, dentist, craft_shop, pet_store, bank, gelateria, pharmacy, party_store, bakery, barber_shop, salon, hardware_store : 63638
Saved path: music_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, bank : 60012
Saved path: jewelry_store, party_store, hardware_store, gym, toy_store, salon, noodle_house, bookstore, cafe, tech_shop, pizzeria, gelateria, bank, music_store, bike_shop : 69299
Saved path: dentist, cafe, tech_shop, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, music_store, bank, florist, pet_store, craft_shop, pizzeria : 70334
Saved path: bank, florist, pet_store, craft_shop, hardware_store, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, pharmacy : 57154
Saved path: pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, bank, bike_shop, jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop : 71656
Saved path: craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, party_store, bike_shop, bakery, bank, florist : 59764
Saved path: pet_store, bank, gelateria, florist, craft_shop, dentist, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, bakery, gym : 56127
Saved path: clothing_store, tech_shop, cafe, bookstore, burger_joint, dentist, pizzeria, florist, pharmacy, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house : 57351
Saved path: noodle_house, salon, barber_shop, bakery, party_store, jewelry_store, gelateria, florist, pet_store, craft_shop, hardware_store, burger_joint, bookstore, cafe, grocery_store : 56204
Saved path: salon, barber_shop, bike_shop, bakery, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, gym, toy_store, clothing_store, noodle_house : 55270
Saved path: burger_joint, hardware_store, gym, florist, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, pizzeria, dentist, cafe : 70400
Saved path: pizzeria, craft_shop, florist, bank, pharmacy, party_store, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist : 59876
Saved path: pharmacy, gelateria, florist, pet_store, pizzeria, tech_shop, cafe, grocery_store, noodle_house, salon, toy_store, gym, bike_shop, jewelry_store, bakery : 59748
Saved path: noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store, bakery, bike_shop, hardware_store, toy_store, salon : 56205
Saved path: florist, pet_store, craft_shop, dentist, bookstore, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, pharmacy, bank : 64609
Saved path: tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, music_store, gelateria, florist, pizzeria : 58880
Saved path: florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, clothing_store, dentist, cafe, burger_joint, gym, pet_store : 59924
Saved path: bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, hardware_store, bookstore, cafe, dentist, pizzeria, craft_shop, florist : 66313
Saved path: bookstore, grocery_store, clothing_store, salon, barber_shop, bakery, party_store, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, gym, burger_joint : 58152
Saved path: bike_shop, bakery, music_store, bank, gelateria, pet_store, pizzeria, tech_shop, bookstore, clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store : 65371
